source,target,mode,line_id,year
32076,32077,0,3761,2010.0
32077,32076,0,3761,2010.0
32077,32078,0,3761,2010.0
32078,32077,0,3761,2010.0
32078,32079,0,3761,2010.0
32079,32078,0,3761,2010.0
32079,32080,0,3761,2010.0
32080,32079,0,3761,2010.0
32080,32081,0,3761,2010.0
32081,32080,0,3761,2010.0
32081,32082,0,3761,2010.0
32082,32081,0,3761,2010.0
32082,32083,0,3761,2010.0
32083,32082,0,3761,2010.0
32083,32084,0,3761,2010.0
32084,32083,0,3761,2010.0
32084,32085,0,3761,2010.0
32085,32084,0,3761,2010.0
32085,32086,0,3761,2010.0
32086,32085,0,3761,2010.0
32086,32087,0,3761,2010.0
32087,32086,0,3761,2010.0
32087,32088,0,3761,2010.0
32088,32087,0,3761,2010.0
