source,target,mode,line_id,year
34376,34378,0,4147,2019.0
34378,34376,0,4147,2013.0
34378,34379,0,4147,2013.0
34379,34378,0,4147,2007.0
34379,34380,0,4147,2007.0
34380,34379,0,4147,2010.0
34380,34385,0,4147,2010.0
34385,34380,0,4147,
34376,34377,0,4214,2019.0
34377,34376,0,4214,2007.0
34377,34378,0,4214,2007.0
34378,34377,0,4214,2013.0
34378,34379,0,4214,2013.0
34379,34378,0,4214,2007.0
34379,34380,0,4214,2007.0
34380,34379,0,4214,2010.0
34380,34385,0,4214,2010.0
34385,34380,0,4214,
34378,34379,0,4215,2013.0
34379,34378,0,4215,2007.0
34379,34380,0,4215,2007.0
34380,34379,0,4215,2010.0
34380,34385,0,4215,2010.0
34385,34380,0,4215,
34376,34377,0,4216,2019.0
34377,34376,0,4216,2007.0
34377,34378,0,4216,2007.0
34378,34377,0,4216,2013.0
34378,34379,0,4216,2013.0
34379,34378,0,4216,2007.0
34379,34380,0,4216,2007.0
34380,34379,0,4216,2010.0
34380,34385,0,4216,2010.0
34385,34380,0,4216,
34376,34381,0,4217,2019.0
34381,34376,0,4217,2019.0
34381,34383,0,4217,2019.0
34383,34381,0,4217,2019.0
