source,target,mode,line_id,year
32171,32174,0,3765,1997.0
32174,32171,0,3765,2014.0
32174,32203,0,3765,2014.0
32203,32174,0,3765,1996.0
32203,32204,0,3765,1996.0
32204,32203,0,3765,1996.0
32204,32205,0,3765,1996.0
32205,32204,0,3765,1996.0
32205,32206,0,3765,1996.0
32206,32205,0,3765,1996.0
32206,32207,0,3765,1996.0
32207,32206,0,3765,1996.0
32207,32209,0,3765,1996.0
32209,32207,0,3765,1996.0
32209,32210,0,3765,1996.0
32210,32209,0,3765,1996.0
32210,32211,0,3765,1996.0
32211,32210,0,3765,1996.0
32211,32212,0,3765,1996.0
32212,32211,0,3765,1996.0
32212,32213,0,3765,1996.0
32213,32212,0,3765,1996.0
32169,32170,0,3766,2014.0
32170,32169,0,3766,2014.0
32170,32171,0,3766,2014.0
32171,32170,0,3766,1997.0
32171,32172,0,3766,1997.0
32172,32171,0,3766,1997.0
32172,32173,0,3766,1997.0
32173,32172,0,3766,1997.0
32173,32174,0,3766,1997.0
32174,32173,0,3766,2014.0
32174,32175,0,3766,2014.0
32175,32174,0,3766,2014.0
32175,32176,0,3766,2014.0
32176,32175,0,3766,2014.0
32176,32177,0,3766,2014.0
32177,32176,0,3766,2014.0
32177,32178,0,3766,2014.0
32178,32177,0,3766,2014.0
32178,32179,0,3766,2014.0
32179,32178,0,3766,2014.0
32179,32180,0,3766,2014.0
32180,32179,0,3766,2014.0
32180,32181,0,3766,2014.0
32181,32180,0,3766,2014.0
32181,32182,0,3766,2014.0
32182,32181,0,3766,2014.0
32182,32183,0,3766,2014.0
32183,32182,0,3766,1997.0
32183,32184,0,3766,1997.0
32184,32183,0,3766,1997.0
32184,32185,0,3766,1997.0
32185,32184,0,3766,1997.0
32185,32186,0,3766,1997.0
32186,32185,0,3766,1997.0
32186,32187,0,3766,1997.0
32187,32186,0,3766,1997.0
32187,32188,0,3766,1997.0
32188,32187,0,3766,1997.0
32188,32189,0,3766,1997.0
32189,32188,0,3766,1997.0
32189,32190,0,3766,1997.0
32190,32189,0,3766,1997.0
32190,32191,0,3766,1997.0
32191,32190,0,3766,1997.0
32191,32192,0,3766,1997.0
32192,32191,0,3766,2014.0
32192,32193,0,3766,2014.0
32193,32192,0,3766,2014.0
32193,32194,0,3766,2014.0
32194,32193,0,3766,2014.0
32194,32195,0,3766,2014.0
32195,32194,0,3766,2014.0
32195,32196,0,3766,2014.0
32196,32195,0,3766,2014.0
32196,32197,0,3766,2014.0
32197,32196,0,3766,2014.0
32197,32198,0,3766,2014.0
