source,target,mode,line_id,year
18611,18612,0,2123,1979.0
18612,18611,0,2123,1979.0
18612,18613,0,2123,1979.0
18613,18612,0,2123,1979.0
18613,18614,0,2123,1979.0
18614,18613,0,2123,1979.0
18614,18615,0,2123,1979.0
18615,18614,0,2123,1979.0
18615,18616,0,2123,1979.0
18616,18615,0,2123,1979.0
18616,18617,0,2123,1979.0
18617,18616,0,2123,1979.0
18617,18672,0,2123,1979.0
18672,18617,0,2123,1979.0
18672,18673,0,2123,1979.0
18673,18672,0,2123,1979.0
18673,18674,0,2123,1979.0
18674,18673,0,2123,1979.0
18674,18675,0,2123,1979.0
18675,18674,0,2123,1979.0
18675,18676,0,2123,1979.0
18676,18675,0,2123,1979.0
18676,18677,0,2123,1979.0
18677,18676,0,2123,1979.0
18677,18679,0,2123,1979.0
18679,18677,0,2123,1993.0
18679,18680,0,2123,1993.0
18680,18679,0,2123,1993.0
18614,18615,0,2124,1979.0
18615,18614,0,2124,1979.0
18615,18616,0,2124,1979.0
18616,18615,0,2124,1979.0
18616,18617,0,2124,1979.0
18617,18616,0,2124,1979.0
18617,18672,0,2124,1979.0
18672,18617,0,2124,1979.0
18672,18673,0,2124,1979.0
18673,18672,0,2124,1979.0
18673,18674,0,2124,1979.0
18674,18673,0,2124,1979.0
18674,18675,0,2124,1979.0
18675,18674,0,2124,1979.0
18675,18678,0,2124,1979.0
18678,18675,0,2124,1992.0
18672,18681,0,2125,1979.0
18681,18672,0,2125,1981.0
18681,18682,0,2125,1981.0
18682,18681,0,2125,1982.0
18682,18683,0,2125,1982.0
18683,18682,0,2125,1981.0
18683,18684,0,2125,1981.0
18684,18683,0,2125,1981.0
18684,18685,0,2125,1981.0
18685,18684,0,2125,1982.0
18685,18686,0,2125,1982.0
18686,18685,0,2125,1982.0
18686,18687,0,2125,1982.0
18687,18686,0,2125,1982.0
18687,18688,0,2125,1982.0
18688,18687,0,2125,1984.0
18688,18689,0,2125,1984.0
18689,18688,0,2125,1984.0
18689,18690,0,2125,1984.0
18690,18689,0,2125,1984.0
18690,18691,0,2125,1984.0
18691,18690,0,2125,1986.0
18691,18692,0,2125,1986.0
18692,18691,0,2125,1988.0
18692,18693,0,2125,1988.0
18693,18692,0,2125,1988.0
18693,18694,0,2125,1988.0
18694,18693,0,2125,1984.0
18694,18695,0,2125,1984.0
18695,18694,0,2125,1984.0
18695,18696,0,2125,1984.0
18696,18695,0,2125,1987.0
18696,18697,0,2125,1987.0
18697,18696,0,2125,1992.0
18672,18681,0,2126,1979.0
18681,18672,0,2126,1981.0
18681,18682,0,2126,1981.0
18682,18681,0,2126,1982.0
18682,18683,0,2126,1982.0
18683,18682,0,2126,1981.0
18683,18684,0,2126,1981.0
18684,18683,0,2126,1981.0
18684,18685,0,2126,1981.0
18685,18684,0,2126,1982.0
18685,18686,0,2126,1982.0
18686,18685,0,2126,1982.0
18686,18687,0,2126,1982.0
18687,18686,0,2126,1982.0
18687,18688,0,2126,1982.0
18688,18687,0,2126,1984.0
18688,18689,0,2126,1984.0
18689,18688,0,2126,1984.0
18689,18690,0,2126,1984.0
18690,18689,0,2126,1984.0
18690,18691,0,2126,1984.0
18691,18690,0,2126,1986.0
18691,18692,0,2126,1986.0
18692,18691,0,2126,1988.0
18692,18693,0,2126,1988.0
18693,18692,0,2126,1988.0
18693,18698,0,2126,1988.0
18698,18693,0,2126,1996.0
18698,18699,0,2126,1996.0
18699,18698,0,2126,1996.0
18699,18700,0,2126,1996.0
18700,18699,0,2126,1996.0
18700,18701,0,2126,1996.0
18701,18700,0,2126,2000.0
18701,18702,0,2126,2000.0
18702,18701,0,2126,2000.0
18703,18704,0,2127,2014.0
18704,18703,0,2127,2014.0
18704,18705,0,2127,2014.0
18705,18704,0,2127,2014.0
18705,18706,0,2127,2014.0
18706,18705,0,2127,2014.0
18706,18707,0,2127,2014.0
18707,18706,0,2127,2014.0
18707,18708,0,2127,2014.0
18708,18707,0,2127,2014.0
18708,18709,0,2127,2014.0
18709,18708,0,2127,2014.0
18709,18710,0,2127,2014.0
18710,18709,0,2127,2014.0
18710,18711,0,2127,2014.0
18711,18710,0,2127,2014.0
18711,18712,0,2127,2014.0
18712,18711,0,2127,2014.0
18712,18713,0,2127,2014.0
18713,18712,0,2127,2014.0
18713,18714,0,2127,2014.0
18714,18713,0,2127,2014.0
