source,target,mode,line_id,year
35290,35291,0,4429,1967.0
35291,35290,0,4429,1967.0
35291,35292,0,4429,1967.0
35292,35291,0,4429,1967.0
35292,35293,0,4429,1967.0
35293,35292,0,4429,1967.0
35293,35294,0,4429,1967.0
35294,35293,0,4429,1967.0
35294,35297,0,4429,1967.0
35297,35294,0,4429,1970.0
35297,35298,0,4429,1970.0
35298,35297,0,4429,1970.0
35298,35299,0,4429,1970.0
35299,35298,0,4429,1972.0
35299,35300,0,4429,1972.0
35300,35299,0,4429,1972.0
35300,35301,0,4429,1972.0
35301,35300,0,4429,1972.0
35301,35307,0,4429,1972.0
35307,35301,0,4429,1989.0
35307,35308,0,4429,1989.0
35308,35307,0,4429,2002.0
35308,35309,0,4429,2002.0
35309,35308,0,4429,1989.0
35290,35291,0,4430,1967.0
35291,35290,0,4430,1967.0
35291,35292,0,4430,1967.0
35292,35291,0,4430,1967.0
35292,35297,0,4430,1967.0
35297,35292,0,4430,1970.0
35297,35298,0,4430,1970.0
35298,35297,0,4430,1970.0
35298,35299,0,4430,1970.0
35299,35298,0,4430,1972.0
35299,35300,0,4430,1972.0
35300,35299,0,4430,1972.0
35300,35301,0,4430,1972.0
35301,35300,0,4430,1972.0
35301,35302,0,4430,1972.0
35302,35301,0,4430,1976.0
35302,35303,0,4430,1976.0
35303,35302,0,4430,1985.0
35303,35304,0,4430,1985.0
35304,35303,0,4430,1985.0
35304,35305,0,4430,1985.0
35305,35304,0,4430,1985.0
35305,35306,0,4430,1985.0
35306,35305,0,4430,1985.0
35306,35307,0,4430,1985.0
35307,35306,0,4430,1989.0
35307,35308,0,4430,1989.0
35308,35307,0,4430,2002.0
35308,35309,0,4430,2002.0
35309,35308,0,4430,1989.0
35309,35310,0,4430,1989.0
35310,35309,0,4430,2008.0
35310,35311,0,4430,2008.0
35311,35310,0,4430,2009.0
35311,35312,0,4430,2009.0
35312,35311,0,4430,2011.0
35313,35314,0,4431,2016.0
35314,35313,0,4431,2016.0
35314,35315,0,4431,2016.0
35315,35314,0,4431,2021.0
35315,35316,0,4431,2021.0
35316,35315,0,4431,2022.0
35316,35317,0,4431,2022.0
35317,35316,0,4431,2024.0
35295,35296,0,4432,1993.0
35296,35295,0,4432,1968.0
35296,35318,0,4432,1968.0
35318,35296,0,4432,
35318,35319,0,4432,
35319,35318,0,4432,
35319,35320,0,4432,
35320,35319,0,4432,
