source,target,mode,line_id,year
19070,19071,0,2134,2010.0
19071,19070,0,2134,2010.0
19071,19072,0,2134,2010.0
19072,19071,0,2134,2010.0
19072,19073,0,2134,2010.0
19073,19072,0,2134,2010.0
19073,19074,0,2134,2010.0
19074,19073,0,2134,2010.0
19074,19075,0,2134,2010.0
19075,19074,0,2134,2010.0
19075,19076,0,2134,2010.0
19076,19075,0,2134,2010.0
19076,19077,0,2134,2010.0
19077,19076,0,2134,2010.0
18903,18905,0,2135,1999.0
18905,18903,0,2135,1999.0
18905,18906,0,2135,1999.0
18906,18905,0,2135,1999.0
18906,18909,0,2135,1999.0
18909,18906,0,2135,2009.0
18909,18910,0,2135,2009.0
18910,18909,0,2135,2009.0
18910,18916,0,2135,2009.0
18916,18910,0,2135,2013.0
18916,18917,0,2135,2013.0
18917,18916,0,2135,2013.0
18917,18918,0,2135,2013.0
18918,18917,0,2135,2013.0
18918,18919,0,2135,2013.0
18919,18918,0,2135,2013.0
18886,18893,0,2136,1999.0
18893,18886,0,2136,1999.0
18893,18911,0,2136,1999.0
18911,18893,0,2136,2011.0
18911,18912,0,2136,2011.0
18912,18911,0,2136,2011.0
18912,18913,0,2136,2011.0
18913,18912,0,2136,2011.0
18913,18914,0,2136,2011.0
18914,18913,0,2136,2011.0
18914,18915,0,2136,2011.0
18915,18914,0,2136,2011.0
18915,18920,0,2136,2011.0
18920,18915,0,2136,2017.0
18920,18921,0,2136,2017.0
18921,18920,0,2136,2018.0
18921,18922,0,2136,2018.0
18922,18921,0,2136,2018.0
18922,18923,0,2136,2018.0
18923,18922,0,2136,2018.0
18923,18924,0,2136,2018.0
18924,18923,0,2136,2018.0
18924,18925,0,2136,2018.0
18925,18924,0,2136,2018.0
18925,18926,0,2136,2018.0
18926,18925,0,2136,2018.0
18926,18927,0,2136,2018.0
18927,18926,0,2136,2018.0
18927,18928,0,2136,2018.0
18928,18927,0,2136,2018.0
18928,18929,0,2136,2018.0
18929,18928,0,2136,2019.0
18929,18930,0,2136,2019.0
18930,18929,0,2136,2019.0
18930,18931,0,2136,2019.0
18931,18930,0,2136,2019.0
18931,18932,0,2136,2019.0
18932,18931,0,2136,2019.0
18932,18933,0,2136,2019.0
18933,18932,0,2136,2019.0
18933,18934,0,2136,2019.0
18934,18933,0,2136,2020.0
18934,18935,0,2136,2020.0
18935,18934,0,2136,2020.0
18935,18936,0,2136,2020.0
18936,18935,0,2136,2020.0
18936,18937,0,2136,2020.0
18937,18936,0,2136,2020.0
18937,18938,0,2136,2020.0
18938,18937,0,2136,2020.0
18938,18939,0,2136,2020.0
18939,18938,0,2136,2020.0
18939,18940,0,2136,2020.0
18940,18939,0,2136,2020.0
18940,18941,0,2136,2020.0
18941,18940,0,2136,2020.0
18941,18942,0,2136,2020.0
18942,18941,0,2136,2020.0
18942,18943,0,2136,2020.0
18943,18942,0,2136,2020.0
18943,18944,0,2136,2020.0
18944,18943,0,2136,2020.0
18947,18948,0,2137,2004.0
18948,18947,0,2137,2004.0
18948,18949,0,2137,2004.0
18949,18948,0,2137,2004.0
18949,18950,0,2137,2004.0
18950,18949,0,2137,2004.0
18950,18951,0,2137,2004.0
18951,18950,0,2137,2004.0
18951,18952,0,2137,2004.0
18952,18951,0,2137,2004.0
18952,18953,0,2137,2004.0
18953,18952,0,2137,2004.0
18953,18954,0,2137,2004.0
18954,18953,0,2137,2004.0
18954,18955,0,2137,2004.0
18955,18954,0,2137,2004.0
18955,18956,0,2137,2004.0
18956,18955,0,2137,2004.0
18956,18957,0,2137,2004.0
18957,18956,0,2137,2004.0
18957,18958,0,2137,2004.0
18958,18957,0,2137,2004.0
18958,18959,0,2137,2004.0
18959,18958,0,2137,2004.0
18959,18960,0,2137,2004.0
18960,18959,0,2137,2004.0
18960,18961,0,2137,2004.0
18961,18960,0,2137,2004.0
18961,18962,0,2137,2004.0
18962,18961,0,2137,2004.0
18962,18963,0,2137,2004.0
18963,18962,0,2137,2004.0
18963,18964,0,2137,2004.0
18964,18963,0,2137,2004.0
18964,19042,0,2137,2004.0
19042,18964,0,2137,2017.0
19042,19049,0,2137,2017.0
19049,19042,0,2137,2019.0
19049,19050,0,2137,2019.0
19050,19049,0,2137,2019.0
19050,19051,0,2137,2019.0
19051,19050,0,2137,2019.0
19051,19052,0,2137,2019.0
19052,19051,0,2137,2019.0
19052,19053,0,2137,2019.0
19053,19052,0,2137,2019.0
19053,19054,0,2137,2019.0
19054,19053,0,2137,2019.0
19054,19055,0,2137,2019.0
19055,19054,0,2137,2019.0
19055,19056,0,2137,2019.0
19056,19055,0,2137,2019.0
19056,19057,0,2137,2019.0
19057,19056,0,2137,2019.0
19057,19058,0,2137,2019.0
19058,19057,0,2137,2019.0
19058,19059,0,2137,2019.0
19059,19058,0,2137,2019.0
19059,19062,0,2137,2019.0
19062,19059,0,2137,2020.0
19062,19063,0,2137,2020.0
19063,19062,0,2137,2020.0
19063,19064,0,2137,2020.0
19064,19063,0,2137,2020.0
19064,19066,0,2137,2020.0
19066,19064,0,2137,2020.0
19066,19067,0,2137,2020.0
19067,19066,0,2137,2020.0
19067,19069,0,2137,2020.0
19069,19067,0,2137,2020.0
19026,19027,0,2138,2016.0
19027,19026,0,2138,2016.0
19027,19028,0,2138,2016.0
19028,19027,0,2138,2016.0
19028,19029,0,2138,2016.0
19029,19028,0,2138,2016.0
19029,19030,0,2138,2016.0
19030,19029,0,2138,2016.0
19030,19031,0,2138,2016.0
19031,19030,0,2138,2016.0
19031,19032,0,2138,2016.0
19032,19031,0,2138,2016.0
19032,19033,0,2138,2016.0
19033,19032,0,2138,2016.0
19033,19034,0,2138,2016.0
19034,19033,0,2138,2016.0
19034,19035,0,2138,2016.0
19035,19034,0,2138,2016.0
19035,19036,0,2138,2016.0
19036,19035,0,2138,2016.0
19036,19037,0,2138,2016.0
19037,19036,0,2138,2016.0
19037,19038,0,2138,2016.0
19038,19037,0,2138,2016.0
19038,19039,0,2138,2016.0
19039,19038,0,2138,2016.0
19039,19040,0,2138,2016.0
19040,19039,0,2138,2016.0
19040,19041,0,2138,2016.0
19041,19040,0,2138,2016.0
19041,19042,0,2138,2016.0
19042,19041,0,2138,2017.0
19079,19080,0,2165,2010.0
19080,19079,0,2165,2010.0
19080,19081,0,2165,2010.0
19081,19080,0,2165,2010.0
19081,19082,0,2165,2010.0
19082,19081,0,2165,2010.0
19082,19083,0,2165,2010.0
19083,19082,0,2165,2010.0
19083,19084,0,2165,2010.0
19084,19083,0,2165,2010.0
19084,19085,0,2165,2010.0
19085,19084,0,2165,2010.0
19085,19086,0,2165,2010.0
19086,19085,0,2165,2010.0
19086,19087,0,2165,2010.0
19087,19086,0,2165,2010.0
19087,19088,0,2165,2010.0
19088,19087,0,2165,2010.0
19088,19089,0,2165,2010.0
19089,19088,0,2165,2010.0
19089,19090,0,2165,2010.0
19090,19089,0,2165,2010.0
19078,19185,0,2213,2022.0
19185,19078,0,2213,2022.0
19185,19186,0,2213,2022.0
19186,19185,0,2213,2022.0
19186,19187,0,2213,2022.0
19187,19186,0,2213,2022.0
19187,19188,0,2213,2022.0
19188,19187,0,2213,2022.0
19188,19189,0,2213,2022.0
19189,19188,0,2213,2022.0
19189,19190,0,2213,2022.0
19190,19189,0,2213,2022.0
19190,19191,0,2213,2022.0
19191,19190,0,2213,2022.0
19191,19192,0,2213,2022.0
19192,19191,0,2213,2022.0
19192,19193,0,2213,2022.0
19193,19192,0,2213,2022.0
32837,32838,0,2214,2022.0
32838,32837,0,2214,2022.0
32838,32839,0,2214,2022.0
32839,32838,0,2214,2022.0
32839,32840,0,2214,2022.0
32840,32839,0,2214,2022.0
19194,19195,0,2215,2025.0
19195,19194,0,2215,2025.0
19195,19196,0,2215,2025.0
19196,19195,0,2215,2025.0
19196,19197,0,2215,2025.0
19197,19196,0,2215,2025.0
19197,19198,0,2215,2025.0
19198,19197,0,2215,2025.0
19198,19199,0,2215,2025.0
19199,19198,0,2215,2025.0
19199,19200,0,2215,2025.0
19200,19199,0,2215,2025.0
19200,19201,0,2215,2025.0
19201,19200,0,2215,2025.0
