source,target,mode,line_id,year
3589,3590,0,307,2017.0
3590,3589,0,307,2017.0
3590,3591,0,307,2017.0
3591,3590,0,307,2017.0
3591,3592,0,307,2017.0
3592,3591,0,307,2017.0
3592,3593,0,307,2017.0
3593,3592,0,307,2017.0
3593,3594,0,307,2017.0
3594,3593,0,307,2017.0
3594,3595,0,307,2017.0
3595,3594,0,307,2017.0
3596,3597,0,308,2002.0
3597,3596,0,308,2002.0
3597,3598,0,308,2002.0
3598,3597,0,308,2002.0
3598,3599,0,308,2002.0
3599,3598,0,308,2002.0
3599,3600,0,308,2002.0
3600,3599,0,308,2002.0
3600,3601,0,308,2002.0
3601,3600,0,308,2002.0
3601,3602,0,308,2002.0
3602,3601,0,308,2003.0
3602,3603,0,308,2003.0
3603,3602,0,308,2003.0
3603,3604,0,308,2003.0
3604,3603,0,308,2003.0
3604,3605,0,308,2003.0
3605,3604,0,308,2003.0
3605,3606,0,308,2003.0
3606,3605,0,308,2003.0
3606,3607,0,308,2003.0
3607,3606,0,308,2004.0
3607,3608,0,308,2004.0
3608,3607,0,308,2012.0
3608,3609,0,308,2012.0
3609,3608,0,308,2012.0
3609,3610,0,308,2012.0
3610,3609,0,308,2012.0
3610,34103,0,308,2012.0
34103,3610,0,308,2023.0
34103,34104,0,308,2023.0
34104,34103,0,308,2022.0
34104,34105,0,308,2022.0
34105,34104,0,308,2022.0
3623,3627,0,309,1893.0
3627,3623,0,309,1893.0
3627,3635,0,309,1893.0
3635,3627,0,309,1893.0
3635,3638,0,309,1893.0
3638,3635,0,309,1893.0
3638,3641,0,309,1893.0
3641,3638,0,309,1893.0
3641,3644,0,309,1893.0
3644,3641,0,309,1893.0
3622,3624,0,310,1996.0
3624,3622,0,310,1995.0
3624,3626,0,310,1995.0
3626,3624,0,310,1995.0
3626,3628,0,310,1995.0
3628,3626,0,310,1995.0
3628,3630,0,310,1995.0
3630,3628,0,310,1995.0
3630,3633,0,310,1995.0
3633,3630,0,310,2021.0
3633,3636,0,310,2021.0
3636,3633,0,310,1995.0
3636,3637,0,310,1995.0
3637,3636,0,310,1995.0
3637,3640,0,310,1995.0
3640,3637,0,310,1995.0
3640,3642,0,310,1995.0
3642,3640,0,310,1995.0
3642,3643,0,310,1995.0
3643,3642,0,310,1995.0
3643,3645,0,310,1995.0
3645,3643,0,310,1995.0
3645,34095,0,310,1995.0
34095,3645,0,310,1995.0
34095,34096,0,310,1995.0
34096,34095,0,310,1995.0
34096,34097,0,310,1995.0
34097,34096,0,310,1995.0
34097,34098,0,310,1995.0
34098,34097,0,310,1995.0
34098,34099,0,310,1995.0
34099,34098,0,310,1995.0
34099,34100,0,310,1995.0
34100,34099,0,310,1995.0
34100,34101,0,310,1995.0
34101,34100,0,310,1995.0
34101,34102,0,310,1995.0
34102,34101,0,310,1995.0
34102,34106,0,310,1995.0
34106,34102,0,310,1995.0
34106,34107,0,310,1995.0
34107,34106,0,310,1995.0
34107,34108,0,310,1995.0
34108,34107,0,310,1995.0
34108,34109,0,310,1995.0
34109,34108,0,310,2005.0
34109,34124,0,310,2005.0
34124,34109,0,310,1995.0
34124,34125,0,310,1995.0
34125,34124,0,310,1995.0
34125,34126,0,310,1995.0
34126,34125,0,310,1995.0
34126,34127,0,310,1995.0
34127,34126,0,310,1995.0
34127,34128,0,310,1995.0
34128,34127,0,310,1995.0
34128,34129,0,310,1995.0
34129,34128,0,310,1995.0
34095,34096,0,4148,1995.0
34096,34095,0,4148,1995.0
34096,34097,0,4148,1995.0
34097,34096,0,4148,1995.0
34097,34098,0,4148,1995.0
34098,34097,0,4148,1995.0
34098,34099,0,4148,1995.0
34099,34098,0,4148,1995.0
34099,34100,0,4148,1995.0
34100,34099,0,4148,1995.0
34100,34101,0,4148,1995.0
34101,34100,0,4148,1995.0
34101,34102,0,4148,1995.0
34102,34101,0,4148,1995.0
34102,34106,0,4148,1995.0
34106,34102,0,4148,1995.0
34106,34107,0,4148,1995.0
34107,34106,0,4148,1995.0
34107,34108,0,4148,1995.0
34108,34107,0,4148,1995.0
34108,34109,0,4148,1995.0
34109,34108,0,4148,2005.0
34109,34110,0,4148,2005.0
34110,34109,0,4148,2011.0
34110,34111,0,4148,2011.0
34111,34110,0,4148,2011.0
34111,34112,0,4148,2011.0
34112,34111,0,4148,2003.0
34112,34113,0,4148,2003.0
34113,34112,0,4148,2003.0
34113,34114,0,4148,2003.0
34114,34113,0,4148,2007.0
34114,34115,0,4148,2007.0
34115,34114,0,4148,
34115,34116,0,4148,
34116,34115,0,4148,2003.0
34116,34117,0,4148,2003.0
34117,34116,0,4148,2003.0
34117,34118,0,4148,2003.0
34118,34117,0,4148,2003.0
34118,34119,0,4148,2003.0
34119,34118,0,4148,2005.0
34119,34120,0,4148,2005.0
34120,34119,0,4148,2005.0
34120,34121,0,4148,2005.0
34121,34120,0,4148,2005.0
34121,34122,0,4148,2005.0
34122,34121,0,4148,2007.0
34122,34123,0,4148,2007.0
34123,34122,0,4148,2009.0
