source,target,mode,line_id,year
5428,5430,0,314,2000.0
5430,5428,0,314,2000.0
5430,5431,0,314,2000.0
5431,5430,0,314,2000.0
5431,5432,0,314,2000.0
5432,5431,0,314,2000.0
5432,5433,0,314,2000.0
5433,5432,0,314,2000.0
5433,5827,0,314,2000.0
5827,5433,0,314,2000.0
5827,5829,0,314,2000.0
5829,5827,0,314,2000.0
5829,5830,0,314,2000.0
5830,5829,0,314,2000.0
5830,5831,0,314,2000.0
5831,5830,0,314,2000.0
5831,5832,0,314,2000.0
5832,5831,0,314,2000.0
5832,5833,0,314,2000.0
5833,5832,0,314,2000.0
5833,5834,0,314,2000.0
5834,5833,0,314,2000.0
5834,5835,0,314,2000.0
5835,5834,0,314,2012.0
5835,5836,0,314,2012.0
5836,5835,0,314,2012.0
5837,5838,0,480,2000.0
5838,5837,0,480,2000.0
5838,5839,0,480,2000.0
5839,5838,0,480,2000.0
5839,5840,0,480,2000.0
5840,5839,0,480,2000.0
5840,5841,0,480,2000.0
5841,5840,0,480,2000.0
5841,5842,0,480,2000.0
5842,5841,0,480,2000.0
5842,5843,0,480,2000.0
5843,5842,0,480,2000.0
5843,5844,0,480,2000.0
5844,5843,0,480,2000.0
5844,5845,0,480,2000.0
5845,5844,0,480,2000.0
5845,5846,0,480,2000.0
5846,5845,0,480,2000.0
5846,5847,0,480,2000.0
5847,5846,0,480,2000.0
5847,5848,0,480,2000.0
5848,5847,0,480,2000.0
5848,5849,0,480,2000.0
5849,5848,0,480,2000.0
5849,5850,0,480,2000.0
5850,5849,0,480,2000.0
5855,5856,0,521,1917.0
5856,5855,0,521,1926.0
