source,target,mode,line_id,year
7119,7120,0,612,2007.0
7120,7119,0,612,2007.0
7120,7121,0,612,2007.0
7121,7120,0,612,2007.0
7121,7126,0,612,2007.0
7126,7121,0,612,2007.0
7126,7127,0,612,2007.0
7127,7126,0,612,2007.0
7127,7128,0,612,2007.0
7128,7127,0,612,2007.0
7128,7129,0,612,2007.0
7129,7128,0,612,2007.0
7129,7130,0,612,2007.0
7130,7129,0,612,2007.0
7130,7131,0,612,2007.0
7131,7130,0,612,2007.0
7131,7132,0,612,2007.0
7132,7131,0,612,2007.0
7132,7133,0,612,2007.0
7133,7132,0,612,2007.0
7133,7134,0,612,2007.0
7134,7133,0,612,2007.0
7134,7135,0,612,2007.0
7135,7134,0,612,2007.0
7135,7136,0,612,2007.0
7136,7135,0,612,2007.0
7136,7137,0,612,2007.0
7137,7136,0,612,2007.0
7137,7138,0,612,2007.0
7138,7137,0,612,2007.0
7138,7139,0,612,2007.0
7139,7138,0,612,2007.0
7139,7140,0,612,2007.0
7140,7139,0,612,2005.0
7140,7141,0,612,2005.0
7141,7140,0,612,2005.0
7141,7142,0,612,2005.0
7142,7141,0,612,2003.0
7142,7143,0,612,2003.0
7143,7142,0,612,2003.0
7143,7144,0,612,2003.0
7144,7143,0,612,2008.0
7144,7145,0,612,2008.0
7145,7144,0,612,2008.0
7145,7146,0,612,2008.0
7146,7145,0,612,2003.0
7146,7147,0,612,2003.0
7147,7146,0,612,2003.0
7147,7148,0,612,2003.0
7148,7147,0,612,2008.0
7148,7149,0,612,2008.0
7149,7148,0,612,2008.0
7149,7150,0,612,2008.0
7150,7149,0,612,2003.0
7150,7151,0,612,2003.0
7151,7150,0,612,2003.0
7151,7152,0,612,2003.0
7152,7151,0,612,2003.0
7152,7153,0,612,2003.0
7153,7152,0,612,2003.0
7153,7154,0,612,2003.0
7154,7153,0,612,2003.0
7154,7155,0,612,2003.0
7155,7154,0,612,2003.0
7155,7156,0,612,2003.0
7156,7155,0,612,2003.0
7156,7157,0,612,2003.0
7157,7156,0,612,2003.0
7157,7158,0,612,2003.0
7158,7157,0,612,2003.0
7158,7159,0,612,2003.0
7159,7158,0,612,2003.0
7159,7160,0,612,2003.0
7160,7159,0,612,2003.0
7160,7161,0,612,2003.0
7161,7160,0,612,2003.0
7161,7162,0,612,2003.0
7162,7161,0,612,2003.0
7162,7163,0,612,2003.0
7163,7162,0,612,2003.0
7163,7164,0,612,2003.0
7164,7163,0,612,2003.0
7164,7165,0,612,2003.0
7165,7164,0,612,2003.0
7165,7166,0,612,2003.0
7166,7165,0,612,2003.0
7166,7167,0,612,2003.0
7167,7166,0,612,2003.0
7167,7168,0,612,2003.0
7168,7167,0,612,2003.0
7168,7169,0,612,2003.0
7169,7168,0,612,2003.0
7169,7170,0,612,2003.0
7170,7169,0,612,2003.0
7170,7171,0,612,2003.0
7171,7170,0,612,2003.0
7171,7172,0,612,2003.0
7172,7171,0,612,2003.0
7172,7173,0,612,2003.0
7173,7172,0,612,2003.0
7173,7174,0,612,2003.0
7174,7173,0,612,2003.0
7174,7175,0,612,2003.0
7175,7174,0,612,2003.0
7175,7179,0,612,2003.0
7179,7175,0,612,2003.0
7179,7180,0,612,2003.0
7180,7179,0,612,2003.0
7180,7186,0,612,2003.0
7186,7180,0,612,2003.0
7186,7187,0,612,2003.0
7187,7186,0,612,2003.0
7187,7188,0,612,2003.0
7188,7187,0,612,2003.0
7188,7189,0,612,2003.0
7189,7188,0,612,2003.0
7189,7190,0,612,2003.0
7190,7189,0,612,2003.0
7190,7191,0,612,2003.0
7191,7190,0,612,2003.0
7191,7192,0,612,2003.0
7192,7191,0,612,2003.0
7192,7195,0,612,2003.0
7195,7192,0,612,2003.0
7195,7206,0,612,2003.0
7206,7195,0,612,2003.0
7206,7207,0,612,2003.0
7207,7206,0,612,2005.0
7207,7208,0,612,2005.0
7208,7207,0,612,2005.0
7208,7209,0,612,2005.0
7209,7208,0,612,2003.0
7209,7210,0,612,2003.0
7210,7209,0,612,2005.0
7210,7211,0,612,2005.0
7211,7210,0,612,2005.0
7211,7212,0,612,2005.0
7212,7211,0,612,2005.0
7212,7213,0,612,2005.0
7213,7212,0,612,2005.0
7213,7214,0,612,2005.0
7214,7213,0,612,2005.0
7214,7215,0,612,2005.0
7215,7214,0,612,2005.0
7215,7216,0,612,2005.0
7216,7215,0,612,2005.0
7216,7217,0,612,2005.0
7217,7216,0,612,2005.0
7217,7218,0,612,2005.0
7218,7217,0,612,2015.0
7218,7219,0,612,2015.0
7219,7218,0,612,2015.0
7219,7220,0,612,2015.0
7220,7219,0,612,2015.0
7220,7221,0,612,2015.0
7221,7220,0,612,2015.0
7221,7222,0,612,2015.0
7222,7221,0,612,2015.0
7222,7223,0,612,2015.0
7223,7222,0,612,2015.0
7223,7224,0,612,2015.0
7224,7223,0,612,2015.0
7224,7225,0,612,2015.0
7225,7224,0,612,2015.0
7225,7226,0,612,2015.0
7226,7225,0,612,2015.0
7226,7227,0,612,2015.0
7227,7226,0,612,2015.0
7227,7228,0,612,2015.0
7228,7227,0,612,2015.0
7228,7303,0,612,2015.0
7303,7228,0,612,2008.0
