source,target,mode,line_id,year
14844,14845,0,1128,1975.0
14845,14844,0,1128,1975.0
14845,14846,0,1128,1975.0
14846,14845,0,1128,1901.0
14846,14847,0,1128,1901.0
14847,14846,0,1128,1975.0
14847,14848,0,1128,1975.0
14848,14847,1,1128,1901.0
14848,14849,1,1128,1901.0
14849,14848,1,1128,1901.0
14849,14850,1,1128,1901.0
14850,14849,1,1128,1902.0
14850,14851,1,1128,1902.0
14851,14850,0,1128,1919.0
14851,14856,0,1128,1919.0
14856,14851,0,1128,1901.0
14856,14857,0,1128,1901.0
14857,14856,0,1128,1901.0
14857,14858,0,1128,1901.0
14858,14857,0,1128,1901.0
14858,14859,0,1128,1901.0
14859,14858,0,1128,1909.0
14859,14860,0,1128,1909.0
14860,14859,0,1128,1912.0
14860,14861,0,1128,1912.0
14861,14860,0,1128,1909.0
14861,14862,0,1128,1909.0
14862,14861,0,1128,1908.0
14862,14863,0,1128,1908.0
14863,14862,1,1128,1908.0
14863,14864,1,1128,1908.0
14864,14863,0,1128,1987.0
14864,14865,0,1128,1987.0
14865,14864,0,1128,1987.0
14865,14866,0,1128,1987.0
14866,14865,0,1128,1987.0
14866,14867,0,1128,1987.0
14867,14866,0,1128,1987.0
14867,14868,0,1128,1987.0
14868,14867,0,1128,1987.0
14868,14869,0,1128,1987.0
14869,14868,0,1128,1987.0
14869,14870,0,1128,1987.0
14870,14869,0,1128,1987.0
14870,14871,0,1128,1987.0
14871,14870,0,1128,1987.0
14871,14872,0,1128,1987.0
14872,14871,0,1128,1987.0
14872,14879,0,1128,1987.0
14879,14872,0,1128,1977.0
14879,14880,0,1128,1977.0
14880,14879,0,1128,1975.0
14880,14881,0,1128,1975.0
14881,14880,0,1128,1975.0
14881,14882,0,1128,1975.0
14882,14881,0,1128,2014.0
14882,14885,0,1128,2014.0
14885,14882,0,1128,1904.0
14883,14884,0,1129,1904.0
14884,14883,0,1129,1908.0
14884,14885,0,1129,1908.0
14885,14884,0,1129,1904.0
14885,14886,0,1129,1904.0
14886,14885,0,1129,1904.0
14886,14898,0,1129,1904.0
14898,14886,0,1129,1952.0
14898,14899,0,1129,1952.0
14899,14898,0,1129,1952.0
14899,14900,0,1129,1952.0
14900,14899,0,1129,1916.0
14900,14901,0,1129,1916.0
14901,14900,0,1129,1916.0
14901,14921,0,1129,1916.0
14921,14901,0,1129,1952.0
14921,14922,0,1129,1952.0
14922,14921,0,1129,1952.0
14922,14923,0,1129,1952.0
14923,14922,0,1129,1954.0
14923,14924,0,1129,1954.0
14924,14923,0,1129,1954.0
14924,14925,0,1129,1954.0
14925,14924,0,1129,1954.0
11746,14792,0,1130,1928.0
14792,11746,0,1130,1897.0
14792,14863,0,1130,1897.0
14863,14792,1,1130,1908.0
14863,14934,1,1130,1908.0
14934,14863,0,1130,1912.0
14934,14935,0,1130,1912.0
14935,14934,0,1130,1912.0
14935,14936,0,1130,1912.0
14936,14935,0,1130,1912.0
14936,14937,0,1130,1912.0
14937,14936,0,1130,1932.0
14937,14940,0,1130,1932.0
14940,14937,0,1130,1916.0
14940,14941,0,1130,1916.0
14941,14940,0,1130,1927.0
14941,14942,0,1130,1927.0
14942,14941,0,1130,1927.0
