source,target,mode,line_id,year
16346,32574,0,528,1896.0
32574,16346,0,528,1970.0
32574,32575,0,528,1970.0
32575,32574,0,528,1970.0
32575,32576,0,528,1970.0
32576,32575,0,528,1970.0
32576,32577,0,528,1970.0
32577,32576,0,528,1970.0
32577,32578,0,528,1970.0
32578,32577,0,528,1970.0
32578,32579,0,528,1970.0
32579,32578,0,528,1970.0
32579,32580,0,528,1970.0
32580,32579,0,528,1972.0
32580,32581,0,528,1972.0
32581,32580,0,528,1972.0
32581,32582,0,528,1972.0
32582,32581,0,528,1972.0
32582,32583,0,528,1972.0
32583,32582,0,528,1972.0
16345,16346,0,529,1896.0
16346,16345,0,529,1896.0
16346,16347,0,529,1896.0
16347,16346,0,529,1896.0
16347,16351,0,529,1896.0
16351,16347,0,529,1896.0
16351,16352,0,529,1896.0
16352,16351,0,529,1896.0
16352,16353,0,529,1896.0
16353,16352,0,529,1896.0
16353,16354,0,529,1896.0
16354,16353,0,529,1896.0
16354,16355,0,529,1896.0
16355,16354,0,529,1896.0
16355,16356,0,529,1896.0
16356,16355,0,529,1896.0
16356,16357,0,529,1896.0
16357,16356,0,529,1896.0
16357,16358,0,529,1896.0
16358,16357,0,529,1973.0
16371,32577,0,530,1976.0
32577,16371,0,530,1970.0
32577,32584,0,530,1970.0
32584,32577,0,530,2014.0
32584,32585,0,530,2014.0
32585,32584,0,530,2014.0
32585,32586,0,530,2014.0
32586,32585,0,530,2014.0
32586,32587,0,530,2014.0
32587,32586,0,530,2014.0
32587,32588,0,530,2014.0
32588,32587,0,530,2014.0
32588,32589,0,530,2014.0
32589,32588,0,530,2014.0
32589,32590,0,530,2014.0
32590,32589,0,530,2014.0
32590,32591,0,530,2014.0
32591,32590,0,530,2014.0
16346,16368,0,1596,1896.0
16368,16346,0,1596,1981.0
16368,16369,0,1596,1981.0
16369,16368,0,1596,1981.0
16369,16370,0,1596,1981.0
16370,16369,0,1596,1976.0
16370,16371,0,1596,1976.0
16371,16370,0,1596,1976.0
16371,16375,0,1596,1976.0
16375,16371,0,1596,1981.0
16375,16380,0,1596,1981.0
16380,16375,0,1596,1976.0
16380,16383,0,1596,1976.0
16383,16380,0,1596,1976.0
16383,16463,0,1596,1976.0
16463,16383,0,1596,1980.0
16463,16465,0,1596,1980.0
16465,16463,0,1596,1980.0
16465,16467,0,1596,1980.0
16467,16465,0,1596,1976.0
16467,16468,0,1596,1976.0
16468,16467,0,1596,1980.0
16468,16469,0,1596,1980.0
16469,16468,0,1596,1980.0
16469,32568,0,1596,1980.0
32568,16469,0,1596,1980.0
32568,32569,0,1596,1980.0
32569,32568,0,1596,1984.0
32569,32570,0,1596,1984.0
32570,32569,0,1596,1984.0
32570,32571,0,1596,1984.0
32571,32570,0,1596,1990.0
32571,32572,0,1596,1990.0
32572,32571,0,1596,1990.0
32572,32573,0,1596,1990.0
32573,32572,0,1596,1990.0
