source,target,mode,line_id,year
33,34,0,5,1913.0
34,33,0,5,1913.0
34,36,0,5,1913.0
36,34,0,5,1913.0
36,41,0,5,1913.0
41,36,0,5,1914.0
41,42,0,5,1914.0
42,41,0,5,1914.0
42,69,0,5,1914.0
69,42,0,5,1913.0
69,74,0,5,1913.0
74,69,0,5,2008.0
74,75,0,5,2008.0
75,74,0,5,2008.0
75,82,0,5,2008.0
82,75,0,5,2013.0
82,83,0,5,2013.0
83,82,0,5,2013.0
88,89,0,9,2019.0
89,88,0,9,2019.0
1,90,0,10,2007.0
90,1,0,10,2018.0
90,16718,0,10,2018.0
16718,90,0,10,999999.0
8859,8861,0,11,1987.0
8861,8859,0,11,1987.0
8861,8862,0,11,1987.0
8862,8861,0,11,1987.0
8862,8863,0,11,1987.0
8863,8862,0,11,1987.0
8863,8864,0,11,1987.0
8864,8863,0,11,2000.0
8864,8865,0,11,2000.0
8865,8864,0,11,1987.0
8865,8866,0,11,1987.0
8866,8865,0,11,1987.0
8866,8867,0,11,1987.0
8867,8866,0,11,1987.0
8867,8868,0,11,1987.0
8868,8867,0,11,1987.0
8868,8869,0,11,1987.0
8869,8868,0,11,1987.0
8869,8870,0,11,1987.0
8870,8869,0,11,1987.0
8870,8871,0,11,1987.0
8871,8870,0,11,2006.0
8871,8872,0,11,2006.0
8872,8871,0,11,1987.0
8872,8873,0,11,1987.0
8873,8872,0,11,1987.0
8873,8874,0,11,1987.0
8874,8873,0,11,1987.0
8874,8875,0,11,1987.0
8875,8874,0,11,1987.0
8875,8876,0,11,1987.0
8876,8875,0,11,1987.0
8876,8877,0,11,1987.0
8877,8876,0,11,1987.0
6532,6554,0,561,1888.0
6554,6532,0,561,1914.0
6554,6557,0,561,1914.0
6557,6554,0,561,1914.0
6557,6559,0,561,1914.0
6559,6557,0,561,1914.0
6559,6560,0,561,1914.0
6560,6559,0,561,1914.0
6560,6561,0,561,1914.0
6561,6560,0,561,1914.0
6561,6565,0,561,1914.0
6565,6561,0,561,1974.0
6565,8878,0,561,1974.0
8878,6565,0,561,1888.0
8878,8879,0,561,1888.0
8879,8878,0,561,1888.0
8879,8880,0,561,1888.0
8880,8879,0,561,1888.0
8880,8881,0,561,1888.0
8881,8880,0,561,1908.0
8881,8882,0,561,1908.0
8882,8881,0,561,1888.0
8882,8883,0,561,1888.0
8883,8882,0,561,1888.0
8883,8884,0,561,1888.0
8884,8883,0,561,1914.0
8884,8885,0,561,1914.0
8885,8884,0,561,1914.0
8885,8886,0,561,1914.0
8886,8885,0,561,1914.0
8886,9083,0,561,1914.0
9083,8886,0,561,1911.0
9083,9084,0,561,1911.0
9084,9083,0,561,1911.0
9084,9085,0,561,1911.0
9085,9084,0,561,1911.0
8057,8058,0,639,1862.0
8058,8057,0,639,1916.0
8058,8059,0,639,1916.0
8059,8058,0,639,1996.0
8059,8060,0,639,1996.0
8060,8059,0,639,1915.0
8060,8142,0,639,1915.0
8142,8060,0,639,1862.0
8142,8789,0,639,1862.0
8789,8142,0,639,1892.0
8789,8790,0,639,1892.0
8790,8789,0,639,1903.0
8790,8791,0,639,1903.0
8791,8790,0,639,1892.0
8791,8792,0,639,1892.0
8792,8791,0,639,1898.0
8792,8858,0,639,1898.0
8858,8792,0,639,1914.0
8858,9122,0,639,1914.0
9122,8858,0,639,1892.0
9122,11222,0,639,1892.0
11222,9122,0,639,2018.0
11222,15835,0,639,2018.0
15835,11222,0,639,2019.0
15835,15836,0,639,2019.0
15836,15835,0,639,2019.0
8077,8078,0,644,1889.0
8078,8077,0,644,1888.0
8078,8079,0,644,1888.0
8079,8078,0,644,1907.0
8079,8080,0,644,1907.0
8080,8079,0,644,1930.0
8080,8081,0,644,1930.0
8081,8080,0,644,1888.0
8081,8082,0,644,1888.0
8082,8081,0,644,1912.0
8082,8083,0,644,1912.0
8083,8082,0,644,1872.0
8083,8084,0,644,1872.0
8084,8083,0,644,1907.0
8084,8085,0,644,1907.0
8085,8084,0,644,1906.0
8085,8086,0,644,1906.0
8086,8085,0,644,1888.0
8086,8087,0,644,1888.0
