source,target,mode,line_id,year
20381,20382,0,2273,2017.0
20382,20381,0,2273,2017.0
20382,20383,0,2273,2017.0
20383,20382,0,2273,2017.0
20383,20384,0,2273,2017.0
20384,20383,0,2273,2017.0
20384,20385,0,2273,2017.0
20385,20384,0,2273,2017.0
20385,20386,0,2273,2017.0
20386,20385,0,2273,2017.0
20386,20387,0,2273,2017.0
20387,20386,0,2273,1994.0
20387,20388,0,2273,1994.0
20388,20387,0,2273,1994.0
20388,20389,0,2273,1994.0
20389,20388,0,2273,1994.0
20389,20390,0,2273,1994.0
20390,20389,0,2273,1994.0
20390,20391,0,2273,1994.0
20391,20390,0,2273,1994.0
20391,20392,0,2273,1994.0
20392,20391,0,2273,1994.0
20392,20393,0,2273,1994.0
20393,20392,0,2273,1990.0
20393,20394,0,2273,1990.0
20394,20393,0,2273,1990.0
20394,20395,0,2273,1990.0
20395,20394,0,2273,1988.0
20395,20396,0,2273,1988.0
20396,20395,0,2273,1988.0
20396,20397,0,2273,1988.0
20397,20396,0,2273,1988.0
20397,20398,0,2273,1988.0
20398,20397,0,2273,1987.0
20398,20399,0,2273,1987.0
20399,20398,0,2273,1987.0
20399,20400,0,2273,1987.0
20400,20399,0,2273,1987.0
20400,20401,0,2273,1987.0
20401,20400,0,2273,1987.0
20401,20402,0,2273,1987.0
20402,20401,0,2273,1987.0
20402,20403,0,2273,1987.0
20403,20402,0,2273,1987.0
20403,20404,0,2273,1987.0
20404,20403,0,2273,1985.0
20404,20405,0,2273,1985.0
20405,20404,0,2273,1985.0
20405,20407,0,2273,1985.0
20407,20405,0,2273,1985.0
20407,20408,0,2273,1985.0
20408,20407,0,2273,1985.0
20408,20409,0,2273,1985.0
20409,20408,0,2273,1985.0
20409,20410,0,2273,1985.0
20410,20409,0,2273,1985.0
20410,20411,0,2273,1985.0
20411,20410,0,2273,1985.0
20411,20412,0,2273,1985.0
20412,20411,0,2273,1985.0
20412,20413,0,2273,1985.0
20413,20412,0,2273,1985.0
20413,20414,0,2273,1985.0
20414,20413,0,2273,1985.0
20414,20415,0,2273,1985.0
20415,20414,0,2273,1985.0
20415,20416,0,2273,1985.0
20416,20415,0,2273,1985.0
20416,20417,0,2273,1985.0
20417,20416,0,2273,1985.0
20417,20418,0,2273,1985.0
20418,20417,0,2273,1985.0
20418,20419,0,2273,1985.0
20419,20418,0,2273,1985.0
20419,20420,0,2273,1985.0
20420,20419,0,2273,1986.0
20448,20449,0,2274,2002.0
20449,20448,0,2274,2002.0
20449,20450,0,2274,2002.0
20450,20449,0,2274,2002.0
20450,20451,0,2274,2002.0
20451,20450,0,2274,2002.0
20451,20452,0,2274,2002.0
20452,20451,0,2274,2002.0
20452,20453,0,2274,2002.0
20453,20452,0,2274,2002.0
20453,20454,0,2274,2002.0
20454,20453,0,2274,2002.0
20454,20455,0,2274,2002.0
20455,20454,0,2274,2002.0
20455,20456,0,2274,2002.0
20456,20455,0,2274,2002.0
20456,20464,0,2274,2002.0
20464,20456,0,2274,2001.0
20464,20467,0,2274,2001.0
20467,20464,0,2274,1999.0
20467,20468,0,2274,1999.0
20468,20467,0,2274,1999.0
20468,20469,0,2274,1999.0
20469,20468,0,2274,1999.0
20469,20470,0,2274,1999.0
20470,20469,0,2274,1999.0
20470,20471,0,2274,1999.0
20471,20470,0,2274,1999.0
20471,20472,0,2274,1999.0
20472,20471,0,2274,1999.0
20472,20473,0,2274,1999.0
20473,20472,0,2274,1999.0
20473,20474,0,2274,1999.0
20474,20473,0,2274,1999.0
20474,20475,0,2274,1999.0
20475,20474,0,2274,1999.0
20475,20476,0,2274,1999.0
20476,20475,0,2274,1999.0
20476,20477,0,2274,1999.0
20477,20476,0,2274,1999.0
20477,20478,0,2274,1999.0
20478,20477,0,2274,1999.0
20478,20479,0,2274,1999.0
20479,20478,0,2274,1999.0
20479,20480,0,2274,1999.0
20480,20479,0,2274,1999.0
20480,20481,0,2274,1999.0
20481,20480,0,2274,1999.0
20481,20482,0,2274,1999.0
20482,20481,0,2274,1999.0
20482,20483,0,2274,1999.0
20483,20482,0,2274,1999.0
20483,20484,0,2274,1999.0
20484,20483,0,2274,1999.0
20484,20485,0,2274,1999.0
20485,20484,0,2274,1999.0
20485,20486,0,2274,1999.0
20486,20485,0,2274,1999.0
20486,20487,0,2274,1999.0
20487,20486,0,2274,2015.0
20487,20488,0,2274,2015.0
20488,20487,0,2274,2009.0
20488,20489,0,2274,2009.0
20489,20488,0,2274,2008.0
20501,20502,0,2275,2005.0
20502,20501,0,2275,2005.0
20502,20517,0,2275,2005.0
20517,20502,0,2275,2005.0
20517,20518,0,2275,2005.0
20518,20517,0,2275,2005.0
20518,20519,0,2275,2005.0
20519,20518,0,2275,2005.0
20519,20520,0,2275,2005.0
20520,20519,0,2275,2005.0
20520,20521,0,2275,2005.0
20521,20520,0,2275,2005.0
20521,20522,0,2275,2005.0
20522,20521,0,2275,2005.0
20522,20523,0,2275,2005.0
20523,20522,0,2275,2005.0
20523,20524,0,2275,2005.0
20524,20523,0,2275,2005.0
20524,20525,0,2275,2005.0
20525,20524,0,2275,2005.0
20525,20526,0,2275,2005.0
20526,20525,0,2275,2005.0
20526,20527,0,2275,2005.0
20527,20526,0,2275,2005.0
20527,20528,0,2275,2005.0
20528,20527,0,2275,2005.0
20528,20530,0,2275,2005.0
20530,20528,0,2275,2005.0
