source,target,mode,line_id,year
33612,33614,0,4115,1987.0
33614,33612,0,4115,1987.0
33612,33613,0,4116,1987.0
33613,33612,0,4116,1996.0
33613,33614,0,4117,1996.0
33614,33613,0,4117,1987.0
33614,33702,0,4117,1987.0
33702,33614,0,4117,2024.0
33703,38561,0,4118,
38561,33703,0,4118,
38561,38562,0,4118,
38562,38561,0,4118,
38562,38563,0,4118,
38563,38562,0,4118,
34549,34550,0,4119,
34550,34549,0,4119,
34550,34551,0,4119,
34551,34550,0,4119,
34551,34552,0,4119,
34552,34551,0,4119,
34552,34553,0,4119,
34553,34552,0,4119,
34553,34554,0,4119,
34554,34553,0,4119,
33742,33743,0,4120,
33743,33742,0,4120,
33743,33744,0,4120,
33744,33743,0,4120,
33744,33745,0,4120,
33745,33744,0,4120,
33745,33746,0,4120,
33746,33745,0,4120,
33746,33747,0,4120,
33747,33746,0,4120,
33747,33748,0,4120,
33748,33747,0,4120,
33748,33749,0,4120,
33749,33748,0,4120,
33749,33750,0,4120,
33750,33749,0,4120,
33750,38559,0,4120,
38559,33750,0,4120,
38559,38560,0,4120,
38560,38559,0,4120,
