source,target,mode,line_id,year
24925,24926,0,3080,2010.0
24926,24925,0,3080,2010.0
24926,24927,0,3080,2010.0
24927,24926,0,3080,2010.0
24927,24929,0,3080,2010.0
24929,24927,0,3080,2010.0
24929,24930,0,3080,2010.0
24930,24929,0,3080,2010.0
24930,24932,0,3080,2010.0
24932,24930,0,3080,2010.0
24932,24934,0,3080,2010.0
24934,24932,0,3080,2013.0
24934,24939,0,3080,2013.0
24939,24934,0,3080,2015.0
24939,24940,0,3080,2015.0
24940,24939,0,3080,2018.0
24940,24941,0,3080,2018.0
24941,24940,0,3080,2018.0
24941,24942,0,3080,2018.0
24942,24941,0,3080,2018.0
24942,24943,0,3080,2018.0
24943,24942,0,3080,2018.0
24943,24944,0,3080,2018.0
24944,24943,0,3080,2018.0
24944,24948,0,3080,2018.0
24948,24944,0,3080,2018.0
24948,24949,0,3080,2018.0
24949,24948,0,3080,2018.0
24949,24950,0,3080,2018.0
24950,24949,0,3080,2018.0
24950,24951,0,3080,2018.0
24951,24950,0,3080,2015.0
24951,24952,0,3080,2015.0
24952,24951,0,3080,2018.0
24953,24954,0,3081,2013.0
24954,24953,0,3081,2013.0
24954,24957,0,3081,2013.0
24957,24954,0,3081,2013.0
24957,24967,0,3081,2013.0
24967,24957,0,3081,2012.0
24967,24977,0,3081,2012.0
24977,24967,0,3081,2012.0
24977,24978,0,3081,2012.0
24978,24977,0,3081,2012.0
24978,24979,0,3081,2012.0
24979,24978,0,3081,2012.0
24979,24980,0,3081,2012.0
24980,24979,0,3081,2014.0
24980,24981,0,3081,2014.0
24981,24980,0,3081,2014.0
24981,24982,0,3081,2014.0
24982,24981,0,3081,2014.0
24982,24983,0,3081,2014.0
24983,24982,0,3081,2014.0
24983,24984,0,3081,2014.0
24984,24983,0,3081,2014.0
25009,25010,0,3082,2016.0
25010,25009,0,3082,2016.0
25010,25011,0,3082,2016.0
25011,25010,0,3082,2016.0
25011,25012,0,3082,2016.0
25012,25011,0,3082,2018.0
25012,25013,0,3082,2018.0
25013,25012,0,3082,2018.0
25013,25014,0,3082,2018.0
25014,25013,0,3082,2018.0
25014,25015,0,3082,2018.0
25015,25014,0,3082,2018.0
25015,25016,0,3082,2018.0
25016,25015,0,3082,2018.0
25016,25017,0,3082,2018.0
25017,25016,0,3082,2018.0
25017,25018,0,3082,2018.0
25018,25017,0,3082,2018.0
25018,25019,0,3082,2018.0
25019,25018,0,3082,2018.0
25019,25020,0,3082,2018.0
25020,25019,0,3082,2018.0
25020,25021,0,3082,2018.0
25021,25020,0,3082,2018.0
25021,25022,0,3082,2018.0
25022,25021,0,3082,2018.0
25023,25024,0,3083,2017.0
25024,25023,0,3083,2017.0
25024,25025,0,3083,2017.0
25025,25024,0,3083,2017.0
25025,25026,0,3083,2017.0
25026,25025,0,3083,2017.0
25026,25027,0,3083,2017.0
25027,25026,0,3083,2017.0
25027,25028,0,3083,2017.0
25028,25027,0,3083,2017.0
25028,25029,0,3083,2017.0
25029,25028,0,3083,2017.0
25029,25030,0,3083,2017.0
25030,25029,0,3083,2017.0
25030,25031,0,3083,2017.0
25031,25030,0,3083,2015.0
25031,25032,0,3083,2015.0
25032,25031,0,3083,2015.0
25032,25033,0,3083,2015.0
25033,25032,0,3083,2015.0
25033,25034,0,3083,2015.0
25034,25033,0,3083,2015.0
25034,25035,0,3083,2015.0
25035,25034,0,3083,2015.0
25035,25036,0,3083,2015.0
25036,25035,0,3083,2015.0
25036,25037,0,3083,2015.0
25037,25036,0,3083,2015.0
25037,25038,0,3083,2015.0
25038,25037,0,3083,2015.0
25038,25044,0,3083,2015.0
25044,25038,0,3083,2015.0
25044,25045,0,3083,2015.0
25045,25044,0,3083,2015.0
25045,25046,0,3083,2015.0
25046,25045,0,3083,2015.0
25046,25048,0,3083,2015.0
25048,25046,0,3083,2017.0
25048,25049,0,3083,2017.0
25049,25048,0,3083,2017.0
25049,25050,0,3083,2017.0
25050,25049,0,3083,2017.0
25050,25051,0,3083,2017.0
25051,25050,0,3083,2017.0
25051,25052,0,3083,2017.0
25052,25051,0,3083,2017.0
25052,25053,0,3083,2017.0
25053,25052,0,3083,2017.0
25056,25057,0,3085,2019.0
25057,25056,0,3085,2019.0
25057,25058,0,3085,2019.0
25058,25057,0,3085,2019.0
25058,25059,0,3085,2019.0
25059,25058,0,3085,2019.0
25059,25060,0,3085,2019.0
25060,25059,0,3085,2019.0
25060,25061,0,3085,2019.0
25061,25060,0,3085,2019.0
25061,25062,0,3085,2019.0
25062,25061,0,3085,2019.0
25062,25063,0,3085,2019.0
25063,25062,0,3085,2019.0
25063,25064,0,3085,2019.0
25064,25063,0,3085,2019.0
25064,25065,0,3085,2019.0
25065,25064,0,3085,2019.0
25065,25066,0,3085,2019.0
25066,25065,0,3085,2019.0
25066,25067,0,3085,2019.0
25067,25066,0,3085,2019.0
25067,25068,0,3085,2019.0
25068,25067,0,3085,2019.0
25068,25069,0,3085,2019.0
25069,25068,0,3085,2019.0
25069,25070,0,3085,2019.0
25070,25069,0,3085,2019.0
25070,25071,0,3085,2019.0
25071,25070,0,3085,2019.0
25071,25072,0,3085,2019.0
25072,25071,0,3085,2019.0
25072,25073,0,3085,2019.0
25073,25072,0,3085,2019.0
25073,25074,0,3085,2019.0
25074,25073,0,3085,2019.0
25074,25075,0,3085,2019.0
25075,25074,0,3085,2019.0
25075,25076,0,3085,2019.0
25076,25075,0,3085,2019.0
25076,25077,0,3085,2019.0
