source,target,mode,line_id,year
30932,30933,0,3638,2018.0
30933,30932,0,3638,2018.0
30933,30934,0,3638,2018.0
30934,30933,0,3638,2018.0
30934,30935,0,3638,2018.0
30935,30934,0,3638,2018.0
30935,30940,0,3638,2018.0
30940,30935,0,3638,2019.0
30940,30941,0,3638,2019.0
30941,30940,0,3638,2019.0
30941,30942,0,3638,2019.0
30942,30941,0,3638,2019.0
30942,30943,0,3638,2019.0
30943,30942,0,3638,2019.0
30943,30945,0,3638,2019.0
30945,30943,0,3638,2019.0
30945,30946,0,3638,2019.0
30946,30945,0,3638,2019.0
30946,30947,0,3638,2019.0
30947,30946,0,3638,2019.0
30947,30948,0,3638,2019.0
30948,30947,0,3638,2016.0
30948,30949,0,3638,2016.0
30949,30948,0,3638,2016.0
30949,30950,0,3638,2016.0
30950,30949,0,3638,2016.0
30950,30951,0,3638,2016.0
30951,30950,0,3638,2016.0
30951,30952,0,3638,2016.0
30952,30951,0,3638,2016.0
30952,30953,0,3638,2016.0
30953,30952,0,3638,2016.0
30953,30962,0,3638,2016.0
30962,30953,0,3638,2021.0
30962,30964,0,3638,2021.0
30964,30962,0,3638,2021.0
30964,30966,0,3638,2021.0
30966,30964,0,3638,2021.0
30966,30967,0,3638,2021.0
30967,30966,0,3638,2021.0
30967,30968,0,3638,2021.0
30968,30967,0,3638,2021.0
30968,30969,0,3638,2021.0
30969,30968,0,3638,2021.0
30944,30954,0,3639,2018.0
30954,30944,0,3639,2015.0
30954,30955,0,3639,2015.0
30955,30954,0,3639,2017.0
