source,target,mode,line_id,year
22436,22457,0,2479,1968.0
22457,22436,0,2479,1955.0
22457,37036,0,2479,1955.0
37036,22457,0,2479,1955.0
37090,37091,0,2480,1920.0
37091,37090,0,2480,1920.0
37091,37092,0,2480,1920.0
37092,37091,0,2480,1920.0
37092,37093,0,2480,1920.0
37093,37092,0,2480,1920.0
37093,37094,0,2480,1920.0
37094,37093,0,2480,1948.0
37094,37095,0,2480,1948.0
37095,37094,0,2480,1920.0
37095,37096,0,2480,1920.0
37096,37095,0,2480,1920.0
37096,37097,0,2480,1920.0
37097,37096,0,2480,1920.0
37097,37098,0,2480,1920.0
37098,37097,0,2480,1920.0
37098,37099,0,2480,1920.0
37099,37098,0,2480,1920.0
37099,37100,0,2480,1920.0
37100,37099,0,2480,1920.0
37100,37101,0,2480,1920.0
37101,37100,0,2480,1920.0
37101,37102,0,2480,1920.0
37102,37101,0,2480,1920.0
37102,37103,0,2480,1920.0
37103,37102,0,2480,1930.0
37103,37104,0,2480,1930.0
37104,37103,0,2480,1930.0
37090,37091,0,2481,1920.0
37091,37090,0,2481,1920.0
37091,37092,0,2481,1920.0
37092,37091,0,2481,1920.0
37092,37093,0,2481,1920.0
37093,37092,0,2481,1920.0
37093,37105,0,2481,1920.0
37105,37093,0,2481,1913.0
37105,37106,0,2481,1913.0
37106,37105,0,2481,1913.0
37106,37107,0,2481,1913.0
37107,37106,0,2481,1913.0
37107,37108,0,2481,1913.0
37108,37107,0,2481,1913.0
37108,37109,0,2481,1913.0
37109,37108,0,2481,1913.0
37109,37110,0,2481,1913.0
37110,37109,0,2481,1915.0
37110,37111,0,2481,1915.0
37111,37110,0,2481,1915.0
37111,37112,0,2481,1915.0
37112,37111,0,2481,1928.0
37112,37113,0,2481,1928.0
37113,37112,0,2481,1936.0
37113,37114,0,2481,1936.0
37114,37113,0,2481,1936.0
37114,37115,0,2481,1936.0
37115,37114,0,2481,1936.0
37084,37085,0,4628,1996.0
37085,37084,0,4628,1996.0
37085,37086,0,4628,1996.0
37086,37085,0,4628,1999.0
37086,37087,0,4628,1999.0
37087,37086,0,4628,
37087,37088,0,4628,
37088,37087,0,4628,1996.0
37088,37089,0,4628,1996.0
37089,37088,0,4628,
