source,target,mode,line_id,year
19671,19672,0,2233,2004.0
19672,19671,0,2233,2004.0
19672,19673,0,2233,2004.0
19673,19672,0,2233,2004.0
19673,19674,0,2233,2004.0
19674,19673,0,2233,2004.0
19674,19675,0,2233,2004.0
19675,19674,0,2233,2004.0
19675,19676,0,2233,2004.0
19676,19675,0,2233,2004.0
19676,19677,0,2233,2004.0
19677,19676,0,2233,2004.0
19677,19678,0,2233,2004.0
19678,19677,0,2233,2004.0
19678,19679,0,2233,2004.0
19679,19678,0,2233,2004.0
19679,19680,0,2233,2004.0
19680,19679,0,2233,2004.0
19680,19681,0,2233,2004.0
19681,19680,0,2233,2004.0
