source,target,mode,line_id,year
30668,30669,0,3626,1997.0
30669,30668,0,3626,1997.0
30669,30670,0,3626,1997.0
30670,30669,0,3626,1997.0
30670,30671,0,3626,1997.0
30671,30670,0,3626,1997.0
30671,30672,0,3626,1997.0
30672,30671,0,3626,1997.0
30672,30673,0,3626,1997.0
30673,30672,0,3626,1997.0
30673,30674,0,3626,1997.0
30674,30673,0,3626,1997.0
30674,30675,0,3626,1997.0
30675,30674,0,3626,1997.0
30675,30676,0,3626,1997.0
30676,30675,0,3626,1997.0
30676,30677,0,3626,1997.0
30677,30676,0,3626,1997.0
30677,30678,0,3626,1997.0
30678,30677,0,3626,2002.0
30678,30679,0,3626,2002.0
30679,30678,0,3626,1997.0
30679,30680,0,3626,1997.0
30680,30679,0,3626,1997.0
30680,30681,0,3626,1997.0
30681,30680,0,3626,2016.0
30681,30682,0,3626,2016.0
30682,30681,0,3626,2016.0
30682,30683,0,3626,2016.0
30683,30682,0,3626,1997.0
30683,30684,0,3626,1997.0
30684,30683,0,3626,1998.0
30684,30685,0,3626,1998.0
30685,30684,0,3626,
30685,30686,0,3626,
30686,30685,0,3626,1998.0
30686,30687,0,3626,1998.0
30687,30686,0,3626,1998.0
30687,30688,0,3626,1998.0
30688,30687,0,3626,1998.0
30688,30689,0,3626,1998.0
30689,30688,0,3626,1998.0
30689,30690,0,3626,1998.0
30690,30689,0,3626,1998.0
30690,30691,0,3626,1998.0
30691,30690,0,3626,1998.0
30691,30692,0,3626,1998.0
30692,30691,0,3626,1998.0
30692,30693,0,3626,1998.0
30693,30692,0,3626,1998.0
30693,30694,0,3626,1998.0
30694,30693,0,3626,1998.0
30694,30695,0,3626,1998.0
30695,30694,0,3626,1998.0
30695,30696,0,3626,1998.0
30696,30695,0,3626,1998.0
30696,30697,0,3626,1998.0
30697,30696,0,3626,1998.0
30697,30698,0,3626,1998.0
30698,30697,0,3626,1998.0
30699,30700,0,3627,2005.0
30700,30699,0,3627,2005.0
30700,30701,0,3627,2005.0
30701,30700,0,3627,2005.0
30701,30702,0,3627,2005.0
30702,30701,0,3627,2005.0
30702,30703,0,3627,2005.0
30703,30702,0,3627,2005.0
30703,30704,0,3627,2005.0
30704,30703,0,3627,2005.0
30704,30705,0,3627,2005.0
30705,30704,0,3627,2005.0
30705,30706,0,3627,2005.0
30706,30705,0,3627,2005.0
30706,30707,0,3627,2005.0
30707,30706,0,3627,2005.0
30707,30708,0,3627,2005.0
30708,30707,0,3627,2005.0
30708,30709,0,3627,2005.0
30709,30708,0,3627,2005.0
30709,30710,0,3627,2005.0
30710,30709,0,3627,2005.0
30710,30711,0,3627,2005.0
30711,30710,0,3627,2005.0
30711,30712,0,3627,2005.0
30712,30711,0,3627,2005.0
30712,30713,0,3627,2005.0
30713,30712,0,3627,2005.0
30713,30714,0,3627,2005.0
30714,30713,0,3627,2005.0
30714,30715,0,3627,2005.0
30715,30714,0,3627,2005.0
30715,30716,0,3627,2005.0
30716,30715,0,3627,2005.0
30716,30717,0,3627,2005.0
30717,30716,0,3627,2005.0
30717,30718,0,3627,2005.0
30718,30717,0,3627,2005.0
30718,30719,0,3627,2005.0
30719,30718,0,3627,2005.0
30719,30720,0,3627,2005.0
30720,30719,0,3627,2005.0
30720,30721,0,3627,2005.0
30721,30720,0,3627,2005.0
30721,30722,0,3627,2005.0
30722,30721,0,3627,2005.0
30722,30723,0,3627,2005.0
30723,30722,0,3627,2012.0
30723,30724,0,3627,2012.0
30724,30723,0,3627,2012.0
30724,30725,0,3627,2012.0
30725,30724,0,3627,2012.0
30725,30726,0,3627,2012.0
30726,30725,0,3627,2005.0
