source,target,mode,line_id,year
32964,32965,0,964,2012.0
32965,32964,0,964,2012.0
32965,32966,0,964,2012.0
32966,32965,0,964,2012.0
32966,32968,0,964,2012.0
32968,32966,0,964,2012.0
32968,32971,0,964,2012.0
32971,32968,0,964,2014.0
32971,32972,0,964,2014.0
32972,32971,0,964,2012.0
32953,32954,0,3833,2001.0
32954,32953,0,3833,2001.0
32954,32955,0,3833,2001.0
32955,32954,0,3833,2000.0
32955,32956,0,3833,2000.0
32956,32955,0,3833,2000.0
32956,32958,0,3833,2000.0
32958,32956,0,3833,2000.0
32958,32959,0,3833,2000.0
32959,32958,0,3833,2000.0
32959,32960,0,3833,2000.0
32960,32959,0,3833,1996.0
32960,32961,0,3833,1996.0
32961,32960,0,3833,1996.0
32961,32962,0,3833,1996.0
32962,32961,0,3833,1996.0
32962,32963,0,3833,1996.0
32963,32962,0,3833,1996.0
32944,32945,0,3834,2019.0
32945,32944,0,3834,2019.0
32945,32946,0,3834,2019.0
32946,32945,0,3834,2019.0
32946,32947,0,3834,2019.0
32947,32946,0,3834,2019.0
32947,32948,0,3834,2019.0
32948,32947,0,3834,2019.0
32948,32949,0,3834,2019.0
32949,32948,0,3834,2019.0
32949,32950,0,3834,2019.0
32950,32949,0,3834,2019.0
32950,32953,0,3834,2019.0
32953,32950,0,3834,2001.0
32953,32954,0,3834,2001.0
32954,32953,0,3834,2001.0
32938,32939,0,3835,2011.0
32939,32938,0,3835,2011.0
32939,32940,0,3835,2011.0
32940,32939,0,3835,2011.0
32940,32941,0,3835,2011.0
32941,32940,0,3835,2011.0
32941,32942,0,3835,2011.0
32942,32941,0,3835,2011.0
32942,32943,0,3835,2011.0
32943,32942,0,3835,2011.0
32953,37293,0,4689,2001.0
37293,32953,0,4689,1902.0
37293,37294,0,4689,1902.0
37294,37293,0,4689,1916.0
