source,target,mode,line_id,year
19995,19996,0,2255,1994.0
19996,19995,0,2255,2000.0
19996,19997,0,2255,2000.0
19997,19996,0,2255,2000.0
19997,19998,0,2255,2000.0
19998,19997,0,2255,2000.0
19998,19999,0,2255,2000.0
19999,19998,0,2255,2000.0
19999,20000,0,2255,2000.0
20000,19999,0,2255,2000.0
20000,20001,0,2255,2000.0
20001,20000,0,2255,1994.0
20001,20002,0,2255,1994.0
20002,20001,0,2255,1994.0
20002,20003,0,2255,1994.0
20003,20002,0,2255,1994.0
20003,20004,0,2255,1994.0
20004,20003,0,2255,2004.0
20004,20005,0,2255,2004.0
20005,20004,0,2255,1994.0
20005,20006,0,2255,1994.0
20006,20005,0,2255,1994.0
20006,20007,0,2255,1994.0
20007,20006,0,2255,1994.0
20007,20008,0,2255,1994.0
20008,20007,0,2255,1994.0
20008,20009,0,2255,1994.0
20009,20008,0,2255,1994.0
20009,20010,0,2255,1994.0
20010,20009,0,2255,1994.0
19995,19996,0,2256,1994.0
19996,19995,0,2256,2000.0
19996,19997,0,2256,2000.0
19997,19996,0,2256,2000.0
19997,19998,0,2256,2000.0
19998,19997,0,2256,2000.0
19998,19999,0,2256,2000.0
19999,19998,0,2256,2000.0
19999,20000,0,2256,2000.0
20000,19999,0,2256,2000.0
20000,20001,0,2256,2000.0
20001,20000,0,2256,1994.0
20001,20002,0,2256,1994.0
20002,20001,0,2256,1994.0
20002,20052,0,2256,1994.0
20052,20002,0,2256,2002.0
20052,20053,0,2256,2002.0
20053,20052,0,2256,2002.0
20053,20054,0,2256,2002.0
20054,20053,0,2256,2002.0
20054,20055,0,2256,2002.0
20055,20054,0,2256,2002.0
19995,20001,0,2257,1994.0
20001,19995,0,2257,1994.0
20001,20002,0,2257,1994.0
20002,20001,0,2257,1994.0
20002,20016,0,2257,1994.0
20016,20002,0,2257,2006.0
20016,20017,0,2257,2006.0
20017,20016,0,2257,2006.0
20017,20018,0,2257,2006.0
20018,20017,0,2257,2006.0
20018,20019,0,2257,2006.0
20019,20018,0,2257,2006.0
20019,20020,0,2257,2006.0
20020,20019,0,2257,2006.0
20020,20021,0,2257,2006.0
20021,20020,0,2257,2006.0
20021,20022,0,2257,2006.0
20022,20021,0,2257,2006.0
20022,20023,0,2257,2006.0
20023,20022,0,2257,2006.0
20023,20024,0,2257,2006.0
20024,20023,0,2257,2006.0
20024,20025,0,2257,2006.0
20025,20024,0,2257,2006.0
20025,20026,0,2257,2006.0
20026,20025,0,2257,2006.0
20026,20052,0,2257,2006.0
20052,20026,0,2257,2002.0
20052,20053,0,2257,2002.0
20053,20052,0,2257,2002.0
20053,20054,0,2257,2002.0
20054,20053,0,2257,2002.0
20054,20055,0,2257,2002.0
20055,20054,0,2257,2002.0
20055,20067,0,2257,2002.0
20067,20055,0,2257,2019.0
20067,20068,0,2257,2019.0
20068,20067,0,2257,2019.0
20068,20069,0,2257,2019.0
20069,20068,0,2257,2019.0
19995,20001,0,2258,1994.0
20001,19995,0,2258,1994.0
20001,20002,0,2258,1994.0
20002,20001,0,2258,1994.0
20002,20003,0,2258,1994.0
