source,target,mode,line_id,year
28430,28431,0,3499,2010.0
28431,28430,0,3499,2009.0
28431,28432,0,3499,2009.0
28432,28431,0,3499,2009.0
28432,28433,0,3499,2009.0
28433,28432,0,3499,2010.0
28433,28434,0,3499,2010.0
28434,28433,0,3499,2010.0
28434,28435,0,3499,2010.0
28435,28434,0,3499,2009.0
28435,28436,0,3499,2009.0
28436,28435,0,3499,2009.0
28436,28441,0,3499,2009.0
28441,28436,0,3499,2009.0
28441,28442,0,3499,2009.0
28442,28441,0,3499,2009.0
28442,28443,0,3499,2009.0
28443,28442,0,3499,2009.0
28443,28444,0,3499,2009.0
28444,28443,0,3499,2009.0
28444,28445,0,3499,2009.0
28445,28444,0,3499,2009.0
28445,28446,0,3499,2009.0
28446,28445,0,3499,2010.0
28446,28447,0,3499,2010.0
28447,28446,0,3499,2010.0
28447,28448,0,3499,2010.0
28448,28447,0,3499,2010.0
28448,28449,0,3499,2010.0
28449,28448,0,3499,2010.0
28449,28450,0,3499,2010.0
28450,28449,0,3499,2010.0
28450,28451,0,3499,2010.0
28451,28450,0,3499,2010.0
28451,28452,0,3499,2010.0
28452,28451,0,3499,2009.0
28452,28453,0,3499,2009.0
28453,28452,0,3499,2012.0
28453,28454,0,3499,2012.0
28454,28453,0,3499,2010.0
28454,28455,0,3499,2010.0
28455,28454,0,3499,2010.0
28455,28456,0,3499,2010.0
28456,28455,0,3499,2010.0
28456,28457,0,3499,2010.0
28457,28456,0,3499,2013.0
28457,28458,0,3499,2013.0
28458,28457,0,3499,2010.0
28458,28459,0,3499,2010.0
28459,28458,0,3499,2010.0
28459,28460,0,3499,2010.0
28460,28459,0,3499,2010.0
28460,28461,0,3499,2010.0
28461,28460,0,3499,2010.0
28461,28486,0,3499,2010.0
28486,28461,0,3499,2011.0
28486,28487,0,3499,2011.0
28487,28486,0,3499,2021.0
28487,28488,0,3499,2021.0
28488,28487,0,3499,2021.0
28488,28489,0,3499,2021.0
28489,28488,0,3499,2021.0
28489,28490,0,3499,2021.0
28490,28489,0,3499,2021.0
28490,28491,0,3499,2021.0
28491,28490,0,3499,2021.0
28491,28492,0,3499,2021.0
28492,28491,0,3499,2021.0
28492,28493,0,3499,2021.0
28493,28492,0,3499,2021.0
35982,35983,0,3500,2011.0
35983,35982,0,3500,2011.0
35983,35984,0,3500,2011.0
35984,35983,0,3500,2011.0
35984,35985,0,3500,2011.0
35985,35984,0,3500,2011.0
35985,35986,0,3500,2011.0
35986,35985,0,3500,2011.0
35986,35987,0,3500,2011.0
35987,35986,0,3500,2011.0
35987,35988,0,3500,2011.0
35988,35987,0,3500,2011.0
35988,35989,0,3500,2011.0
35989,35988,0,3500,2011.0
35989,35990,0,3500,2011.0
35990,35989,0,3500,2011.0
35990,35991,0,3500,2011.0
35991,35990,0,3500,2011.0
35991,35992,0,3500,2011.0
35992,35991,0,3500,2011.0
35992,35993,0,3500,2011.0
35993,35992,0,3500,2020.0
35993,35994,0,3500,2020.0
35994,35993,0,3500,2011.0
35994,35995,0,3500,2011.0
35995,35994,0,3500,2011.0
35995,35996,0,3500,2011.0
35996,35995,0,3500,2009.0
35996,35997,0,3500,2009.0
35997,35996,0,3500,2021.0
35997,35998,0,3500,2021.0
35998,35997,0,3500,2011.0
35998,35999,0,3500,2011.0
35999,35998,0,3500,2012.0
35999,36000,0,3500,2012.0
36000,35999,0,3500,2011.0
36000,36001,0,3500,2011.0
36001,36000,0,3500,2011.0
36001,36002,0,3500,2011.0
36002,36001,0,3500,2011.0
36002,36003,0,3500,2011.0
36003,36002,0,3500,2014.0
36003,36004,0,3500,2014.0
36004,36003,0,3500,2014.0
28494,28495,0,3502,2014.0
28495,28494,0,3502,2014.0
28495,28496,0,3502,2014.0
28496,28495,0,3502,2014.0
28496,28497,0,3502,2014.0
28497,28496,0,3502,2014.0
28497,28498,0,3502,2014.0
28498,28497,0,3502,2014.0
28498,28499,0,3502,2014.0
28499,28498,0,3502,2014.0
28499,28500,0,3502,2014.0
28500,28499,0,3502,2014.0
28500,28501,0,3502,2014.0
28501,28500,0,3502,2014.0
28501,28502,0,3502,2014.0
28502,28501,0,3502,2014.0
28502,28503,0,3502,2014.0
28503,28502,0,3502,2014.0
28503,28504,0,3502,2014.0
28504,28503,0,3502,2014.0
28505,28506,0,3503,2009.0
28506,28505,0,3503,2017.0
28506,28507,0,3503,2017.0
28507,28506,0,3503,2019.0
28507,28508,0,3503,2019.0
28508,28507,0,3503,2022.0
28508,28509,0,3503,2022.0
28509,28508,0,3503,2009.0
