source,target,mode,line_id,year
36714,36715,0,3786,2004.0
36715,36714,0,3786,2004.0
36715,36716,0,3786,2004.0
36716,36715,0,3786,2004.0
36716,36717,0,3786,2004.0
36717,36716,0,3786,2004.0
36717,36718,0,3786,2004.0
36718,36717,0,3786,2004.0
36718,36719,0,3786,2004.0
36719,36718,0,3786,2004.0
36719,36720,0,3786,2004.0
36720,36719,0,3786,2004.0
36720,36721,0,3786,2004.0
36721,36720,0,3786,2004.0
36721,36722,0,3786,2004.0
36722,36721,0,3786,2004.0
36722,36723,0,3786,2004.0
36723,36722,0,3786,2004.0
36723,36731,0,3786,2004.0
36731,36723,0,3786,2004.0
36731,36738,0,3786,2004.0
36738,36731,0,3786,2004.0
36738,36739,0,3786,2004.0
36739,36738,0,3786,2004.0
36739,36740,0,3786,2004.0
36740,36739,0,3786,2004.0
36740,36741,0,3786,2004.0
36741,36740,0,3786,2004.0
36741,36742,0,3786,2004.0
36742,36741,0,3786,2004.0
36742,36743,0,3786,2004.0
36743,36742,0,3786,2004.0
36714,36715,0,3787,2004.0
36715,36714,0,3787,2004.0
36715,36716,0,3787,2004.0
36716,36715,0,3787,2004.0
36716,36717,0,3787,2004.0
36717,36716,0,3787,2004.0
36717,36718,0,3787,2004.0
36718,36717,0,3787,2004.0
36718,36719,0,3787,2004.0
36719,36718,0,3787,2004.0
36719,36720,0,3787,2004.0
36720,36719,0,3787,2004.0
36720,36721,0,3787,2004.0
36721,36720,0,3787,2004.0
36721,36722,0,3787,2004.0
36722,36721,0,3787,2004.0
36722,36724,0,3787,2004.0
36724,36722,0,3787,2004.0
36724,36725,0,3787,2004.0
36725,36724,0,3787,2004.0
36725,36726,0,3787,2004.0
36726,36725,0,3787,2004.0
36726,36760,0,3787,2004.0
36760,36726,0,3787,2004.0
36760,36761,0,3787,2004.0
36761,36760,0,3787,2004.0
36761,36762,0,3787,2004.0
36762,36761,0,3787,2004.0
36762,36763,0,3787,2004.0
36763,36762,0,3787,2004.0
36763,36764,0,3787,2004.0
36764,36763,0,3787,2004.0
36764,36765,0,3787,2004.0
36765,36764,0,3787,2004.0
36765,36766,0,3787,2004.0
36766,36765,0,3787,2004.0
36723,36731,0,3788,2004.0
36731,36723,0,3788,2004.0
36731,36738,0,3788,2004.0
