source,target,mode,line_id,year
21241,21242,0,2324,1997.0
21242,21241,0,2324,1997.0
21242,21243,0,2324,1997.0
21243,21242,0,2324,1997.0
21243,21244,0,2324,1997.0
21244,21243,0,2324,1997.0
21244,21245,0,2324,1997.0
21245,21244,0,2324,1997.0
21245,21246,0,2324,1997.0
21246,21245,0,2324,1999.0
21246,21247,0,2324,1999.0
21247,21246,0,2324,1999.0
21247,21248,0,2324,1999.0
21248,21247,0,2324,1999.0
21248,21249,0,2324,1999.0
21249,21248,0,2324,1999.0
21249,21250,0,2324,1999.0
21250,21249,0,2324,1997.0
21250,21251,0,2324,1997.0
21251,21250,0,2324,1997.0
21251,21252,0,2324,1997.0
21252,21251,0,2324,1999.0
21252,21253,0,2324,1999.0
21253,21252,0,2324,1999.0
21253,21254,0,2324,1999.0
21254,21253,0,2324,1999.0
21254,21256,0,2324,1999.0
21256,21254,0,2324,1999.0
21257,21258,0,2325,2010.0
21258,21257,0,2325,2010.0
21258,21259,0,2325,2010.0
21259,21258,0,2325,2010.0
21259,21260,0,2325,2010.0
21260,21259,0,2325,2010.0
21260,21261,0,2325,2010.0
21261,21260,0,2325,2010.0
21261,21262,0,2325,2010.0
21262,21261,0,2325,2010.0
21262,21263,0,2325,2010.0
21263,21262,0,2325,2010.0
21263,21264,0,2325,2010.0
21264,21263,0,2325,2010.0
21264,21265,0,2325,2010.0
21265,21264,0,2325,2010.0
21265,21267,0,2325,2010.0
21267,21265,0,2325,2002.0
21267,21269,0,2325,2002.0
21269,21267,0,2325,2002.0
21269,21270,0,2325,2002.0
21270,21269,0,2325,2002.0
21270,21271,0,2325,2002.0
21271,21270,0,2325,2002.0
21271,21273,0,2325,2002.0
21273,21271,0,2325,2002.0
21273,21274,0,2325,2002.0
21274,21273,0,2325,2010.0
21274,21275,0,2325,2010.0
21275,21274,0,2325,2010.0
21275,21276,0,2325,2010.0
21276,21275,0,2325,2010.0
21276,21277,0,2325,2010.0
21277,21276,0,2325,2010.0
21277,21278,0,2325,2010.0
21278,21277,0,2325,2010.0
21278,21279,0,2325,2010.0
