source,target,mode,line_id,year
35276,35277,0,4423,2024.0
35277,35276,0,4423,2024.0
35277,35278,0,4423,2024.0
35278,35277,0,4423,2024.0
35278,35279,0,4423,2024.0
35279,35278,0,4423,2024.0
35279,35280,0,4423,2024.0
35280,35279,0,4423,2024.0
35280,35281,0,4423,2024.0
35281,35280,0,4423,2024.0
35281,35282,0,4423,2024.0
35282,35281,0,4423,2024.0
35282,35283,0,4423,2024.0
35283,35282,0,4423,2024.0
35283,35284,0,4423,2024.0
35284,35283,0,4423,2024.0
35284,35285,0,4423,2024.0
35285,35284,0,4423,2024.0
35285,35286,0,4423,2024.0
35286,35285,0,4423,2024.0
35286,35287,0,4423,2024.0
35287,35286,0,4423,2024.0
35287,35288,0,4423,2024.0
35288,35287,0,4423,2024.0
35288,35289,0,4423,2024.0
35289,35288,0,4423,2024.0
41001,41002,0,4424,
41002,41001,0,4424,
41002,41003,0,4424,
41003,41002,0,4424,
41003,41004,0,4424,
41004,41003,0,4424,
41004,41005,0,4424,
41005,41004,0,4424,
41005,41006,0,4424,
41006,41005,0,4424,
41006,41007,0,4424,
41007,41006,0,4424,
41007,41008,0,4424,
41008,41007,0,4424,
41008,41009,0,4424,
41009,41008,0,4424,
41009,41010,0,4424,
41010,41009,0,4424,
