source,target,mode,line_id,year
32894,32895,0,3830,2004.0
32895,32894,0,3830,2004.0
32895,32896,0,3830,2004.0
32896,32895,0,3830,2004.0
32896,32897,0,3830,2004.0
32897,32896,0,3830,2004.0
32897,32898,0,3830,2004.0
32898,32897,0,3830,2004.0
32898,32899,0,3830,2004.0
32899,32898,0,3830,2004.0
32899,32900,0,3830,2004.0
32900,32899,0,3830,2004.0
32900,32901,0,3830,2004.0
32901,32900,0,3830,2004.0
32901,32902,0,3830,2004.0
32902,32901,0,3830,2004.0
32902,32903,0,3830,2004.0
32903,32902,0,3830,2004.0
32903,32904,0,3830,2004.0
32904,32903,0,3830,2004.0
32904,32905,0,3830,2004.0
32905,32904,0,3830,2004.0
32905,32906,0,3830,2004.0
32906,32905,0,3830,2004.0
32906,32907,0,3830,2004.0
32907,32906,0,3830,2004.0
32907,32908,0,3830,2004.0
32908,32907,0,3830,2004.0
32908,32909,0,3830,2004.0
32909,32908,0,3830,2004.0
32909,32910,0,3830,2004.0
32910,32909,0,3830,2004.0
32910,32911,0,3830,2004.0
32911,32910,0,3830,2004.0
32911,32912,0,3830,2004.0
32912,32911,0,3830,2013.0
32912,32913,0,3830,2013.0
32913,32912,0,3830,2013.0
32913,32914,0,3830,2013.0
32914,32913,0,3830,2013.0
32914,32915,0,3830,2013.0
32915,32914,0,3830,2013.0
32915,32916,0,3830,2013.0
32916,32915,0,3830,2013.0
32916,32917,0,3830,2013.0
32917,32916,0,3830,2013.0
32917,32918,0,3830,2013.0
32918,32917,0,3830,2013.0
32918,32919,0,3830,2013.0
32919,32918,0,3830,2013.0
32920,32921,0,3831,2015.0
32921,32920,0,3831,2015.0
32921,32922,0,3831,2015.0
32922,32921,0,3831,2015.0
32922,32923,0,3831,2015.0
32923,32922,0,3831,2015.0
32923,32924,0,3831,2015.0
32924,32923,0,3831,2015.0
32924,32925,0,3831,2015.0
32925,32924,0,3831,2015.0
32925,32926,0,3831,2015.0
32926,32925,0,3831,2015.0
32926,32927,0,3831,2015.0
32927,32926,0,3831,2015.0
32927,32928,0,3831,2015.0
32928,32927,0,3831,2015.0
32928,32929,0,3831,2015.0
32929,32928,0,3831,2015.0
32929,32930,0,3831,2015.0
32930,32929,0,3831,2015.0
32930,32931,0,3831,2015.0
32931,32930,0,3831,2015.0
32920,32921,0,3832,2015.0
32921,32920,0,3832,2015.0
32921,32922,0,3832,2015.0
32922,32921,0,3832,2015.0
32922,32923,0,3832,2015.0
32923,32922,0,3832,2015.0
32923,32924,0,3832,2015.0
32924,32923,0,3832,2015.0
32924,32925,0,3832,2015.0
32925,32924,0,3832,2015.0
32925,32926,0,3832,2015.0
32926,32925,0,3832,2015.0
32926,32933,0,3832,2015.0
32933,32926,0,3832,2015.0
32933,32934,0,3832,2015.0
32934,32933,0,3832,2015.0
32934,32935,0,3832,2015.0
32935,32934,0,3832,2015.0
32935,32936,0,3832,2015.0
32936,32935,0,3832,2017.0
32936,32937,0,3832,2017.0
32937,32936,0,3832,2017.0
