source,target,mode,line_id,year
30862,30863,0,3634,2018.0
30863,30862,0,3634,2018.0
30863,30864,0,3634,2018.0
30864,30863,0,3634,2018.0
30864,30865,0,3634,2018.0
30865,30864,0,3634,2018.0
30865,30872,0,3634,2018.0
30872,30865,0,3634,2018.0
30872,30873,0,3634,2018.0
30873,30872,0,3634,2018.0
30873,30874,0,3634,2018.0
30874,30873,0,3634,2018.0
30874,30875,0,3634,2018.0
30875,30874,0,3634,2018.0
30875,30876,0,3634,2018.0
30876,30875,0,3634,2018.0
30876,30877,0,3634,2018.0
30877,30876,0,3634,2018.0
30877,30878,0,3634,2018.0
30878,30877,0,3634,2018.0
30878,30879,0,3634,2018.0
30879,30878,0,3634,2018.0
30879,30880,0,3634,2018.0
30880,30879,0,3634,2018.0
30880,30881,0,3634,2018.0
30881,30880,0,3634,2018.0
30881,30882,0,3634,2018.0
30882,30881,0,3634,2018.0
30882,30883,0,3634,2018.0
30883,30882,0,3634,2018.0
30883,30884,0,3634,2018.0
30884,30883,0,3634,2017.0
30884,30885,0,3634,2017.0
30885,30884,0,3634,2017.0
30885,30912,0,3634,2017.0
30912,30885,0,3634,2017.0
30912,30914,0,3634,2017.0
30914,30912,0,3634,2017.0
30914,30915,0,3634,2017.0
30915,30914,0,3634,2017.0
30915,30916,0,3634,2017.0
30916,30915,0,3634,2017.0
30916,30917,0,3634,2017.0
30917,30916,0,3634,2017.0
30917,30918,0,3634,2017.0
30918,30917,0,3634,2017.0
30918,30919,0,3634,2017.0
30919,30918,0,3634,2017.0
30886,30887,0,3635,2019.0
30887,30886,0,3635,2019.0
30887,30888,0,3635,2019.0
30888,30887,0,3635,2019.0
30888,30889,0,3635,2019.0
30889,30888,0,3635,
30889,30890,0,3635,
30890,30889,0,3635,2019.0
30890,30891,0,3635,2019.0
30891,30890,0,3635,2019.0
30891,30892,0,3635,2019.0
30892,30891,0,3635,2019.0
30892,30893,0,3635,2019.0
30893,30892,0,3635,2019.0
30893,30894,0,3635,2019.0
30894,30893,0,3635,2019.0
30894,30895,0,3635,2019.0
30895,30894,0,3635,2019.0
30895,30896,0,3635,2019.0
30896,30895,0,3635,2017.0
30896,30897,0,3635,2017.0
30897,30896,0,3635,2017.0
30897,30901,0,3635,2017.0
30901,30897,0,3635,2017.0
30901,30902,0,3635,2017.0
30902,30901,0,3635,2017.0
30902,30903,0,3635,2017.0
30903,30902,0,3635,2017.0
30903,30904,0,3635,2017.0
30904,30903,0,3635,2017.0
30904,30905,0,3635,2017.0
30905,30904,0,3635,2017.0
30905,30906,0,3635,2017.0
30906,30905,0,3635,2017.0
30906,30907,0,3635,2017.0
30907,30906,0,3635,2017.0
30907,30908,0,3635,2017.0
30908,30907,0,3635,2017.0
30908,30909,0,3635,2017.0
30909,30908,0,3635,2017.0
30909,30910,0,3635,2017.0
30910,30909,0,3635,2017.0
30910,30911,0,3635,2017.0
30911,30910,0,3635,2017.0
30859,30860,0,3636,2020.0
30860,30859,0,3636,2020.0
30860,30861,0,3636,2020.0
30861,30860,0,3636,2020.0
30861,30866,0,3636,2020.0
30866,30861,0,3636,2020.0
30866,30867,0,3636,2020.0
30867,30866,0,3636,2020.0
30867,30868,0,3636,2020.0
30868,30867,0,3636,2020.0
30868,30869,0,3636,2020.0
30869,30868,0,3636,2020.0
30869,30870,0,3636,2020.0
30870,30869,0,3636,2020.0
30870,30871,0,3636,2020.0
30871,30870,0,3636,2020.0
