source,target,mode,line_id,year
37885,37886,0,4769,2025.0
37886,37885,0,4769,2025.0
37886,37887,0,4769,2025.0
37887,37886,0,4769,2025.0
37887,37888,0,4769,2025.0
37888,37887,0,4769,2025.0
37888,37889,0,4769,2025.0
37889,37888,0,4769,2025.0
37889,37890,0,4769,2025.0
37890,37889,0,4769,
37890,37891,0,4769,
37891,37890,0,4769,
37891,37892,0,4769,
37892,37891,0,4769,
37892,37893,0,4769,
37893,37892,0,4769,
37893,37894,0,4769,
37894,37893,0,4769,
37894,37895,0,4769,
37895,37894,0,4769,
37895,37897,0,4769,
37897,37895,0,4769,
37897,37898,0,4769,
37898,37897,0,4769,
37898,37899,0,4769,
37899,37898,0,4769,
37899,37900,0,4769,
37900,37899,0,4769,
37900,37901,0,4769,
37901,37900,0,4769,
37901,37902,0,4769,
37902,37901,0,4769,
37902,37904,0,4769,
37904,37902,0,4769,
37904,37905,0,4769,
37905,37904,0,4769,
37905,37906,0,4769,
37906,37905,0,4769,
37906,37907,0,4769,
37907,37906,0,4769,
