source,target,mode,line_id,year
32152,32153,0,3764,2000.0
32153,32152,0,3764,2000.0
32153,32154,0,3764,2000.0
32154,32153,0,3764,2000.0
32154,32155,0,3764,2000.0
32155,32154,0,3764,2000.0
32155,32156,0,3764,2000.0
32156,32155,0,3764,2000.0
32156,32157,0,3764,2000.0
32157,32156,0,3764,2000.0
32157,32158,0,3764,2000.0
32158,32157,0,3764,2012.0
32158,32159,0,3764,2012.0
32159,32158,0,3764,2012.0
32159,32160,0,3764,2012.0
32160,32159,0,3764,2000.0
32160,32161,0,3764,2000.0
32161,32160,0,3764,2000.0
32161,32162,0,3764,2000.0
32162,32161,0,3764,2000.0
32162,32163,0,3764,2000.0
32163,32162,0,3764,2000.0
32163,32164,0,3764,2000.0
32164,32163,0,3764,2012.0
32164,32165,0,3764,2012.0
32165,32164,0,3764,2014.0
32165,32166,0,3764,2014.0
32166,32165,0,3764,2012.0
32166,32167,0,3764,2012.0
32167,32166,0,3764,2014.0
32167,32168,0,3764,2014.0
32168,32167,0,3764,2014.0
32168,32323,0,3764,2014.0
32323,32168,0,3764,2024.0
32323,32324,0,3764,2024.0
32324,32323,0,3764,2024.0
32324,32325,0,3764,2024.0
32325,32324,0,3764,2024.0
32325,32326,0,3764,2024.0
32326,32325,0,3764,2024.0
32326,32327,0,3764,2024.0
32327,32326,0,3764,2024.0
32327,32328,0,3764,2024.0
32328,32327,0,3764,2024.0
32328,32329,0,3764,2024.0
32329,32328,0,3764,2024.0
32155,32156,0,3773,2000.0
32156,32155,0,3773,2000.0
32156,32292,0,3773,2000.0
32292,32156,0,3773,2010.0
32292,32293,0,3773,2010.0
32293,32292,0,3773,2010.0
32293,32294,0,3773,2010.0
32294,32293,0,3773,2010.0
32294,32295,0,3773,2010.0
32295,32294,0,3773,2010.0
32295,32296,0,3773,2010.0
32296,32295,0,3773,2010.0
32296,32297,0,3773,2010.0
32297,32296,0,3773,2010.0
32297,32298,0,3773,2010.0
32298,32297,0,3773,2010.0
32298,32299,0,3773,2010.0
32299,32298,0,3773,2010.0
32299,32300,0,3773,2010.0
32300,32299,0,3773,2010.0
32300,32301,0,3773,2010.0
