source,target,mode,line_id,year
30763,30764,0,3630,2021.0
30764,30763,0,3630,2021.0
30764,30765,0,3630,2021.0
30765,30764,0,3630,2021.0
30765,30766,0,3630,2021.0
30766,30765,0,3630,2021.0
30766,30767,0,3630,2021.0
30767,30766,0,3630,2021.0
30767,30768,0,3630,2021.0
30768,30767,0,3630,2021.0
30768,30769,0,3630,2021.0
30769,30768,0,3630,2021.0
30769,30770,0,3630,2021.0
30770,30769,0,3630,2021.0
30770,30771,0,3630,2021.0
30771,30770,0,3630,2021.0
30771,42519,0,3630,2021.0
42519,30771,0,3630,2025.0
42519,42520,0,3630,2025.0
42520,42519,0,3630,2025.0
42520,42522,0,3630,2025.0
42522,42520,0,3630,2025.0
42522,42523,0,3630,2025.0
42523,42522,0,3630,2025.0
