source,target,mode,line_id,year
30792,30794,0,3631,2008.0
30794,30792,0,3631,2008.0
30796,30797,0,3632,2008.0
30797,30796,0,3632,2008.0
30798,30799,0,3633,2021.0
30799,30798,0,3633,2021.0
30799,30800,0,3633,2021.0
30800,30799,0,3633,2016.0
30800,30801,0,3633,2016.0
30801,30800,0,3633,2021.0
30801,30802,0,3633,2021.0
30802,30801,0,3633,2016.0
30802,30803,0,3633,2016.0
30803,30802,0,3633,2016.0
30803,30804,0,3633,2016.0
30804,30803,0,3633,2016.0
30804,30805,0,3633,2016.0
30805,30804,0,3633,2016.0
30805,30806,0,3633,2016.0
30806,30805,0,3633,2016.0
30806,30807,0,3633,2016.0
30807,30806,0,3633,2021.0
30807,30808,0,3633,2021.0
30808,30807,0,3633,2016.0
30808,30809,0,3633,2016.0
30809,30808,0,3633,2016.0
30809,30810,0,3633,2016.0
30810,30809,0,3633,2016.0
30810,30811,0,3633,2016.0
30811,30810,0,3633,2016.0
30811,30812,0,3633,2016.0
30812,30811,0,3633,2016.0
30812,30813,0,3633,2016.0
30813,30812,0,3633,2016.0
30813,30814,0,3633,2016.0
30814,30813,0,3633,2016.0
30814,30815,0,3633,2016.0
30815,30814,0,3633,2016.0
30815,30816,0,3633,2016.0
30816,30815,0,3633,2021.0
30816,30817,0,3633,2021.0
30817,30816,0,3633,2021.0
30817,30818,0,3633,2021.0
30818,30817,0,3633,2021.0
30818,30819,0,3633,2021.0
30819,30818,0,3633,2021.0
30819,30820,0,3633,2021.0
30820,30819,0,3633,2021.0
30820,30821,0,3633,2021.0
30821,30820,0,3633,2021.0
30821,30822,0,3633,2021.0
30822,30821,0,3633,2021.0
30822,30823,0,3633,2021.0
30823,30822,0,3633,2021.0
30823,36065,0,3633,2021.0
36065,30823,0,3633,2022.0
36065,36066,0,3633,2022.0
36066,36065,0,3633,2022.0
36066,36067,0,3633,2022.0
36067,36066,0,3633,2022.0
36067,36068,0,3633,2022.0
36068,36067,0,3633,2022.0
36068,36069,0,3633,2022.0
36069,36068,0,3633,2022.0
