source,target,mode,line_id,year
30516,30517,0,3610,1960.0
30517,30516,0,3610,1965.0
30517,30518,0,3610,1965.0
30518,30517,0,3610,1960.0
30518,30519,0,3610,1960.0
30519,30518,0,3610,1960.0
30519,30520,0,3610,1960.0
30520,30519,0,3610,1960.0
30520,30521,0,3610,1960.0
30521,30520,0,3610,1963.0
30521,30522,0,3610,1963.0
30522,30521,0,3610,1963.0
30522,30523,0,3610,1963.0
30523,30522,0,3610,1960.0
30523,30524,0,3610,1960.0
30524,30523,0,3610,1987.0
30524,30525,0,3610,1987.0
30525,30524,0,3610,1971.0
30525,30526,0,3610,1971.0
30526,30525,0,3610,1971.0
30526,30527,0,3610,1971.0
30527,30526,0,3610,1971.0
30527,30528,0,3610,1971.0
30528,30527,0,3610,2003.0
30528,30529,0,3610,2003.0
30529,30528,0,3610,2003.0
30529,30530,0,3610,2003.0
30530,30529,0,3610,1965.0
30530,30531,0,3610,1965.0
30531,30530,0,3610,1968.0
30531,30533,0,3610,1968.0
30533,30531,0,3610,1979.0
30533,30534,0,3610,1979.0
30534,30533,0,3610,1965.0
30536,30537,0,3611,1980.0
30537,30536,0,3611,1980.0
30537,30538,0,3611,1980.0
30538,30537,0,3611,1976.0
30538,30539,0,3611,1976.0
30539,30538,0,3611,1976.0
30539,30540,0,3611,1976.0
30540,30539,0,3611,1976.0
30540,30541,0,3611,1976.0
30541,30540,0,3611,1982.0
30541,30542,0,3611,1982.0
30542,30541,0,3611,1980.0
30542,30543,0,3611,1980.0
30543,30542,0,3611,1982.0
30543,30544,0,3611,1982.0
30544,30543,0,3611,1981.0
30544,30547,0,3611,1981.0
30547,30544,0,3611,1981.0
30547,30556,0,3611,1981.0
30556,30547,0,3611,1984.0
30556,30557,0,3611,1984.0
30557,30556,0,3611,1984.0
30557,30558,0,3611,1984.0
30558,30557,0,3611,2010.0
30558,30559,0,3611,2010.0
30559,30558,0,3611,2010.0
30559,30560,0,3611,2010.0
30560,30559,0,3611,2010.0
30560,30561,0,3611,2010.0
30561,30560,0,3611,2011.0
30561,30562,0,3611,2011.0
30562,30561,0,3611,2012.0
30562,30563,0,3611,2012.0
30563,30562,0,3611,2013.0
30546,30548,0,3612,1991.0
30548,30546,0,3612,1991.0
30548,30549,0,3612,1991.0
30549,30548,0,3612,1997.0
30549,30550,0,3612,1997.0
30550,30549,0,3612,1989.0
30550,30551,0,3612,1989.0
30551,30550,0,3612,1996.0
30551,30552,0,3612,1996.0
30552,30551,0,3612,2000.0
30552,30553,0,3612,2000.0
30553,30552,0,3612,2004.0
30553,30554,0,3612,2004.0
30554,30553,0,3612,1989.0
30554,30555,0,3612,1989.0
30555,30554,0,3612,1989.0
30555,30564,0,3612,1989.0
30564,30555,0,3612,2006.0
30564,30565,0,3612,2006.0
30565,30564,0,3612,2008.0
30565,30566,0,3612,2008.0
30566,30565,0,3612,1992.0
30566,30567,0,3612,1992.0
30567,30566,0,3612,1992.0
30567,30568,0,3612,1992.0
30568,30567,0,3612,2005.0
30568,30569,0,3612,2005.0
30569,30568,0,3612,1994.0
30569,30570,0,3612,1994.0
30570,30569,0,3612,1994.0
