source,target,mode,line_id,year
31456,31458,0,3672,2013.0
31458,31456,0,3672,2016.0
31458,31459,0,3672,2016.0
31459,31458,0,3672,2013.0
31459,31460,0,3672,2013.0
31460,31459,0,3672,2013.0
31460,31461,0,3672,2013.0
31461,31460,0,3672,2014.0
31462,31463,0,3673,2014.0
31463,31462,0,3673,2014.0
31463,31488,0,3673,2014.0
31488,31463,0,3673,2014.0
31481,31483,0,3674,2017.0
31483,31481,0,3674,2017.0
31483,31484,0,3674,2017.0
31484,31483,0,3674,2017.0
31484,31485,0,3674,2017.0
31485,31484,0,3674,2017.0
31485,31486,0,3674,2017.0
31486,31485,0,3674,2017.0
31486,31499,0,3674,2017.0
31499,31486,0,3674,2017.0
31449,31451,0,3675,2020.0
31451,31449,0,3675,2020.0
31451,31452,0,3675,2020.0
31452,31451,0,3675,2020.0
31452,31453,0,3675,2020.0
31453,31452,0,3675,2020.0
31453,31455,0,3675,2020.0
31455,31453,0,3675,2020.0
31455,31457,0,3675,2020.0
31457,31455,0,3675,2020.0
31441,31442,0,3676,2012.0
31442,31441,0,3676,2012.0
31442,31443,0,3676,2012.0
31443,31442,0,3676,2020.0
31443,31444,0,3676,2020.0
31444,31443,0,3676,2020.0
