source,target,mode,line_id,year
16057,16058,0,1535,2014.0
16058,16057,0,1535,2014.0
16058,16059,0,1535,2014.0
16059,16058,0,1535,2014.0
16059,16060,0,1535,2014.0
16060,16059,0,1535,2014.0
16057,16061,0,1536,2014.0
16061,16057,0,1536,2014.0
16061,16062,0,1536,2014.0
16062,16061,0,1536,2014.0
16062,16063,0,1536,2014.0
16063,16062,0,1536,2014.0
16064,16065,0,1537,2017.0
16065,16064,0,1537,2017.0
16065,16066,0,1537,2017.0
16066,16065,0,1537,2017.0
16066,16067,0,1537,2017.0
16067,16066,0,1537,2017.0
16067,16068,0,1537,2017.0
16068,16067,0,1537,2017.0
16069,16070,0,1538,2017.0
16070,16069,0,1538,2017.0
16070,16071,0,1538,2017.0
16071,16070,0,1538,2017.0
16071,16073,0,1538,2017.0
16073,16071,0,1538,2018.0
16073,16074,0,1539,2018.0
16074,16073,0,1539,2018.0
16074,16075,0,1539,2018.0
16075,16074,0,1539,2018.0
16075,16076,0,1539,2018.0
16076,16075,0,1539,2018.0
16084,16085,0,1540,2018.0
16085,16084,0,1540,2018.0
16081,16082,0,1541,2018.0
16082,16081,0,1541,2018.0
16082,16083,0,1541,2018.0
16083,16082,0,1541,2018.0
16077,16078,0,1542,2018.0
16078,16077,0,1542,2018.0
16078,16079,0,1542,2018.0
16079,16078,0,1542,2018.0
16079,16080,0,1542,2018.0
16080,16079,0,1542,2018.0
16082,16086,0,1543,2018.0
16086,16082,0,1543,2019.0
16086,16087,0,1543,2019.0
16087,16086,0,1543,2019.0
