source,target,mode,line_id,year
31421,31422,0,3671,2019.0
31422,31421,0,3671,2019.0
31422,31423,0,3671,2019.0
31423,31422,0,3671,2019.0
31423,31424,0,3671,2019.0
31424,31423,0,3671,2019.0
31424,31425,0,3671,2019.0
31425,31424,0,3671,2019.0
31425,31426,0,3671,2019.0
31426,31425,0,3671,2019.0
31426,31427,0,3671,2019.0
31427,31426,0,3671,2019.0
31427,31428,0,3671,2019.0
31428,31427,0,3671,2019.0
31428,31429,0,3671,2019.0
31429,31428,0,3671,2019.0
31429,31430,0,3671,2019.0
31430,31429,0,3671,2019.0
31430,31431,0,3671,2019.0
31431,31430,0,3671,2019.0
31431,31432,0,3671,2019.0
31432,31431,0,3671,2019.0
31432,31433,0,3671,2019.0
31433,31432,0,3671,2019.0
31433,31434,0,3671,2019.0
31434,31433,0,3671,2019.0
31434,31435,0,3671,2019.0
31435,31434,0,3671,2019.0
31435,31436,0,3671,2019.0
31436,31435,0,3671,2019.0
31436,31438,0,3671,2019.0
31438,31436,0,3671,2019.0
31438,31439,0,3671,2019.0
31439,31438,0,3671,2019.0
31439,31440,0,3671,2019.0
31440,31439,0,3671,2019.0
