source,target,mode,line_id,year
13168,13169,0,1248,2007.0
13169,13168,0,1248,2007.0
13169,13170,0,1248,2007.0
13170,13169,0,1248,2007.0
13170,13171,0,1248,2007.0
13171,13170,0,1248,2007.0
13171,13172,0,1248,2007.0
13172,13171,0,1248,2007.0
13172,13173,0,1248,2007.0
13173,13172,0,1248,2007.0
13173,13174,0,1248,2007.0
13174,13173,0,1248,2007.0
13174,13175,0,1248,2007.0
13175,13174,0,1248,2007.0
13175,13176,0,1248,2007.0
13176,13175,0,1248,2007.0
13176,13177,0,1248,2007.0
13177,13176,0,1248,2007.0
13177,13178,0,1248,2007.0
13178,13177,0,1248,2007.0
13178,13179,0,1248,2007.0
13179,13178,0,1248,2007.0
13179,13181,0,1248,2007.0
13181,13179,0,1248,2007.0
13181,13182,0,1248,2007.0
13182,13181,0,1248,2007.0
13182,13183,0,1248,2007.0
13183,13182,0,1248,2007.0
13183,13184,0,1248,2007.0
13184,13183,0,1248,2007.0
13184,13185,0,1248,2007.0
13185,13184,0,1248,2007.0
13185,13186,0,1248,2007.0
13186,13185,0,1248,2007.0
13186,13187,0,1248,2007.0
13187,13186,0,1248,2007.0
13187,13188,0,1248,2007.0
13188,13187,0,1248,2007.0
13188,13189,0,1248,2007.0
13189,13188,0,1248,2007.0
13189,13190,0,1248,2007.0
13190,13189,0,1248,2007.0
13190,13191,0,1248,2007.0
13191,13190,0,1248,2007.0
13191,13192,0,1248,2007.0
13192,13191,0,1248,2007.0
13192,13193,0,1248,2007.0
13193,13192,0,1248,2007.0
13193,13194,0,1248,2007.0
13194,13193,0,1248,2007.0
13194,13195,0,1248,2007.0
13195,13194,0,1248,2007.0
13195,13196,0,1248,2007.0
13196,13195,0,1248,2007.0
13196,13197,0,1248,2007.0
13197,13196,0,1248,2007.0
13197,13198,0,1248,2007.0
13198,13197,0,1248,2007.0
13198,13212,0,1248,2007.0
13212,13198,0,1248,2007.0
13212,13213,0,1248,2007.0
13213,13212,0,1248,2007.0
13213,13214,0,1248,2007.0
13214,13213,0,1248,2007.0
13214,13215,0,1248,2007.0
13215,13214,0,1248,2007.0
13215,13216,0,1248,2007.0
13216,13215,0,1248,2007.0
13216,13217,0,1248,2007.0
13217,13216,0,1248,2007.0
13217,13218,0,1248,2007.0
13218,13217,0,1248,2007.0
13218,13219,0,1248,2007.0
13219,13218,0,1248,2007.0
13219,13220,0,1248,2007.0
13220,13219,0,1248,2007.0
13220,13221,0,1248,2007.0
13221,13220,0,1248,2007.0
13221,13222,0,1248,2007.0
13222,13221,0,1248,2007.0
13222,13223,0,1248,2007.0
13223,13222,0,1248,2007.0
13223,13224,0,1248,2007.0
13224,13223,0,1248,2007.0
13224,13225,0,1248,2007.0
13225,13224,0,1248,2007.0
13188,13189,0,1249,2007.0
13189,13188,0,1249,2007.0
13189,13190,0,1249,2007.0
13190,13189,0,1249,2007.0
13190,13191,0,1249,2007.0
13191,13190,0,1249,2007.0
13191,13192,0,1249,2007.0
13192,13191,0,1249,2007.0
13192,13193,0,1249,2007.0
13193,13192,0,1249,2007.0
13193,13194,0,1249,2007.0
13194,13193,0,1249,2007.0
13194,13195,0,1249,2007.0
13195,13194,0,1249,2007.0
13195,13196,0,1249,2007.0
13196,13195,0,1249,2007.0
13196,13197,0,1249,2007.0
13197,13196,0,1249,2007.0
13197,13198,0,1249,2007.0
13198,13197,0,1249,2007.0
13198,13211,0,1249,2007.0
13211,13198,0,1249,2007.0
13211,13226,0,1249,2007.0
13226,13211,0,1249,2014.0
13226,13227,0,1249,2014.0
13227,13226,0,1249,2014.0
13227,13228,0,1249,2014.0
13228,13227,0,1249,2014.0
13228,13229,0,1249,2014.0
13229,13228,0,1249,2014.0
13229,13230,0,1249,2014.0
13230,13229,0,1249,2014.0
13230,13231,0,1249,2014.0
13231,13230,0,1249,2014.0
13231,13232,0,1249,2014.0
13232,13231,0,1249,2014.0
13232,13233,0,1249,2014.0
13233,13232,0,1249,2014.0
13233,13234,0,1249,2014.0
13234,13233,0,1249,2014.0
13234,13235,0,1249,2014.0
13235,13234,0,1249,2014.0
13235,13236,0,1249,2014.0
13236,13235,0,1249,2014.0
13236,13237,0,1249,2014.0
13237,13236,0,1249,2014.0
