source,target,mode,line_id,year
13144,13150,0,1240,1983.0
13150,13144,0,1240,1983.0
13150,13151,0,1240,1983.0
13151,13150,0,1240,1983.0
13151,13152,0,1240,1983.0
13152,13151,0,1240,1984.0
13152,13153,0,1240,1984.0
13153,13152,0,1240,1984.0
13138,13140,0,1241,2000.0
13140,13138,0,1241,1999.0
13140,13141,0,1241,1999.0
13141,13140,0,1241,2000.0
13141,13143,0,1241,2000.0
13143,13141,0,1241,2000.0
13143,13145,0,1241,2000.0
13145,13143,0,1241,1989.0
13145,13146,0,1241,1989.0
13146,13145,0,1241,1989.0
13146,13156,0,1241,1989.0
13156,13146,0,1241,1989.0
13133,13134,0,1242,1909.0
13134,13133,0,1242,1909.0
13134,13135,0,1242,1909.0
13135,13134,0,1242,1909.0
13135,13136,0,1242,1909.0
13136,13135,0,1242,1909.0
13136,13137,0,1242,1909.0
13137,13136,0,1242,1909.0
13133,13134,0,1243,1909.0
13134,13133,0,1243,1909.0
13134,13135,0,1243,1909.0
13135,13134,0,1243,1909.0
13135,13136,0,1243,1909.0
13136,13135,0,1243,1909.0
13136,13137,0,1243,1909.0
13137,13136,0,1243,1909.0
