source,target,mode,line_id,year
820,830,0,115,1890.0
830,820,0,115,1900.0
830,835,0,115,1900.0
835,830,0,115,1890.0
835,836,0,115,1890.0
836,835,0,115,1900.0
836,839,0,115,1900.0
839,836,0,115,1890.0
839,840,0,115,1890.0
840,839,0,115,1890.0
840,845,0,115,1890.0
845,840,0,115,1926.0
845,847,0,115,1926.0
847,845,0,115,1926.0
847,849,0,115,1926.0
849,847,0,115,1926.0
849,850,0,115,1926.0
850,849,0,115,1926.0
850,851,0,115,1926.0
851,850,0,115,1926.0
851,1258,0,115,1926.0
1258,851,0,115,1907.0
1258,1262,0,115,1907.0
1262,1258,0,115,1907.0
1262,1834,0,115,1907.0
1834,1262,0,115,1904.0
1834,1836,0,115,1904.0
1836,1834,0,115,1904.0
1836,1838,0,115,1904.0
1838,1836,0,115,2020.0
1838,1839,0,115,2020.0
1839,1838,0,115,2020.0
1839,2017,0,115,2020.0
2017,1839,1,115,1865.0
2017,2130,1,115,1865.0
2130,2017,0,115,1907.0
2130,2133,0,115,1907.0
2133,2130,0,115,1923.0
2133,2134,0,115,1923.0
2134,2133,0,115,1924.0
2134,2136,0,115,1924.0
2136,2134,0,115,1924.0
2136,2140,0,115,1924.0
2140,2136,0,115,1907.0
2140,2141,0,115,1907.0
2141,2140,0,115,1907.0
2141,2142,0,115,1907.0
2142,2141,0,115,1907.0
2142,2146,0,115,1907.0
2146,2142,0,115,1867.0
2146,2148,0,115,1867.0
2148,2146,0,115,1933.0
2148,39129,0,115,1933.0
39129,2148,0,115,1907.0
1322,1325,0,116,1900.0
1325,1322,0,116,1900.0
1325,1406,0,116,1900.0
1406,1325,0,116,1920.0
1406,1409,0,116,1920.0
1409,1406,0,116,1923.0
1409,1410,0,116,1923.0
1410,1409,0,116,1923.0
1410,1907,0,116,1923.0
1907,1410,0,116,1903.0
1907,1908,0,116,1903.0
1908,1907,0,116,1856.0
1908,1928,0,116,1856.0
1928,1908,0,116,1865.0
1928,1930,0,116,1865.0
1930,1928,0,116,1903.0
1930,2032,0,116,1903.0
2032,1930,0,116,1884.0
2032,2074,0,116,1884.0
2074,2032,0,116,1856.0
2074,2075,0,116,1856.0
2075,2074,0,116,1856.0
2075,2077,0,116,1856.0
2077,2075,0,116,1947.0
2077,2079,0,116,1947.0
2079,2077,0,116,1903.0
2079,2080,0,116,1903.0
2080,2079,0,116,1903.0
2080,2081,0,116,1903.0
2081,2080,0,116,1903.0
2081,2082,0,116,1903.0
2082,2081,0,116,1903.0
2082,2083,0,116,1903.0
2083,2082,0,116,1903.0
2083,2084,0,116,1903.0
2084,2083,0,116,1856.0
2084,2085,0,116,1856.0
2085,2084,0,116,1856.0
2085,2444,0,116,1856.0
2444,2085,0,116,1856.0
2444,2445,0,116,1856.0
2445,2444,0,116,1865.0
2445,2446,0,116,1865.0
2446,2445,0,116,1865.0
2446,2454,0,116,1865.0
2454,2446,0,116,1908.0
2454,24268,0,116,1908.0
24268,2454,1,116,1865.0
24268,24269,1,116,1865.0
24269,24268,1,116,1865.0
24269,24417,1,116,1865.0
24417,24269,0,116,1920.0
893,894,0,117,1868.0
894,893,0,117,1868.0
894,895,0,117,1868.0
895,894,0,117,1868.0
895,896,0,117,1868.0
896,895,0,117,1868.0
896,902,0,117,1868.0
902,896,0,117,1868.0
902,903,0,117,1868.0
903,902,0,117,1868.0
903,904,0,117,1868.0
904,903,0,117,1870.0
904,905,0,117,1870.0
905,904,0,117,1866.0
905,906,0,117,1866.0
906,905,0,117,1870.0
906,908,0,117,1870.0
908,906,0,117,1884.0
908,909,0,117,1884.0
909,908,1,117,1884.0
909,910,1,117,1884.0
910,909,0,117,1871.0
910,1941,0,117,1871.0
1941,910,0,117,1864.0
1941,1942,0,117,1864.0
1942,1941,0,117,1864.0
1942,1943,0,117,1864.0
1943,1942,1,117,1863.0
1943,2017,1,117,1863.0
2017,1943,1,117,1865.0
2017,2019,1,117,1865.0
2019,2017,0,117,1865.0
2019,2021,0,117,1865.0
2021,2019,0,117,1941.0
2021,2023,0,117,1941.0
2023,2021,0,117,1863.0
2023,2027,0,117,1863.0
2027,2023,0,117,1863.0
2027,2029,0,117,1863.0
2029,2027,1,117,1863.0
2029,2032,1,117,1863.0
2032,2029,0,117,1884.0
2032,24416,0,117,1884.0
24416,2032,0,117,2008.0
24416,33543,0,117,2008.0
33543,24416,0,117,1871.0
33543,35204,0,117,1871.0
35204,33543,0,117,2021.0
875,893,0,139,1871.0
893,875,0,139,1868.0
893,894,0,139,1868.0
894,893,1,139,1868.0
894,895,1,139,1868.0
895,894,0,139,1868.0
895,896,0,139,1868.0
896,895,0,139,1868.0
896,897,0,139,1868.0
897,896,0,139,1874.0
897,898,0,139,1874.0
898,897,0,139,1906.0
898,899,0,139,1906.0
899,898,0,139,1874.0
899,902,0,139,1874.0
902,899,0,139,1868.0
902,903,0,139,1868.0
903,902,0,139,1868.0
903,904,0,139,1868.0
904,903,0,139,1870.0
904,905,0,139,1870.0
905,904,0,139,1866.0
905,906,0,139,1866.0
906,905,0,139,1870.0
906,908,0,139,1870.0
908,906,0,139,1884.0
908,909,0,139,1884.0
909,908,1,139,1884.0
909,910,1,139,1884.0
910,909,0,139,1871.0
910,1200,0,139,1871.0
1200,910,0,139,1912.0
1200,1201,0,139,1912.0
1201,1200,0,139,1877.0
1201,1202,0,139,1877.0
1202,1201,0,139,1877.0
1202,1204,0,139,1877.0
1204,1202,0,139,1877.0
1204,1205,0,139,1877.0
1205,1204,0,139,1846.0
1205,1226,0,139,1846.0
1226,1205,1,139,1876.0
1226,2029,1,139,1876.0
2029,1226,0,139,1863.0
2029,2032,0,139,1863.0
2032,2029,0,139,1884.0
2032,2090,0,139,1884.0
2090,2032,0,139,1904.0
2090,2184,0,139,1904.0
2184,2090,0,139,1858.0
2184,2186,0,139,1858.0
2186,2184,0,139,1902.0
2186,2188,0,139,1902.0
2188,2186,0,139,1858.0
2188,2190,0,139,1858.0
2190,2188,0,139,1902.0
2190,2192,0,139,1902.0
2192,2190,0,139,1858.0
2192,2212,0,139,1858.0
2212,2192,0,139,1885.0
2212,2218,0,139,1885.0
2218,2212,0,139,1932.0
2218,2219,0,139,1932.0
2219,2218,0,139,1926.0
2219,2221,0,139,1926.0
2221,2219,0,139,1935.0
2221,2222,0,139,1935.0
2222,2221,0,139,1885.0
2222,2223,0,139,1885.0
2223,2222,0,139,1934.0
891,24188,0,140,2007.0
24188,891,0,140,1863.0
24188,24218,0,140,1863.0
24218,24188,0,140,1868.0
839,913,0,142,1890.0
913,839,0,142,1906.0
913,914,0,142,1906.0
914,913,0,142,1906.0
914,1279,0,142,1906.0
1279,914,0,142,1913.0
1279,2091,0,142,1913.0
2091,1279,0,142,1915.0
2091,2093,0,142,1915.0
2093,2091,0,142,1915.0
2093,2095,0,142,1915.0
2095,2093,0,142,1915.0
2095,2096,0,142,1915.0
2096,2095,0,142,1916.0
2096,2153,0,142,1916.0
2153,2096,0,142,1837.0
2153,2156,0,142,1837.0
2156,2153,1,142,1914.0
2156,2476,1,142,1914.0
2476,2156,2,142,1932.0
2476,2477,2,142,1932.0
2477,2476,2,142,1932.0
2477,24163,2,142,1932.0
24163,2477,0,142,1868.0
24163,24279,0,142,1868.0
24279,24163,0,142,1906.0
24279,33538,0,142,1906.0
33538,24279,0,142,1912.0
33538,33539,0,142,1912.0
33539,33538,0,142,1912.0
33539,33540,0,142,1912.0
33540,33539,0,142,1842.0
33540,33541,0,142,1842.0
33541,33540,0,142,1933.0
33541,33542,0,142,1933.0
33542,33541,0,142,1912.0
835,896,0,143,1890.0
896,835,0,143,1868.0
896,919,0,143,1868.0
919,896,0,143,1972.0
919,921,0,143,1972.0
921,919,0,143,1971.0
921,1212,0,143,1971.0
1212,921,0,143,1968.0
1212,1213,0,143,1968.0
1213,1212,0,143,1968.0
1213,1214,0,143,1968.0
1214,1213,0,143,1968.0
1214,1338,0,143,1968.0
1338,1214,0,143,1906.0
1338,2388,0,143,1906.0
2388,1338,0,143,1870.0
2388,39158,0,143,1870.0
39158,2388,0,143,1863.0
922,924,0,144,1848.0
924,922,0,144,1877.0
924,927,0,144,1877.0
927,924,0,144,1838.0
927,1205,0,144,1838.0
1205,927,0,144,1846.0
1205,1274,0,144,1846.0
1274,1205,0,144,1889.0
1274,1444,0,144,1889.0
1444,1274,0,144,1859.0
1444,1825,0,144,1859.0
1825,1444,0,144,1858.0
1825,2447,0,144,1858.0
2447,1825,0,144,1864.0
2447,16157,0,144,1864.0
16157,2447,0,144,0.0
16157,16218,0,144,0.0
16218,16157,0,144,1838.0
16218,16219,0,144,1838.0
16219,16218,0,144,1845.0
16219,16220,0,144,1845.0
16220,16219,0,144,1885.0
16220,16221,0,144,1885.0
16221,16220,0,144,1859.0
16221,37701,0,144,1859.0
37701,16221,0,144,1885.0
903,932,0,146,1868.0
932,903,0,146,1999.0
932,933,0,146,1999.0
933,932,0,146,1999.0
933,935,0,146,1999.0
935,933,1,146,1840.0
935,937,1,146,1840.0
937,935,0,146,1847.0
937,938,0,146,1847.0
938,937,0,146,1999.0
938,939,0,146,1999.0
939,938,0,146,1999.0
939,941,0,146,1999.0
941,939,0,146,1999.0
941,1322,0,146,1999.0
1322,941,0,146,1900.0
1322,1338,0,146,1900.0
1338,1322,0,146,1906.0
1338,2060,0,146,1906.0
2060,1338,0,146,1879.0
2060,2174,0,146,1879.0
2174,2060,0,146,1979.0
2174,2176,0,146,1979.0
2176,2174,0,146,1893.0
2176,2303,0,146,1893.0
2303,2176,0,146,2011.0
2303,2476,0,146,2011.0
2476,2303,0,146,1932.0
2476,2477,0,146,1932.0
2477,2476,0,146,1932.0
2477,24163,0,146,1932.0
24163,2477,0,146,1868.0
24163,33544,0,146,1868.0
33544,24163,0,146,1879.0
1226,1286,0,159,1876.0
1286,1226,0,159,1839.0
1286,1545,0,159,1839.0
1545,1286,0,159,1839.0
1545,1648,0,159,1839.0
1648,1545,0,159,1850.0
1648,1662,0,159,1850.0
1662,1648,0,159,1856.0
1662,1835,0,159,1856.0
1835,1662,0,159,1904.0
1835,2257,0,159,1904.0
2257,1835,0,159,1886.0
2257,2260,0,159,1886.0
2260,2257,0,159,1839.0
2260,2293,0,159,1839.0
2293,2260,0,159,2010.0
2293,2295,0,159,2010.0
2295,2293,0,159,1839.0
2295,2297,0,159,1839.0
2297,2295,0,159,1839.0
2297,2299,0,159,1839.0
2299,2297,0,159,1839.0
2299,2301,0,159,1839.0
2301,2299,0,159,1839.0
2301,24194,0,159,1839.0
24194,2301,0,159,1850.0
24194,24216,0,159,1850.0
24216,24194,0,159,1865.0
935,937,1,160,1840.0
937,935,0,160,1847.0
937,1298,0,160,1847.0
1298,937,0,160,1987.0
1298,1307,0,160,1987.0
1307,1298,0,160,1999.0
1307,1424,0,160,1999.0
