source,target,mode,line_id,year
37952,37953,0,4772,2017.0
37953,37952,0,4772,2017.0
37953,37954,0,4772,2017.0
37954,37953,0,4772,2017.0
37954,37955,0,4772,2017.0
37955,37954,0,4772,2017.0
37955,37956,0,4772,2017.0
37956,37955,0,4772,2017.0
37956,37957,0,4772,2017.0
37957,37956,0,4772,2017.0
37957,37958,0,4772,2017.0
37958,37957,0,4772,2017.0
37958,37959,0,4772,2017.0
37959,37958,0,4772,2017.0
37959,37960,0,4772,2017.0
37960,37959,0,4772,2019.0
37960,37961,0,4772,2019.0
37961,37960,0,4772,2019.0
37961,37962,0,4772,2019.0
37962,37961,0,4772,2019.0
37962,37963,0,4772,2019.0
37963,37962,0,4772,2019.0
37963,37964,0,4772,2019.0
37964,37963,0,4772,2019.0
37964,37965,0,4772,2019.0
37965,37964,0,4772,2019.0
37965,37966,0,4772,2019.0
37966,37965,0,4772,2019.0
37966,37967,0,4772,2019.0
37967,37966,0,4772,2019.0
37967,37969,0,4772,2019.0
37969,37967,0,4772,2019.0
37969,37970,0,4772,2019.0
37970,37969,0,4772,2019.0
37970,37971,0,4772,2019.0
37971,37970,0,4772,2019.0
37971,37972,0,4772,2019.0
37972,37971,0,4772,2019.0
