source,target,mode,line_id,year
7068,7069,0,579,2005.0
7069,7068,0,579,2005.0
7069,7070,0,579,2005.0
7070,7069,0,579,2005.0
7070,7071,0,579,2005.0
7071,7070,0,579,2014.0
7071,7072,0,579,2014.0
7072,7071,0,579,2014.0
7072,7073,0,579,2014.0
7073,7072,0,579,2014.0
7073,7074,0,579,2014.0
7074,7073,0,579,2014.0
7074,8476,0,579,2014.0
8476,7074,0,579,0.0
8476,8478,0,579,0.0
8478,8476,0,579,0.0
8478,8480,0,579,0.0
8480,8478,0,579,0.0
8480,8482,0,579,0.0
8482,8480,0,579,0.0
8482,8484,0,579,0.0
8484,8482,0,579,0.0
8484,8489,0,579,0.0
8489,8484,0,579,0.0
8489,8491,0,579,0.0
8491,8489,0,579,0.0
8491,8493,0,579,0.0
8493,8491,0,579,0.0
8493,8494,0,579,0.0
8494,8493,0,579,0.0
8494,8496,0,579,0.0
8496,8494,0,579,0.0
8496,8497,0,579,0.0
8497,8496,0,579,0.0
8497,8521,0,579,0.0
8521,8497,0,579,0.0
8531,8533,0,580,0.0
8533,8531,0,580,0.0
8533,8535,0,580,0.0
8535,8533,0,580,0.0
8535,8538,0,580,0.0
8538,8535,0,580,0.0
8538,8540,0,580,0.0
8540,8538,0,580,0.0
8540,8542,0,580,0.0
8542,8540,0,580,0.0
8542,8544,0,580,0.0
8544,8542,0,580,0.0
8544,8546,0,580,0.0
8546,8544,0,580,0.0
8546,8547,0,580,0.0
8547,8546,0,580,0.0
8547,8549,0,580,0.0
8549,8547,0,580,0.0
8549,8551,0,580,0.0
8551,8549,0,580,0.0
8551,8553,0,580,0.0
8553,8551,0,580,0.0
8553,8555,0,580,0.0
8555,8553,0,580,0.0
8555,8557,0,580,0.0
8557,8555,0,580,0.0
8557,8560,0,580,0.0
8560,8557,0,580,0.0
8498,8499,0,582,0.0
8499,8498,0,582,0.0
8499,8502,0,582,0.0
8502,8499,0,582,0.0
8502,8503,0,582,0.0
8503,8502,0,582,0.0
8503,8504,0,582,0.0
8504,8503,0,582,0.0
8504,8505,0,582,0.0
8505,8504,0,582,0.0
8505,8506,0,582,0.0
8506,8505,0,582,0.0
8506,8507,0,582,0.0
8507,8506,0,582,0.0
8507,8509,0,582,0.0
8509,8507,0,582,0.0
8509,8510,0,582,0.0
8510,8509,0,582,0.0
8510,8511,0,582,0.0
8511,8510,0,582,0.0
8511,8512,0,582,0.0
8512,8511,0,582,0.0
8512,8513,0,582,0.0
8513,8512,0,582,0.0
8513,8514,0,582,0.0
8514,8513,0,582,0.0
8514,8515,0,582,0.0
8515,8514,0,582,0.0
8515,8516,0,582,0.0
8516,8515,0,582,0.0
8516,8517,0,582,0.0
8517,8516,0,582,0.0
8517,8518,0,582,0.0
8518,8517,0,582,0.0
8518,8519,0,582,0.0
8519,8518,0,582,0.0
8519,8520,0,582,0.0
8520,8519,0,582,0.0
8520,8522,0,582,0.0
8522,8520,0,582,0.0
8522,8523,0,582,0.0
8523,8522,0,582,0.0
8523,8524,0,582,0.0
8524,8523,0,582,0.0
8524,8525,0,582,0.0
8525,8524,0,582,0.0
8525,8526,0,582,0.0
8526,8525,0,582,0.0
8526,8527,0,582,0.0
8527,8526,0,582,0.0
8527,8528,0,582,0.0
8528,8527,0,582,0.0
8562,8564,0,583,0.0
8564,8562,0,583,0.0
