source,target,mode,line_id,year
21478,21479,0,2338,2020.0
21479,21478,0,2338,2020.0
21479,21480,0,2338,2020.0
21480,21479,0,2338,2020.0
21480,21481,0,2338,2020.0
21481,21480,0,2338,2020.0
21481,21482,0,2338,2020.0
21482,21481,0,2338,2020.0
21482,21483,0,2338,2020.0
21483,21482,0,2338,2020.0
21483,21484,0,2338,2020.0
21484,21483,0,2338,2020.0
21484,21485,0,2338,2020.0
21485,21484,0,2338,2020.0
21485,21486,0,2338,2020.0
21486,21485,0,2338,2020.0
21486,21487,0,2338,2020.0
21487,21486,0,2338,2020.0
21487,21488,0,2338,2020.0
21488,21487,0,2338,2020.0
21488,27088,0,2338,2020.0
27088,21488,0,2338,2023.0
27088,38827,0,2338,2023.0
38827,27088,0,2338,2024.0
38828,38829,0,5034,2024.0
38829,38828,0,5034,2024.0
38830,38831,0,5035,2024.0
38831,38830,0,5035,2024.0
