source,target,mode,line_id,year
36233,37629,0,95,1999.0
37629,36233,0,95,
513,514,0,103,1980.0
514,513,0,103,1980.0
27951,27952,0,105,
27952,27951,0,105,
27952,27953,0,105,
27953,27952,0,105,
27953,27954,0,105,
27954,27953,0,105,
27954,27957,0,105,
27957,27954,0,105,
27957,37628,0,105,
37628,27957,0,105,
37628,37630,0,105,
37630,37628,0,105,
22839,22840,0,2658,1966.0
22840,22839,0,2658,1964.0
22848,26211,0,2665,1879.0
26211,22848,0,2665,1871.0
22872,22964,0,2678,1981.0
22964,22872,0,2678,1859.0
22964,22968,0,2678,1859.0
22968,22964,0,2678,2004.0
22968,22973,0,2678,2004.0
22973,22968,0,2678,1859.0
22973,22974,0,2678,1859.0
22974,22973,0,2678,1989.0
22974,22975,0,2678,1989.0
22975,22974,0,2678,1959.0
22975,36230,0,2678,1959.0
36230,22975,0,2678,1996.0
36230,36231,0,2678,1996.0
36231,36230,0,2678,1996.0
36231,36232,0,2678,1996.0
36232,36231,0,2678,1859.0
36232,36235,0,2678,1859.0
36235,36232,0,2678,1991.0
36235,36236,0,2678,1991.0
36236,36235,0,2678,1991.0
22964,22965,0,2679,1859.0
22965,22964,0,2679,1859.0
22965,22966,0,2679,1859.0
22966,22965,0,2679,1975.0
22966,22967,0,2679,1975.0
22967,22966,0,2679,1859.0
22967,22968,0,2679,1859.0
22968,22967,0,2679,2004.0
22968,22973,0,2679,2004.0
22973,22968,0,2679,1859.0
22973,22974,0,2679,1859.0
22974,22973,0,2679,1989.0
22974,22975,0,2679,1989.0
22975,22974,0,2679,1959.0
22975,22979,0,2679,1959.0
22979,22975,0,2679,1859.0
22979,36230,0,2679,1859.0
36230,22979,0,2679,1996.0
36230,36231,0,2679,1996.0
36231,36230,0,2679,1996.0
36231,36232,0,2679,1996.0
36232,36231,0,2679,1859.0
36232,36235,0,2679,1859.0
36235,36232,0,2679,1991.0
36235,36236,0,2679,1991.0
36236,36235,0,2679,1991.0
22904,22907,0,2680,1989.0
22907,22904,0,2680,1851.0
22907,22909,0,2680,1851.0
22909,22907,0,2680,1851.0
22909,22910,0,2680,1851.0
22910,22909,0,2680,1851.0
22910,22918,0,2680,1851.0
22918,22910,0,2680,1851.0
22918,23011,0,2680,1851.0
23011,22918,0,2680,1861.0
23011,23069,0,2680,1861.0
23069,23011,0,2680,1861.0
23069,36226,0,2680,1861.0
36226,23069,0,2680,1879.0
36226,36228,0,2680,1879.0
36228,36226,0,2680,1851.0
36228,36229,0,2680,1851.0
36229,36228,0,2680,1973.0
22904,22907,0,2681,1989.0
22907,22904,0,2681,1851.0
22907,22909,0,2681,1851.0
22909,22907,0,2681,1851.0
22909,22910,0,2681,1851.0
22910,22909,0,2681,1851.0
22910,23011,0,2681,1851.0
23011,22910,0,2681,1861.0
23011,23069,0,2681,1861.0
23069,23011,1,2681,1861.0
22918,36148,0,2684,1851.0
36148,22918,0,2684,1851.0
22872,22968,0,2685,1981.0
22968,22872,0,2685,2004.0
22968,22973,0,2685,2004.0
22973,22968,0,2685,1859.0
22973,22974,0,2685,1859.0
22974,22973,0,2685,1989.0
22974,22975,0,2685,1989.0
22975,22974,0,2685,1959.0
22975,23005,0,2685,1959.0
23005,22975,0,2685,1926.0
23005,23008,0,2685,1926.0
23008,23005,0,2685,1861.0
23008,23009,0,2685,1861.0
23009,23008,0,2685,2005.0
23009,36230,0,2685,2005.0
36230,23009,0,2685,1996.0
36230,36231,0,2685,1996.0
36231,36230,0,2685,1996.0
36231,36232,0,2685,1996.0
36232,36231,0,2685,1859.0
36232,36235,0,2685,1859.0
36235,36232,0,2685,1991.0
36235,36236,0,2685,1991.0
36236,36235,0,2685,1991.0
22965,22966,0,2686,1859.0
22966,22965,0,2686,1975.0
22966,22967,0,2686,1975.0
22967,22966,0,2686,1859.0
22967,22968,0,2686,1859.0
22968,22967,0,2686,2004.0
22968,22973,0,2686,2004.0
22973,22968,0,2686,1859.0
22973,22974,0,2686,1859.0
22974,22973,0,2686,1989.0
22974,22979,0,2686,1989.0
22979,22974,0,2686,1859.0
22979,23011,0,2686,1859.0
23011,22979,0,2686,1861.0
23011,23069,0,2686,1861.0
23069,23011,0,2686,1861.0
23069,23073,0,2686,1861.0
23073,23069,0,2686,1861.0
23073,36230,0,2686,1861.0
36230,23073,0,2686,1996.0
36230,36231,0,2686,1996.0
36231,36230,0,2686,1996.0
36231,36235,0,2686,1996.0
36235,36231,0,2686,1991.0
36235,36236,0,2686,1991.0
36236,36235,0,2686,1991.0
23241,23242,0,2687,1923.0
23242,23241,0,2687,1923.0
23242,23243,0,2687,1923.0
23243,23242,0,2687,1923.0
23243,23244,0,2687,1923.0
23244,23243,0,2687,1923.0
23244,23245,0,2687,1923.0
23245,23244,0,2687,1923.0
23245,23246,0,2687,1923.0
23246,23245,0,2687,1964.0
23246,23247,0,2687,1964.0
23247,23246,0,2687,1964.0
22872,23008,0,2688,1981.0
23008,22872,0,2688,1861.0
23008,23009,0,2688,1861.0
23009,23008,0,2688,2005.0
23009,23011,0,2688,2005.0
23011,23009,0,2688,1861.0
23011,23073,0,2688,1861.0
23073,23011,0,2688,1861.0
23073,36248,0,2688,1861.0
36248,23073,0,2688,1861.0
22965,22967,0,2702,1859.0
22967,22965,0,2702,1859.0
22967,22979,0,2702,1859.0
22979,22967,0,2702,1859.0
22979,36230,0,2702,1859.0
36230,22979,0,2702,1996.0
36230,36231,0,2702,1996.0
36231,36230,0,2702,1996.0
36231,36236,0,2702,1996.0
36236,36231,0,2702,1991.0
22844,23128,0,2762,1871.0
23128,22844,0,2762,1881.0
22848,23127,0,2763,1879.0
23127,22848,0,2763,1891.0
22918,36148,0,2806,1851.0
36148,22918,0,2806,1851.0
23317,23318,0,2817,2007.0
23318,23317,0,2817,2007.0
23318,23319,0,2817,2007.0
23319,23318,0,2817,2007.0
23319,23320,0,2817,2007.0
23320,23319,0,2817,2007.0
23320,23321,0,2817,2007.0
23321,23320,0,2817,2007.0
23321,23322,0,2817,2007.0
23322,23321,0,2817,2007.0
23322,23323,0,2817,2007.0
23323,23322,0,2817,2008.0
23323,23324,0,2817,2008.0
23324,23323,0,2817,2008.0
23324,23325,0,2817,2008.0
23325,23324,0,2817,2008.0
23325,23326,0,2817,2008.0
23326,23325,0,2817,2008.0
23326,23327,0,2817,2008.0
23327,23326,0,2817,2008.0
23327,23328,0,2817,2008.0
23328,23327,0,2817,2008.0
23328,23329,0,2817,2008.0
23329,23328,0,2817,2008.0
23329,23330,0,2817,2008.0
23330,23329,0,2817,2008.0
23330,23331,0,2817,2008.0
23331,23330,0,2817,2008.0
23331,23332,0,2817,2008.0
23332,23331,0,2817,2008.0
23332,23333,0,2817,2008.0
23333,23332,0,2817,2007.0
23333,23334,0,2817,2007.0
23334,23333,0,2817,2005.0
23334,23335,0,2817,2005.0
23335,23334,0,2817,2007.0
24004,24005,0,3184,1877.0
24005,24004,0,3184,1877.0
22848,26211,0,4521,1879.0
26211,22848,0,4521,1871.0
26201,40391,0,4522,1889.0
40391,26201,0,4522,1936.0
22907,22909,0,4584,1851.0
22909,22907,0,4584,1851.0
22909,22910,0,4584,1851.0
22910,22909,0,4584,1851.0
22910,22918,0,4584,1851.0
22918,22910,0,4584,1851.0
22918,22964,0,4584,1851.0
22964,22918,0,4584,1859.0
22964,22965,0,4584,1859.0
22965,22964,0,4584,1859.0
22965,22966,0,4584,1859.0
22966,22965,0,4584,1975.0
22966,22967,0,4584,1975.0
22967,22966,0,4584,1859.0
22967,22973,0,4584,1859.0
22973,22967,0,4584,1859.0
22973,22975,0,4584,1859.0
22975,22973,0,4584,1959.0
22975,22979,0,4584,1959.0
22979,22975,0,4584,1859.0
22979,23005,0,4584,1859.0
23005,22979,0,4584,1926.0
23005,23008,0,4584,1926.0
23008,23005,0,4584,1861.0
23008,23011,0,4584,1861.0
23011,23008,0,4584,1861.0
23011,23069,0,4584,1861.0
23069,23011,0,4584,1861.0
23069,23073,0,4584,1861.0
23073,23069,0,4584,1861.0
23073,36148,0,4584,1861.0
36148,23073,0,4584,1851.0
36148,36226,0,4584,1851.0
36226,36148,0,4584,1879.0
36226,36228,0,4584,1879.0
36228,36226,0,4584,1851.0
36228,36229,0,4584,1851.0
36229,36228,0,4584,1973.0
36229,36232,0,4584,1973.0
36232,36229,0,4584,1859.0
36232,36238,0,4584,1859.0
36238,36232,0,4584,1853.0
36238,36239,0,4584,1853.0
36239,36238,0,4584,1853.0
36239,36240,0,4584,1853.0
36240,36239,0,4584,1853.0
36240,36242,0,4584,1853.0
36242,36240,0,4584,1858.0
36242,36243,0,4584,1858.0
36243,36242,0,4584,1858.0
36243,36244,0,4584,1858.0
36244,36243,0,4584,1858.0
36244,36248,0,4584,1858.0
36248,36244,0,4584,1861.0
36248,38460,0,4584,1861.0
38460,36248,0,4584,1861.0
38460,38461,0,4584,1861.0
38461,38460,0,4584,1861.0
38461,38462,0,4584,1861.0
38462,38461,0,4584,1861.0
22907,22909,0,4592,1851.0
22909,22907,0,4592,1851.0
22909,22910,0,4592,1851.0
22910,22909,0,4592,1851.0
22910,22918,0,4592,1851.0
22918,22910,0,4592,1851.0
22918,22964,0,4592,1851.0
22964,22918,0,4592,1859.0
22964,22965,0,4592,1859.0
22965,22964,0,4592,1859.0
22965,22967,0,4592,1859.0
22967,22965,0,4592,1859.0
22967,22973,0,4592,1859.0
22973,22967,0,4592,1859.0
22973,22975,0,4592,1859.0
22975,22973,0,4592,1959.0
22975,22979,0,4592,1959.0
22979,22975,0,4592,1859.0
22979,36148,0,4592,1859.0
36148,22979,0,4592,1851.0
36148,36225,0,4592,1851.0
36225,36148,0,4592,1851.0
36225,36226,0,4592,1851.0
36226,36225,0,4592,1879.0
