source,target,mode,line_id,year
34156,34157,0,4149,2014.0
34157,34156,0,4149,2014.0
34157,34158,0,4149,2014.0
34158,34157,0,4149,2014.0
34158,34159,0,4149,2014.0
34159,34158,0,4149,2014.0
34159,34160,0,4149,2014.0
34160,34159,0,4149,2014.0
34160,34161,0,4149,2014.0
34161,34160,0,4149,2014.0
34161,34162,0,4149,2014.0
34162,34161,0,4149,2014.0
34162,34163,0,4149,2014.0
34163,34162,0,4149,2014.0
34163,34164,0,4149,2014.0
34164,34163,0,4149,2014.0
34164,34165,0,4149,2014.0
34165,34164,0,4149,2014.0
34165,34166,0,4149,2014.0
34166,34165,0,4149,2014.0
34166,34176,0,4149,2014.0
34176,34166,0,4149,2022.0
34176,34177,0,4149,2022.0
34177,34176,0,4149,2022.0
34166,34167,0,4150,2014.0
34167,34166,0,4150,2014.0
34167,34168,0,4150,2014.0
34168,34167,0,4150,2014.0
34168,34169,0,4150,2014.0
34169,34168,0,4150,2014.0
34169,34170,0,4150,2014.0
34170,34169,0,4150,2014.0
34170,34171,0,4150,2014.0
34171,34170,0,4150,2014.0
34171,34172,0,4150,2014.0
34172,34171,0,4150,2014.0
34172,34176,0,4150,2014.0
34176,34172,0,4150,2022.0
34176,34177,0,4150,2022.0
34177,34176,0,4150,2022.0
34130,34131,0,4151,1975.0
34131,34130,0,4151,1975.0
34131,34132,0,4151,1975.0
34132,34131,0,4151,1975.0
34132,34133,0,4151,1975.0
34133,34132,0,4151,2010.0
34133,34135,0,4151,2010.0
34135,34133,0,4151,2010.0
34135,34136,0,4151,2010.0
34136,34135,0,4151,1975.0
34136,34137,0,4151,1975.0
34137,34136,0,4151,1975.0
34137,34138,0,4151,1975.0
34138,34137,0,4151,1975.0
34138,34139,0,4151,1975.0
34139,34138,0,4151,1975.0
34139,34140,0,4151,1975.0
34140,34139,0,4151,1975.0
34140,34141,0,4151,1975.0
34141,34140,0,4151,
34141,34142,0,4151,
34142,34141,0,4151,1975.0
34142,34143,0,4151,1975.0
34143,34142,0,4151,1975.0
34143,34144,0,4151,1975.0
34144,34143,0,4151,1975.0
34144,34145,0,4151,1975.0
34145,34144,0,4151,2009.0
34145,34154,0,4151,2009.0
34154,34145,0,4151,1975.0
34154,34155,0,4151,1975.0
34155,34154,0,4151,1975.0
34155,34173,0,4151,1975.0
34173,34155,0,4151,1975.0
34173,34174,0,4151,1975.0
34174,34173,0,4151,1975.0
34174,34175,0,4151,1975.0
34175,34174,0,4151,1975.0
34145,34147,0,4152,2009.0
34147,34145,0,4152,1975.0
34147,34148,0,4152,1975.0
34148,34147,0,4152,1975.0
34148,34149,0,4152,1975.0
34149,34148,0,4152,1975.0
34149,34150,0,4152,1975.0
34150,34149,0,4152,1975.0
34150,34151,0,4152,1975.0
34151,34150,0,4152,1975.0
34151,34152,0,4152,1975.0
34152,34151,0,4152,1975.0
34152,34154,0,4152,1975.0
34154,34152,0,4152,1975.0
34154,34155,0,4152,1975.0
34155,34154,0,4152,1975.0
