source,target,mode,line_id,year
7714,7715,0,570,1977.0
7715,7714,0,570,1977.0
7715,7716,0,570,1977.0
7716,7715,0,570,1977.0
7716,7719,0,570,1977.0
7719,7716,0,570,1977.0
7719,7721,0,570,1977.0
7721,7719,0,570,1977.0
7721,7722,0,570,1977.0
7722,7721,0,570,1977.0
7722,7723,0,570,1977.0
7723,7722,0,570,1977.0
7723,7726,0,570,1977.0
7726,7723,0,570,1977.0
7726,7727,0,570,1977.0
7727,7726,0,570,1977.0
7727,7732,0,570,1977.0
7732,7727,0,570,1977.0
7732,7736,0,570,1977.0
7736,7732,0,570,1978.0
7736,7737,0,570,1978.0
7737,7736,0,570,1978.0
7737,7741,0,570,1978.0
7741,7737,0,570,2010.0
7741,7745,0,570,2010.0
7745,7741,0,570,2010.0
7745,7749,0,570,2010.0
7749,7745,0,570,1992.0
7749,7752,0,570,1992.0
7752,7749,0,570,1978.0
7752,7753,0,570,1978.0
7753,7752,0,570,1978.0
7753,7754,0,570,1978.0
7754,7753,0,570,2010.0
7771,7772,0,571,1987.0
7772,7771,0,571,1987.0
7075,7076,0,604,2013.0
7076,7075,0,604,2012.0
7076,7077,0,604,2012.0
7077,7076,0,604,2012.0
7077,7078,0,604,2012.0
7078,7077,0,604,2015.0
7079,7080,0,605,1880.0
7080,7079,0,605,1880.0
7080,7081,0,605,1880.0
7081,7080,0,605,1880.0
7081,7082,0,605,1880.0
7082,7081,0,605,1880.0
7082,7083,0,605,1880.0
7083,7082,0,605,1952.0
7083,7084,0,605,1952.0
7084,7083,0,605,1952.0
