source,target,mode,line_id,year
42387,42388,0,6749,2011.0
42388,42387,0,6749,2011.0
42388,42389,0,6749,2011.0
42389,42388,0,6749,2011.0
42389,42390,0,6749,2011.0
42390,42389,0,6749,2011.0
42390,42391,0,6749,2011.0
42391,42390,0,6749,2011.0
42391,42392,0,6749,2011.0
42392,42391,0,6749,2011.0
42392,42393,0,6749,2011.0
42393,42392,0,6749,2016.0
42393,42394,0,6749,2016.0
42394,42393,0,6749,2016.0
42394,42395,0,6749,2016.0
42395,42394,0,6749,2011.0
42395,42396,0,6749,2011.0
42396,42395,0,6749,2011.0
42396,42397,0,6749,2011.0
42397,42396,0,6749,2011.0
42397,42398,0,6749,2011.0
42398,42397,0,6749,2011.0
42398,42399,0,6749,2011.0
42399,42398,0,6749,2011.0
42399,42400,0,6749,2011.0
42400,42399,0,6749,2011.0
42400,42401,0,6749,2011.0
42401,42400,0,6749,2011.0
42401,42402,0,6749,2011.0
42402,42401,0,6749,2011.0
42402,42403,0,6749,2011.0
42403,42402,0,6749,2011.0
42403,42404,0,6749,2011.0
42404,42403,0,6749,2011.0
42387,42415,0,6750,2011.0
42415,42387,0,6750,2017.0
42415,42416,0,6750,2017.0
42416,42415,0,6750,2017.0
42416,42420,0,6750,2017.0
42420,42416,0,6750,2019.0
42420,42421,0,6750,2019.0
42421,42420,0,6750,2019.0
42421,42422,0,6750,2019.0
42422,42421,0,6750,2025.0
42423,42424,0,6751,
42424,42423,0,6751,2025.0
42424,42425,0,6751,2025.0
42425,42424,0,6751,2025.0
42425,42426,0,6751,2025.0
42426,42425,0,6751,
42426,42427,0,6751,
42427,42426,0,6751,
42427,42428,0,6751,
42428,42427,0,6751,
42428,42429,0,6751,
42429,42428,0,6751,
42429,42430,0,6751,
42430,42429,0,6751,
42430,42431,0,6751,
42431,42430,0,6751,
