source,target,mode,line_id,year
11064,11066,0,692,1871.0
11066,11064,0,692,1878.0
11066,11070,0,692,1878.0
11070,11066,0,692,1879.0
11062,11063,0,697,1880.0
11063,11062,0,697,1860.0
11063,11071,0,697,1860.0
11071,11063,0,697,1861.0
11071,27305,0,697,1861.0
27305,11071,0,697,1889.0
34074,34075,0,700,1881.0
34075,34074,0,700,2012.0
34075,34076,0,700,2012.0
34076,34075,0,700,1879.0
34076,34077,0,700,1879.0
34077,34076,0,700,1882.0
34077,34078,0,700,1882.0
34078,34077,0,700,1880.0
27646,27648,0,3329,2015.0
27648,27646,0,3329,1884.0
27648,27649,0,3329,1884.0
27649,27648,0,3329,1929.0
27298,27299,0,3335,1889.0
27299,27298,0,3335,1889.0
27299,27300,0,3335,1889.0
27300,27299,0,3335,1889.0
27300,27301,0,3335,1889.0
27301,27300,0,3335,1889.0
27301,27302,0,3335,1889.0
27302,27301,0,3335,1889.0
27302,27303,0,3335,1889.0
27303,27302,0,3335,1889.0
27303,34073,0,3335,1889.0
34073,27303,0,3335,1889.0
34066,34067,0,3338,1872.0
34067,34066,0,3338,1872.0
34067,34068,0,3338,1872.0
34068,34067,0,3338,1890.0
34068,34069,0,3338,1890.0
34069,34068,0,3338,1876.0
34069,34070,0,3338,1876.0
34070,34069,0,3338,1872.0
34070,34071,0,3338,1872.0
34071,34070,0,3338,1872.0
34071,34072,0,3338,1872.0
34072,34071,0,3338,1872.0
34055,34056,0,3340,1872.0
34056,34055,0,3340,1873.0
34056,34057,0,3340,1873.0
34057,34056,0,3340,1873.0
34057,34058,0,3340,1873.0
34058,34057,0,3340,1873.0
34058,34059,0,3340,1873.0
34059,34058,0,3340,1873.0
34059,34060,0,3340,1873.0
34060,34059,0,3340,1873.0
34060,34061,0,3340,1873.0
34061,34060,0,3340,1873.0
34061,34062,0,3340,1873.0
34062,34061,0,3340,1873.0
34062,34063,0,3340,1873.0
34063,34062,0,3340,1873.0
34063,34064,0,3340,1873.0
34064,34063,0,3340,2010.0
34064,34065,0,3340,2010.0
34065,34064,0,3340,1881.0
28078,28079,0,3363,1861.0
28079,28078,0,3363,1861.0
28079,28080,0,3363,1861.0
28080,28079,0,3363,1861.0
28080,28081,0,3363,1861.0
28081,28080,0,3363,1861.0
28081,28082,0,3363,1861.0
28082,28081,0,3363,1861.0
28082,28083,0,3363,1861.0
28083,28082,0,3363,1862.0
28083,28084,0,3363,1862.0
28084,28083,0,3363,1862.0
28084,28085,0,3363,1862.0
28085,28084,0,3363,1879.0
28085,28086,0,3363,1879.0
28086,28085,0,3363,1862.0
28086,28087,0,3363,1862.0
28087,28086,0,3363,1862.0
28087,28088,0,3363,1862.0
28088,28087,0,3363,1862.0
28088,28089,0,3363,1862.0
28089,28088,0,3363,1862.0
28089,28090,0,3363,1862.0
28090,28089,0,3363,1862.0
28090,28091,0,3363,1862.0
28091,28090,0,3363,1862.0
28091,28092,0,3363,1862.0
28092,28091,0,3363,1862.0
28092,28093,0,3363,1862.0
28093,28092,0,3363,1862.0
28093,28094,0,3363,1862.0
28094,28093,0,3363,1862.0
28097,28098,0,3482,1884.0
28098,28097,0,3482,1884.0
28097,28098,0,3483,1884.0
28098,28097,0,3483,1884.0
