source,target,mode,line_id,year
23023,30772,0,2270,2009.0
30772,23023,0,2270,2025.0
30772,30773,0,2270,2025.0
30773,30772,0,2270,2025.0
30773,30774,0,2270,2025.0
30774,30773,0,2270,2025.0
30774,30775,0,2270,2025.0
30775,30774,0,2270,2025.0
30775,30776,0,2270,2025.0
30776,30775,0,2270,2025.0
30776,30777,0,2270,2025.0
30777,30776,0,2270,2025.0
30777,30778,0,2270,2025.0
30778,30777,0,2270,2025.0
30778,30779,0,2270,2025.0
30779,30778,0,2270,2025.0
30779,30780,0,2270,2025.0
30780,30779,0,2270,2025.0
30780,30781,0,2270,2025.0
30781,30780,0,2270,2025.0
30781,30782,0,2270,2025.0
30782,30781,0,2270,2025.0
30782,30783,0,2270,2025.0
30783,30782,0,2270,2025.0
30783,30784,0,2270,2025.0
30784,30783,0,2270,2025.0
30784,30785,0,2270,2025.0
30785,30784,0,2270,2025.0
30785,30786,0,2270,2025.0
30786,30785,0,2270,2025.0
30786,30787,0,2270,2025.0
30787,30786,0,2270,2025.0
23085,23086,0,2749,2016.0
23086,23085,0,2749,2016.0
23105,23106,0,2750,2019.0
23106,23105,0,2750,2019.0
23106,23107,0,2750,2019.0
23107,23106,0,2750,2019.0
23107,23109,0,2750,2019.0
23109,23107,0,2750,2019.0
23109,23110,0,2750,2019.0
23110,23109,0,2750,2019.0
23110,23111,0,2750,2019.0
23111,23110,0,2750,2019.0
23111,23112,0,2750,2019.0
23112,23111,0,2750,2019.0
23112,23125,0,2750,2019.0
23125,23112,0,2750,2019.0
23125,23126,0,2750,2019.0
23126,23125,0,2750,2019.0
23126,37005,0,2750,2019.0
37005,23126,0,2750,2019.0
37005,37006,0,2750,2019.0
37006,37005,0,2750,2019.0
36981,36982,0,2752,2021.0
36982,36981,0,2752,2021.0
36982,36983,0,2752,2021.0
36983,36982,0,2752,2021.0
36983,36984,0,2752,2021.0
36984,36983,0,2752,2021.0
36984,36985,0,2752,2021.0
36985,36984,0,2752,2021.0
36985,36986,0,2752,2021.0
36986,36985,0,2752,2021.0
36986,36987,0,2752,2021.0
36987,36986,0,2752,2021.0
36987,36988,0,2752,2021.0
36988,36987,0,2752,2021.0
36988,36989,0,2752,2021.0
36989,36988,0,2752,2021.0
23084,23105,0,4662,2013.0
23105,23084,0,4662,2019.0
23105,23106,0,4662,2019.0
23106,23105,0,4662,2019.0
23106,23107,0,4662,2019.0
23107,23106,0,4662,2019.0
23107,23109,0,4662,2019.0
23109,23107,0,4662,2019.0
23109,23110,0,4662,2019.0
23110,23109,0,4662,2019.0
23110,23111,0,4662,2019.0
23111,23110,0,4662,2019.0
23111,23112,0,4662,2019.0
23112,23111,0,4662,2019.0
23112,23125,0,4662,2019.0
23125,23112,0,4662,2019.0
23125,23126,0,4662,2019.0
23126,23125,0,4662,2019.0
23126,36990,0,4662,2019.0
36990,23126,0,4662,2022.0
36990,36991,0,4662,2022.0
36991,36990,0,4662,2022.0
36991,36992,0,4662,2022.0
36992,36991,0,4662,2022.0
36992,36993,0,4662,2022.0
36993,36992,0,4662,2022.0
36993,36994,0,4662,2022.0
36994,36993,0,4662,2022.0
36994,36995,0,4662,2022.0
36995,36994,0,4662,2022.0
36995,36996,0,4662,2022.0
36996,36995,0,4662,2022.0
36996,36997,0,4662,2022.0
36997,36996,0,4662,2022.0
36997,36998,0,4662,2022.0
36998,36997,0,4662,2022.0
36998,36999,0,4662,2022.0
36999,36998,0,4662,2022.0
36999,37000,0,4662,2022.0
37000,36999,0,4662,2022.0
37000,37001,0,4662,2022.0
37001,37000,0,4662,2022.0
37001,37002,0,4662,2022.0
37002,37001,0,4662,2022.0
37002,37003,0,4662,2022.0
37003,37002,0,4662,2022.0
37003,37004,0,4662,2022.0
37004,37003,0,4662,2022.0
37004,37005,0,4662,2022.0
37005,37004,0,4662,2019.0
37005,37006,0,4662,2019.0
37006,37005,0,4662,2019.0
37006,37007,0,4662,2019.0
37007,37006,0,4662,2022.0
37007,37008,0,4662,2022.0
37008,37007,0,4662,2022.0
37008,37009,0,4662,2022.0
37009,37008,0,4662,2022.0
37009,37011,0,4662,2022.0
37011,37009,0,4662,2022.0
37011,37012,0,4662,2022.0
37012,37011,0,4662,2022.0
37012,37013,0,4662,2022.0
37013,37012,0,4662,2022.0
37013,37014,0,4662,2022.0
37014,37013,0,4662,2022.0
37014,37015,0,4662,2022.0
37015,37014,0,4662,2022.0
37015,37016,0,4662,2022.0
37016,37015,0,4662,2022.0
37016,37017,0,4662,2022.0
37017,37016,0,4662,2022.0
37017,37018,0,4662,2022.0
37018,37017,0,4662,2022.0
37018,37019,0,4662,2022.0
37019,37018,0,4662,2022.0
37019,37020,0,4662,2022.0
37020,37019,0,4662,2022.0
37020,37021,0,4662,2022.0
37021,37020,0,4662,2022.0
37021,37022,0,4662,2022.0
37022,37021,0,4662,2022.0
37022,37023,0,4662,2022.0
37023,37022,0,4662,2022.0
37023,37024,0,4662,2022.0
37024,37023,0,4662,2022.0
37024,37025,0,4662,2022.0
37025,37024,0,4662,2022.0
37025,37026,0,4662,2022.0
37026,37025,0,4662,2022.0
37026,37027,0,4662,2022.0
37027,37026,0,4662,2022.0
