source,target,mode,line_id,year
30400,30401,0,3607,1984.0
30401,30400,0,3607,1984.0
30401,30402,0,3607,1984.0
30402,30401,0,3607,1984.0
30402,30403,0,3607,1984.0
30403,30402,0,3607,1984.0
30403,30404,0,3607,1984.0
30404,30403,0,3607,1984.0
30404,30405,0,3607,1984.0
30405,30404,0,3607,1984.0
30405,30406,0,3607,1984.0
30406,30405,0,3607,1986.0
30406,30407,0,3607,1986.0
30407,30406,0,3607,2007.0
30407,30408,0,3607,2007.0
30408,30407,0,3607,2007.0
30408,30423,0,3607,2007.0
30423,30408,0,3607,1984.0
30423,30428,0,3607,1984.0
30428,30423,0,3607,1984.0
30428,30429,0,3607,1984.0
30429,30428,0,3607,2012.0
30429,30430,0,3607,2012.0
30430,30429,0,3607,2012.0
30430,30431,0,3607,2012.0
30431,30430,0,3607,2012.0
30431,30432,0,3607,2012.0
30432,30431,0,3607,2014.0
30409,30410,0,3608,2005.0
30410,30409,0,3608,2005.0
30410,30411,0,3608,2005.0
30411,30410,0,3608,2005.0
30411,30412,0,3608,2005.0
30412,30411,0,3608,1995.0
30412,30413,0,3608,1995.0
30413,30412,0,3608,1990.0
30413,30414,0,3608,1990.0
30414,30413,0,3608,1991.0
30414,30415,0,3608,1991.0
30415,30414,0,3608,1990.0
30415,30416,0,3608,1990.0
30416,30415,0,3608,1990.0
30416,30417,0,3608,1990.0
30417,30416,0,3608,1995.0
30417,30418,0,3608,1995.0
30418,30417,0,3608,1990.0
30418,30419,0,3608,1990.0
30419,30418,0,3608,1990.0
30419,30420,0,3608,1990.0
30420,30419,0,3608,1997.0
30420,30421,0,3608,1997.0
30421,30420,0,3608,2001.0
30421,30422,0,3608,2001.0
30422,30421,0,3608,1997.0
30424,30425,0,3609,2020.0
30425,30424,0,3609,2020.0
30425,30426,0,3609,2020.0
30426,30425,0,3609,2020.0
30426,30427,0,3609,2020.0
30427,30426,0,3609,2020.0
30427,38857,0,3609,2020.0
38857,30427,0,3609,2024.0
38857,38858,0,3609,2024.0
38858,38857,0,3609,2024.0
38858,38859,0,3609,2024.0
38859,38858,0,3609,2024.0
