source,target,mode,line_id,year
9956,10014,0,937,0.0
10014,9956,0,937,0.0
10014,10147,0,937,0.0
10147,10014,0,937,0.0
10147,10149,0,937,0.0
10149,10147,0,937,0.0
10149,10150,0,937,0.0
10150,10149,0,937,0.0
10150,10151,0,937,0.0
10151,10150,0,937,0.0
10151,10152,0,937,0.0
10152,10151,0,937,0.0
10152,10153,0,937,0.0
10153,10152,0,937,0.0
10153,10154,0,937,0.0
10154,10153,0,937,0.0
10154,10155,0,937,0.0
10155,10154,0,937,0.0
10155,10156,0,937,0.0
10156,10155,0,937,0.0
10156,10158,0,937,0.0
10158,10156,0,937,0.0
10158,10159,0,937,0.0
10159,10158,0,937,0.0
10159,10160,0,937,0.0
10160,10159,0,937,0.0
10160,10161,0,937,0.0
10161,10160,0,937,0.0
10161,10162,0,937,0.0
10162,10161,0,937,0.0
10162,10163,0,937,0.0
10163,10162,0,937,0.0
10163,10164,0,937,0.0
10164,10163,0,937,0.0
10164,10165,0,937,0.0
10165,10164,0,937,0.0
10165,10166,0,937,0.0
10166,10165,0,937,0.0
10166,10168,0,937,0.0
10168,10166,0,937,0.0
10168,10169,0,937,0.0
10169,10168,0,937,0.0
10169,10170,0,937,0.0
10170,10169,0,937,0.0
10170,10171,0,937,0.0
10171,10170,0,937,0.0
10171,10172,0,937,0.0
10172,10171,0,937,0.0
10172,10174,0,937,0.0
10174,10172,0,937,0.0
10174,10175,0,937,0.0
10175,10174,0,937,0.0
10175,10176,0,937,0.0
10176,10175,0,937,0.0
10176,10177,0,937,0.0
10177,10176,0,937,0.0
10177,10178,0,937,0.0
10178,10177,0,937,0.0
10178,10179,0,937,0.0
10179,10178,0,937,0.0
9908,9909,0,938,0.0
9909,9908,0,938,0.0
9909,9910,0,938,0.0
9910,9909,0,938,0.0
9910,9911,0,938,0.0
9911,9910,0,938,0.0
9911,9912,0,938,0.0
9912,9911,0,938,0.0
9912,9913,0,938,0.0
9913,9912,0,938,0.0
9913,9914,0,938,0.0
9914,9913,0,938,0.0
9914,9915,0,938,0.0
9915,9914,0,938,0.0
9915,9916,0,938,0.0
9916,9915,0,938,0.0
9916,9917,0,938,0.0
9917,9916,0,938,0.0
9917,9918,0,938,0.0
9918,9917,0,938,0.0
9918,9919,0,938,0.0
9919,9918,0,938,0.0
9919,9920,0,938,0.0
9920,9919,0,938,0.0
9920,9921,0,938,0.0
9921,9920,0,938,0.0
9921,9957,0,938,0.0
9957,9921,0,938,0.0
9957,9958,0,938,0.0
9958,9957,0,938,0.0
9958,10013,0,938,0.0
10013,9958,0,938,0.0
10013,10015,0,938,0.0
10015,10013,0,938,0.0
10015,10033,0,938,0.0
10033,10015,0,938,0.0
10033,10034,0,938,0.0
10034,10033,0,938,0.0
10034,10035,0,938,0.0
10035,10034,0,938,0.0
10035,10039,0,938,0.0
10039,10035,0,938,0.0
10039,10105,0,938,0.0
10105,10039,0,938,0.0
10105,10106,0,938,0.0
10106,10105,0,938,0.0
10106,10109,0,938,0.0
10109,10106,0,938,0.0
10109,10111,0,938,0.0
10111,10109,0,938,0.0
10111,10112,0,938,0.0
10112,10111,0,938,0.0
10112,10113,0,938,0.0
10113,10112,0,938,0.0
10113,10114,0,938,0.0
10114,10113,0,938,0.0
10114,10115,0,938,0.0
10115,10114,0,938,0.0
10115,10116,0,938,0.0
10116,10115,0,938,0.0
10116,10117,0,938,0.0
10117,10116,0,938,0.0
10117,10118,0,938,0.0
10118,10117,0,938,0.0
10118,10119,0,938,0.0
10119,10118,0,938,0.0
10119,10120,0,938,0.0
10120,10119,0,938,0.0
10120,10121,0,938,0.0
10121,10120,0,938,0.0
10121,10122,0,938,0.0
10122,10121,0,938,0.0
10122,10123,0,938,0.0
10123,10122,0,938,0.0
10123,10124,0,938,0.0
10124,10123,0,938,0.0
10124,10125,0,938,0.0
10125,10124,0,938,0.0
10125,10126,0,938,0.0
10126,10125,0,938,0.0
10126,10127,0,938,0.0
10127,10126,0,938,0.0
10127,10145,0,938,0.0
10145,10127,0,938,0.0
10145,10146,0,938,0.0
10146,10145,0,938,0.0
10146,10203,0,938,0.0
10203,10146,0,938,0.0
10203,10204,0,938,0.0
10204,10203,0,938,0.0
10204,10205,0,938,0.0
10205,10204,0,938,0.0
10205,10206,0,938,0.0
10206,10205,0,938,0.0
10206,10207,0,938,0.0
10207,10206,0,938,0.0
10207,10208,0,938,0.0
10208,10207,0,938,0.0
10208,10209,0,938,0.0
10209,10208,0,938,0.0
10209,10210,0,938,0.0
10210,10209,0,938,0.0
10210,10211,0,938,0.0
10211,10210,0,938,0.0
10211,10212,0,938,0.0
10212,10211,0,938,0.0
10212,10213,0,938,0.0
10213,10212,0,938,0.0
10213,10214,0,938,0.0
10214,10213,0,938,0.0
10214,10215,0,938,0.0
10215,10214,0,938,0.0
10215,10216,0,938,0.0
10216,10215,0,938,0.0
10216,10217,0,938,0.0
10217,10216,0,938,0.0
10217,10218,0,938,0.0
10218,10217,0,938,0.0
