source,target,mode,line_id,year
38724,38725,0,5000,2019.0
38725,38724,0,5000,2021.0
38725,38726,0,5000,2021.0
38726,38725,0,5000,2020.0
38726,38727,0,5000,2020.0
38727,38726,0,5000,2020.0
38727,38728,0,5000,2020.0
38728,38727,0,5000,2021.0
38728,38729,0,5000,2021.0
38729,38728,0,5000,2019.0
38729,38730,0,5000,2019.0
38730,38729,0,5000,2021.0
38730,38731,0,5000,2021.0
38731,38730,0,5000,2019.0
38731,38732,0,5000,2019.0
38732,38731,0,5000,2019.0
38732,38733,0,5000,2019.0
38733,38732,0,5000,2019.0
38733,38734,0,5000,2019.0
38734,38733,0,5000,2019.0
38734,38735,0,5000,2019.0
38735,38734,0,5000,2021.0
38735,38736,0,5000,2021.0
38736,38735,0,5000,2021.0
38736,38737,0,5000,2021.0
38737,38736,0,5000,2022.0
38737,38738,0,5000,2022.0
38738,38737,0,5000,2022.0
38738,38739,0,5000,2022.0
38739,38738,0,5000,2022.0
38739,38740,0,5000,2022.0
38740,38739,0,5000,2022.0
38740,38741,0,5000,2022.0
38741,38740,0,5000,2022.0
38724,38742,0,5001,2019.0
38742,38724,0,5001,2020.0
38742,38743,0,5001,2020.0
38743,38742,0,5001,2020.0
38743,38744,0,5001,2020.0
38744,38743,0,5001,2020.0
38744,38745,0,5001,2020.0
38745,38744,0,5001,2020.0
38745,38746,0,5001,2020.0
38746,38745,0,5001,2021.0
38746,38747,0,5001,2021.0
38747,38746,0,5001,2020.0
38747,38748,0,5001,2020.0
38748,38747,0,5001,2020.0
38748,38749,0,5001,2020.0
38749,38748,0,5001,2020.0
38749,38750,0,5001,2020.0
38750,38749,0,5001,2020.0
38750,38751,0,5001,2020.0
38751,38750,0,5001,2020.0
38751,38752,0,5001,2020.0
38752,38751,0,5001,2023.0
38752,38753,0,5001,2023.0
38753,38752,0,5001,2022.0
38753,38754,0,5001,2022.0
38754,38753,0,5001,2022.0
38754,38755,0,5001,2022.0
38755,38754,0,5001,2022.0
38755,38756,0,5001,2022.0
38756,38755,0,5001,2022.0
38756,38757,0,5001,2022.0
38757,38756,0,5001,2022.0
38757,38758,0,5001,2022.0
38758,38757,0,5001,2022.0
38758,38759,0,5001,2022.0
38759,38758,0,5001,2022.0
38759,38760,0,5001,2022.0
38760,38759,0,5001,2022.0
