source,target,mode,line_id,year
19848,19849,0,2131,1835.0
19849,19848,0,2131,1835.0
19849,19850,0,2131,1835.0
19850,19849,0,2131,1835.0
19850,19851,0,2131,1835.0
19851,19850,0,2131,1835.0
19851,19852,0,2131,1835.0
19852,19851,0,2131,1835.0
19852,19853,0,2131,1835.0
19853,19852,0,2131,1835.0
19853,19854,0,2131,1835.0
19854,19853,0,2131,1835.0
19854,19855,0,2131,1835.0
19855,19854,0,2131,1835.0
19855,19856,0,2131,1835.0
19856,19855,0,2131,1835.0
19856,19857,0,2131,1835.0
19857,19856,0,2131,1835.0
19857,19858,0,2131,1835.0
19858,19857,0,2131,1835.0
19858,19859,0,2131,1835.0
19859,19858,0,2131,1835.0
19859,19860,0,2131,1835.0
19860,19859,0,2131,1835.0
19860,19861,0,2131,1835.0
19861,19860,0,2131,1835.0
19861,19862,0,2131,1835.0
19862,19861,0,2131,1835.0
19862,19863,0,2131,1835.0
19863,19862,0,2131,1835.0
19863,19864,0,2131,1835.0
19864,19863,0,2131,1835.0
19864,19865,0,2131,1835.0
19865,19864,0,2131,1835.0
19865,19866,0,2131,1835.0
19866,19865,0,2131,1835.0
19866,19867,0,2131,1835.0
19867,19866,0,2131,1835.0
19867,19868,0,2131,1835.0
19868,19867,0,2131,1835.0
19868,19869,0,2131,1835.0
19869,19868,0,2131,1835.0
19869,19870,0,2131,1835.0
19870,19869,0,2131,1835.0
19870,19871,0,2131,1835.0
19871,19870,0,2131,1835.0
19871,19872,0,2131,1835.0
19872,19871,0,2131,1835.0
19872,19873,0,2131,1835.0
19873,19872,0,2131,1835.0
19873,19874,0,2131,1835.0
19874,19873,0,2131,1835.0
19874,19875,0,2131,1835.0
19875,19874,0,2131,1835.0
19875,19876,0,2131,1835.0
19876,19875,0,2131,1835.0
19876,19877,0,2131,1835.0
19877,19876,0,2131,1835.0
19877,19878,0,2131,1835.0
19878,19877,0,2131,1835.0
19878,19879,0,2131,1835.0
19879,19878,0,2131,1835.0
19879,19880,0,2131,1835.0
19880,19879,0,2131,1835.0
19880,19881,0,2131,1835.0
19881,19880,0,2131,1835.0
19881,19882,0,2131,1835.0
19882,19881,0,2131,1835.0
19882,19883,0,2131,1835.0
19883,19882,0,2131,1835.0
19883,19884,0,2131,1835.0
19884,19883,0,2131,1835.0
19884,19885,0,2131,1835.0
19885,19884,0,2131,1835.0
19885,19886,0,2131,1835.0
19886,19885,0,2131,1835.0
19886,19887,0,2131,1835.0
19887,19886,0,2131,1835.0
19887,19888,0,2131,1835.0
19888,19887,0,2131,1835.0
19888,19889,0,2131,1835.0
19889,19888,0,2131,1835.0
19889,19890,0,2131,1835.0
19890,19889,0,2131,1835.0
19890,19891,0,2131,1835.0
19891,19890,0,2131,1835.0
19891,19892,0,2131,1835.0
19892,19891,0,2131,1835.0
19892,19893,0,2131,1835.0
19893,19892,0,2131,1835.0
19893,19894,0,2131,1835.0
19894,19893,0,2131,1835.0
19894,19895,0,2131,1835.0
19895,19894,0,2131,1835.0
19895,19896,0,2131,1835.0
19896,19895,0,2131,1835.0
19896,19897,0,2131,1835.0
19897,19896,0,2131,1835.0
19897,19898,0,2131,1835.0
19898,19897,0,2131,1835.0
19898,19899,0,2131,1835.0
19899,19898,0,2131,1835.0
19899,19900,0,2131,1835.0
19900,19899,0,2131,1835.0
19900,19901,0,2131,1835.0
19901,19900,0,2131,1893.0
19901,19902,0,2131,1893.0
19902,19901,0,2131,1893.0
19902,19903,0,2131,1893.0
19903,19902,0,2131,1893.0
19903,19904,0,2131,1893.0
19904,19903,0,2131,1893.0
19904,19905,0,2131,1893.0
19905,19904,0,2131,1893.0
19905,19906,0,2131,1893.0
19906,19905,0,2131,1900.0
19906,19907,0,2131,1900.0
19907,19906,0,2131,1900.0
19907,19908,0,2131,1900.0
19908,19907,0,2131,1900.0
19908,19909,0,2131,1900.0
19909,19908,0,2131,1900.0
19909,19910,0,2131,1900.0
19910,19909,0,2131,1900.0
19910,34740,0,2131,1900.0
34740,19910,0,2131,1900.0
34740,34741,0,2131,1900.0
34741,34740,0,2131,1900.0
34741,34742,0,2131,1900.0
34742,34741,0,2131,1900.0
34742,34743,0,2131,1900.0
34743,34742,0,2131,1900.0
34743,34744,0,2131,1900.0
34744,34743,0,2131,1900.0
34744,34745,0,2131,1900.0
34745,34744,0,2131,2020.0
34745,34765,0,2131,2020.0
34765,34745,0,2131,2020.0
34765,34766,0,2131,2020.0
34766,34765,0,2131,2020.0
34766,34767,0,2131,2020.0
34767,34766,0,2131,2020.0
34767,34768,0,2131,2020.0
34768,34767,0,2131,2020.0
34768,34769,0,2131,2020.0
34769,34768,0,2131,2020.0
34769,34900,0,2131,2020.0
34900,34769,0,2131,2022.0
34900,34901,0,2131,2022.0
34901,34900,0,2131,2022.0
19992,34745,0,2133,2013.0
34745,19992,0,2133,2020.0
34745,34746,0,2133,2020.0
34746,34745,0,2133,2020.0
34746,34747,0,2133,2020.0
34747,34746,0,2133,2020.0
34747,34748,0,2133,2020.0
34748,34747,0,2133,2022.0
34748,34749,0,2133,2022.0
34749,34748,0,2133,2020.0
34749,34750,0,2133,2020.0
34750,34749,0,2133,2020.0
34750,34751,0,2133,2020.0
34751,34750,0,2133,2020.0
