source,target,mode,line_id,year
10886,10887,0,1003,2007.0
10887,10886,0,1003,2007.0
10887,10888,0,1003,2007.0
10888,10887,0,1003,2007.0
10888,10889,0,1003,2007.0
10889,10888,0,1003,2007.0
10889,10890,0,1003,2007.0
10890,10889,0,1003,2007.0
10890,10891,0,1003,2007.0
10891,10890,0,1003,2007.0
10891,10892,0,1003,2007.0
10892,10891,0,1003,2007.0
10892,10893,0,1003,2007.0
10893,10892,0,1003,2007.0
10893,10894,0,1003,2007.0
10894,10893,0,1003,2007.0
10894,10895,0,1003,2007.0
10895,10894,0,1003,2007.0
10895,10896,0,1003,2007.0
10896,10895,0,1003,2007.0
10896,10897,0,1003,2007.0
10897,10896,0,1003,2007.0
10897,10898,0,1003,2007.0
10898,10897,0,1003,2007.0
10898,10899,0,1003,2007.0
10899,10898,0,1003,2007.0
10899,10900,0,1003,2007.0
10900,10899,0,1003,2007.0
10900,10901,0,1003,2007.0
10901,10900,0,1003,2007.0
10901,10902,0,1003,2007.0
10902,10901,0,1003,2007.0
10902,10903,0,1003,2007.0
10903,10902,0,1003,2007.0
10903,12380,0,1003,2007.0
12380,10903,0,1003,2007.0
12380,12381,0,1003,2007.0
12381,12380,0,1003,2007.0
12381,12382,0,1003,2007.0
12382,12381,0,1003,2007.0
12382,12383,0,1003,2007.0
12383,12382,0,1003,2007.0
12383,12384,0,1003,2007.0
12384,12383,0,1003,2007.0
12384,12385,0,1003,2007.0
12385,12384,0,1003,2007.0
12385,12386,0,1003,2007.0
12386,12385,0,1003,2007.0
12386,12387,0,1003,2007.0
12387,12386,0,1003,2007.0
12387,12388,0,1003,2007.0
12388,12387,0,1003,2007.0
12388,12389,0,1003,2007.0
12389,12388,0,1003,2007.0
12389,12390,0,1003,2007.0
12390,12389,0,1003,2007.0
12390,12391,0,1003,2007.0
12391,12390,0,1003,2007.0
12391,12392,0,1003,2007.0
12392,12391,0,1003,2013.0
12392,12393,0,1003,2013.0
12393,12392,0,1003,2007.0
12393,12394,0,1003,2007.0
12394,12393,0,1003,2007.0
12394,12395,0,1003,2007.0
12395,12394,0,1003,2013.0
