source,target,mode,line_id,year
8421,8422,0,727,2001.0
8422,8421,0,727,2001.0
26529,26532,0,3220,2019.0
26532,26529,0,3220,2019.0
26532,32413,0,3220,2019.0
32413,26532,0,3220,2019.0
32413,32414,0,3220,2019.0
32414,32413,0,3220,2019.0
32414,32415,0,3220,2019.0
32415,32414,0,3220,2019.0
32415,32416,0,3220,2019.0
32416,32415,0,3220,2019.0
32416,32417,0,3220,2019.0
32417,32416,0,3220,2019.0
32417,32418,0,3220,2019.0
32418,32417,0,3220,2019.0
32418,32419,0,3220,2019.0
32419,32418,0,3220,2019.0
32419,32420,0,3220,2019.0
32420,32419,0,3220,2019.0
32420,32421,0,3220,2019.0
32421,32420,0,3220,2019.0
32421,32423,0,3220,2019.0
32423,32421,0,3220,2019.0
