source,target,mode,line_id,year
38262,38266,0,4938,1974.0
38266,38262,0,4938,1990.0
38266,38267,0,4938,1990.0
38267,38266,0,4938,2016.0
38267,38268,0,4938,2016.0
38268,38267,0,4938,1990.0
38268,38269,0,4938,1990.0
38269,38268,0,4938,2001.0
38269,38270,0,4938,2001.0
38270,38269,0,4938,2016.0
38270,38275,0,4938,2016.0
38275,38270,0,4938,2024.0
38275,38276,0,4938,2024.0
38276,38275,0,4938,1994.0
38276,38277,0,4938,1994.0
38277,38276,0,4938,1992.0
38277,38278,0,4938,1992.0
38278,38277,0,4938,2018.0
38278,38279,0,4938,2018.0
38279,38278,0,4938,1994.0
38279,38280,0,4938,1994.0
38280,38279,0,4938,2018.0
38280,38281,0,4938,2018.0
38281,38280,0,4938,2018.0
38281,38282,0,4938,2018.0
38282,38281,0,4938,2018.0
38282,38283,0,4938,2018.0
38283,38282,0,4938,2021.0
38283,38284,0,4938,2021.0
38284,38283,0,4938,2002.0
38284,38285,0,4938,2002.0
38285,38284,0,4938,2018.0
38285,38286,0,4938,2018.0
38286,38285,0,4938,2000.0
38286,38287,0,4938,2000.0
38287,38286,0,4938,2003.0
38287,38288,0,4938,2003.0
38288,38287,0,4938,2001.0
38288,38289,0,4938,2001.0
38289,38288,0,4938,
38289,38290,0,4938,
38290,38289,0,4938,
38262,38263,0,4939,1974.0
38263,38262,0,4939,1990.0
38263,38264,0,4939,1990.0
38264,38263,0,4939,1990.0
38264,38265,0,4939,1990.0
38265,38264,0,4939,1990.0
38265,38271,0,4939,1990.0
38271,38265,0,4939,
38271,38272,0,4939,
38272,38271,0,4939,
38272,38273,0,4939,
38273,38272,0,4939,
38273,38274,0,4939,
38274,38273,0,4939,
