source,target,mode,line_id,year
4301,4340,0,303,1979.0
4340,4301,0,303,1911.0
4340,4344,0,303,1911.0
4344,4340,0,303,1911.0
4344,4352,0,303,1911.0
4352,4344,0,303,1912.0
4352,4355,0,303,1912.0
4355,4352,0,303,1910.0
4355,4361,0,303,1910.0
4361,4355,0,303,1931.0
4361,4381,0,303,1931.0
4381,4361,0,303,1910.0
4381,4386,0,303,1910.0
4386,4381,0,303,1934.0
4386,4393,0,303,1934.0
4393,4386,0,303,1910.0
4393,4408,0,303,1910.0
4408,4393,0,303,1910.0
4408,4422,0,303,1910.0
4422,4408,0,303,1910.0
4422,4424,0,303,1910.0
4424,4422,0,303,1911.0
4424,4459,0,303,1911.0
4459,4424,0,303,1979.0
4459,4762,0,303,1979.0
4762,4459,0,303,1982.0
4762,4763,0,303,1982.0
4763,4762,0,303,1911.0
4763,4768,0,303,1911.0
4768,4763,0,303,1931.0
4768,4783,0,303,1931.0
4783,4768,0,303,1911.0
4783,4804,0,303,1911.0
4804,4783,0,303,1946.0
4804,4871,0,303,1946.0
4871,4804,0,303,1931.0
4871,4928,0,303,1931.0
4928,4871,0,303,1904.0
4928,4935,0,303,1904.0
4935,4928,0,303,1916.0
4935,5016,0,303,1916.0
5016,4935,0,303,2007.0
5016,5021,0,303,2007.0
5021,5016,0,303,1906.0
5021,5026,0,303,1906.0
5026,5021,0,303,1911.0
5026,5030,0,303,1911.0
5030,5026,0,303,1931.0
5030,5033,0,303,1931.0
5033,5030,0,303,1910.0
5033,5037,0,303,1910.0
5037,5033,0,303,1926.0
5037,5038,0,303,1926.0
5038,5037,0,303,1926.0
5038,5048,0,303,1926.0
5048,5038,0,303,1931.0
5048,5054,0,303,1931.0
5054,5048,0,303,1910.0
5054,5123,0,303,1910.0
5123,5054,0,303,1910.0
5123,5181,0,303,1910.0
5181,5123,0,303,1946.0
5181,5189,0,303,1946.0
5189,5181,0,303,1931.0
5189,5276,0,303,1931.0
5276,5189,0,303,1985.0
4295,4296,0,352,1900.0
4296,4295,0,352,1948.0
4296,4319,0,352,1948.0
4319,4296,0,352,1934.0
4319,4362,0,352,1934.0
4362,4319,0,352,1900.0
4362,4363,0,352,1900.0
4363,4362,0,352,1931.0
4363,4380,0,352,1931.0
4380,4363,0,352,1934.0
4380,4383,0,352,1934.0
4383,4380,0,352,1900.0
4383,4463,0,352,1900.0
4463,4383,0,352,1942.0
4463,4465,0,352,1942.0
4465,4463,0,352,1946.0
4465,4771,0,352,1946.0
4771,4465,0,352,1937.0
4771,4796,0,352,1937.0
4796,4771,0,352,1900.0
4796,4934,0,352,1900.0
4934,4796,0,352,1900.0
4934,5153,0,352,1900.0
5153,4934,0,352,1934.0
5153,5154,0,352,1934.0
5154,5153,0,352,1937.0
5154,5155,0,352,1937.0
5155,5154,0,352,2002.0
5155,5158,0,352,2002.0
5158,5155,0,352,1900.0
