source,target,mode,line_id,year
23878,23879,0,2970,1907.0
23879,23878,0,2970,1907.0
23879,23880,0,2970,1907.0
23880,23879,0,2970,1907.0
23880,23881,0,2970,1907.0
23881,23880,0,2970,1907.0
23881,23882,0,2970,1907.0
23882,23881,0,2970,1907.0
23882,23883,0,2970,1907.0
23883,23882,0,2970,1907.0
23883,23884,0,2970,1907.0
23884,23883,0,2970,1907.0
23884,23885,0,2970,1907.0
23885,23884,0,2970,1907.0
23885,23886,0,2970,1907.0
23886,23885,0,2970,1907.0
23886,23887,0,2970,1907.0
23887,23886,0,2970,1907.0
23887,23888,0,2970,1907.0
23888,23887,0,2970,1907.0
23888,23889,0,2970,1907.0
23889,23888,0,2970,1908.0
23889,27759,0,2970,1908.0
27759,23889,0,2970,1908.0
27759,28077,0,2970,1908.0
28077,27759,0,2970,1922.0
28077,28139,0,2970,1922.0
28139,28077,0,2970,1908.0
28139,28140,0,2970,1908.0
28140,28139,0,2970,1908.0
28140,28141,0,2970,1908.0
28141,28140,0,2970,1908.0
28141,28142,0,2970,1908.0
28142,28141,0,2970,1977.0
28142,28143,0,2970,1977.0
28143,28142,0,2970,1922.0
28143,28144,0,2970,1922.0
28144,28143,0,2970,1922.0
28144,28145,0,2970,1922.0
28145,28144,0,2970,1922.0
28145,28146,0,2970,1922.0
28146,28145,0,2970,1922.0
28146,28147,0,2970,1922.0
28147,28146,0,2970,1922.0
28147,28148,0,2970,1922.0
28148,28147,0,2970,1922.0
28148,28149,0,2970,1922.0
28149,28148,0,2970,1922.0
28149,28150,0,2970,1922.0
28150,28149,0,2970,1922.0
28150,28151,0,2970,1922.0
28151,28150,0,2970,1922.0
28151,28152,0,2970,1922.0
28152,28151,0,2970,1922.0
28152,28153,0,2970,1922.0
28153,28152,0,2970,1922.0
28067,28099,0,2971,1928.0
28099,28067,0,2971,1928.0
28099,28100,0,2971,1928.0
28100,28099,0,2971,1928.0
28100,28101,0,2971,1928.0
28101,28100,0,2971,1928.0
28101,28102,0,2971,1928.0
28102,28101,0,2971,1928.0
28102,28103,0,2971,1928.0
28103,28102,0,2971,1928.0
28103,28104,0,2971,1928.0
28104,28103,0,2971,1928.0
28104,28105,0,2971,1928.0
28105,28104,0,2971,1928.0
28105,28106,0,2971,1928.0
28106,28105,0,2971,1928.0
28106,28107,0,2971,1928.0
28107,28106,0,2971,1928.0
28107,28108,0,2971,1928.0
28108,28107,0,2971,1928.0
28108,28109,0,2971,1928.0
28109,28108,0,2971,1928.0
28109,28110,0,2971,1928.0
28110,28109,0,2971,1928.0
28110,28111,0,2971,1928.0
28111,28110,0,2971,1928.0
28111,28112,0,2971,1928.0
28112,28111,0,2971,1956.0
28112,28113,0,2971,1956.0
28113,28112,0,2971,1930.0
28113,28114,0,2971,1930.0
28114,28113,0,2971,1932.0
28114,28115,0,2971,1932.0
28115,28114,0,2971,1938.0
28115,28116,0,2971,1938.0
28116,28115,0,2971,1938.0
28116,28117,0,2971,1938.0
28117,28116,0,2971,1938.0
28117,28118,0,2971,1938.0
28118,28117,0,2971,1973.0
28118,28119,0,2971,1973.0
28119,28118,0,2971,1973.0
27759,28067,0,2972,1908.0
28067,27759,0,2972,1928.0
28067,28102,0,2972,1928.0
28102,28067,0,2972,1928.0
28102,28105,0,2972,1928.0
28105,28102,0,2972,1928.0
28105,28107,0,2972,1928.0
28107,28105,0,2972,1928.0
28107,28111,0,2972,1928.0
28111,28107,0,2972,1928.0
28111,28112,0,2972,1928.0
28112,28111,0,2972,1956.0
28112,28136,0,2972,1956.0
28136,28112,0,2972,1932.0
28136,28137,0,2972,1932.0
28137,28136,0,2972,1932.0
23967,23968,0,2973,1930.0
23968,23967,0,2973,1933.0
23968,23975,0,2973,1933.0
23975,23968,0,2973,1911.0
23975,23976,0,2973,1911.0
23976,23975,0,2973,1984.0
23976,23977,0,2973,1984.0
23977,23976,0,2973,1983.0
23977,24007,0,2973,1983.0
24007,23977,0,2973,1886.0
24007,24008,0,2973,1886.0
24008,24007,0,2973,1928.0
24008,24009,0,2973,1928.0
24009,24008,0,2973,1928.0
24009,24010,0,2973,1928.0
24010,24009,0,2973,1880.0
24010,24011,0,2973,1880.0
24011,24010,0,2973,1928.0
24011,24012,0,2973,1928.0
24012,24011,0,2973,1880.0
24012,24013,0,2973,1880.0
24013,24012,0,2973,1928.0
24013,24014,0,2973,1928.0
24014,24013,0,2973,1880.0
24014,24015,0,2973,1880.0
24015,24014,0,2973,1867.0
24015,24016,0,2973,1867.0
24016,24015,0,2973,1880.0
24016,24017,0,2973,1880.0
24017,24016,0,2973,1890.0
24017,24018,0,2973,1890.0
24018,24017,0,2973,1870.0
24018,24019,0,2973,1870.0
24019,24018,0,2973,1928.0
24019,24020,0,2973,1928.0
24020,24019,0,2973,1928.0
24020,24021,0,2973,1928.0
24021,24020,0,2973,1928.0
24021,24022,0,2973,1928.0
24022,24021,0,2973,2021.0
23967,23968,0,2974,1930.0
23968,23967,0,2974,1933.0
23968,23975,0,2974,1933.0
23975,23968,0,2974,1911.0
23975,23976,0,2974,1911.0
23976,23975,0,2974,1984.0
23976,23977,0,2974,1984.0
23977,23976,0,2974,1983.0
23977,23978,0,2974,1983.0
23978,23977,0,2974,1985.0
