source,target,mode,line_id,year
28360,28361,0,3498,2008.0
28361,28360,0,3498,2008.0
28361,28362,0,3498,2008.0
28362,28361,0,3498,2008.0
28362,28363,0,3498,2008.0
28363,28362,0,3498,2019.0
28363,28364,0,3498,2019.0
28364,28363,0,3498,2008.0
28364,28365,0,3498,2008.0
28365,28364,0,3498,2008.0
28365,28366,0,3498,2008.0
28366,28365,0,3498,2008.0
28366,28367,0,3498,2008.0
28367,28366,0,3498,2008.0
28367,28368,0,3498,2008.0
28368,28367,0,3498,2008.0
28368,28369,0,3498,2008.0
28369,28368,0,3498,2008.0
28369,28370,0,3498,2008.0
28370,28369,0,3498,2008.0
28370,28371,0,3498,2008.0
28371,28370,0,3498,2008.0
28371,28372,0,3498,2008.0
28372,28371,0,3498,2015.0
28372,28373,0,3498,2015.0
28373,28372,0,3498,2015.0
28373,28374,0,3498,2015.0
28374,28373,0,3498,2015.0
28374,28375,0,3498,2015.0
28375,28374,0,3498,2015.0
28375,28376,0,3498,2015.0
28376,28375,0,3498,2019.0
28376,28377,0,3498,2019.0
28377,28376,0,3498,2019.0
28377,28390,0,3498,2019.0
28390,28377,0,3498,2008.0
28390,28391,0,3498,2008.0
28391,28390,0,3498,2008.0
28391,28392,0,3498,2008.0
28392,28391,0,3498,2008.0
28392,28393,0,3498,2008.0
28393,28392,0,3498,2008.0
28393,28394,0,3498,2008.0
28394,28393,0,3498,2008.0
28394,28395,0,3498,2008.0
28395,28394,0,3498,2008.0
28395,28396,0,3498,2008.0
28396,28395,0,3498,2008.0
28396,28397,0,3498,2008.0
28397,28396,0,3498,2008.0
28397,28398,0,3498,2008.0
28398,28397,0,3498,2008.0
28398,28399,0,3498,2008.0
28399,28398,0,3498,2008.0
28399,28400,0,3498,2008.0
28400,28399,0,3498,2008.0
28400,28401,0,3498,2008.0
28401,28400,0,3498,2008.0
28401,28402,0,3498,2008.0
28402,28401,0,3498,2008.0
28402,28403,0,3498,2008.0
28403,28402,0,3498,2008.0
28403,28404,0,3498,2008.0
28404,28403,0,3498,2008.0
28404,28405,0,3498,2008.0
28405,28404,0,3498,2008.0
28405,28406,0,3498,2008.0
28406,28405,0,3498,2008.0
28406,28407,0,3498,2008.0
28407,28406,0,3498,2008.0
28407,28408,0,3498,2008.0
28408,28407,0,3498,2008.0
28408,28409,0,3498,2008.0
28409,28408,0,3498,2008.0
28409,28410,0,3498,2008.0
28410,28409,0,3498,2008.0
28410,28411,0,3498,2008.0
28411,28410,0,3498,2008.0
28411,28412,0,3498,2008.0
28412,28411,0,3498,2016.0
28412,28413,0,3498,2016.0
28413,28412,0,3498,2016.0
28413,28414,0,3498,2016.0
28414,28413,0,3498,2016.0
28414,28415,0,3498,2016.0
28415,28414,0,3498,2024.0
28415,28416,0,3498,2024.0
28416,28415,0,3498,2024.0
28416,28417,0,3498,2024.0
28417,28416,0,3498,2024.0
