source,target,mode,line_id,year
22404,22405,0,2469,2001.0
22405,22404,0,2469,1985.0
22405,22406,0,2469,1985.0
22406,22405,0,2469,1904.0
22404,22405,0,2470,2001.0
22405,22404,0,2470,1985.0
22405,22406,0,2470,1985.0
22406,22405,0,2470,1904.0
22404,22405,0,2471,2001.0
22405,22404,0,2471,1985.0
22405,22406,0,2471,1985.0
22406,22405,0,2471,1904.0
22405,22406,0,2634,1985.0
22406,22405,0,2634,1904.0
22404,22406,0,2637,2001.0
22406,22404,0,2637,1904.0
22406,22779,0,2637,1904.0
22779,22406,0,2637,1984.0
22779,22780,0,2637,1984.0
22780,22779,0,2637,1984.0
22780,22781,0,2637,1984.0
22781,22780,0,2637,1984.0
22781,22782,0,2637,1984.0
22782,22781,0,2637,1984.0
22782,22783,0,2637,1984.0
22783,22782,0,2637,1984.0
22783,22784,0,2637,1984.0
22784,22783,0,2637,1984.0
22784,22785,0,2637,1984.0
22785,22784,0,2637,1984.0
22785,22786,0,2637,1984.0
22786,22785,0,2637,1984.0
22786,22787,0,2637,1984.0
22787,22786,0,2637,1984.0
22787,22788,0,2637,1984.0
22788,22787,0,2637,1984.0
22789,22790,0,2638,1890.0
22790,22789,0,2638,1890.0
22791,22792,0,2639,1872.0
22792,22791,0,2639,1872.0
22793,22794,0,2640,1884.0
22794,22793,0,2640,1884.0
22795,22796,0,2641,1890.0
22796,22795,0,2641,1890.0
22803,22804,0,2642,1888.0
22804,22803,0,2642,1888.0
22805,22806,0,2643,1888.0
22806,22805,0,2643,1888.0
22807,22808,0,2644,1892.0
22808,22807,0,2644,1892.0
22809,22810,0,2645,1889.0
22810,22809,0,2645,1889.0
22813,22814,0,2647,1887.0
22814,22813,0,2647,1887.0
23248,23249,0,2805,1903.0
23249,23248,0,2805,1903.0
23249,23250,0,2805,1903.0
23250,23249,0,2805,1903.0
23250,23252,0,2805,1903.0
23252,23250,0,2805,1903.0
23252,23253,0,2805,1903.0
23253,23252,0,2805,1903.0
23253,23254,0,2805,1903.0
23254,23253,0,2805,1903.0
23254,23255,0,2805,1903.0
23255,23254,0,2805,1903.0
23255,23256,0,2805,1903.0
23256,23255,0,2805,1903.0
23256,23257,0,2805,1903.0
23257,23256,0,2805,1903.0
23257,23258,0,2805,1903.0
23258,23257,0,2805,1903.0
23258,23259,0,2805,1903.0
23259,23258,0,2805,1903.0
23259,23260,0,2805,1903.0
23260,23259,0,2805,1903.0
23260,23261,0,2805,1903.0
23261,23260,0,2805,1903.0
23261,23262,0,2805,1903.0
23262,23261,0,2805,1903.0
23262,23263,0,2805,1903.0
23263,23262,0,2805,1903.0
23263,23264,0,2805,1903.0
23264,23263,0,2805,1903.0
23264,23265,0,2805,1903.0
23265,23264,0,2805,1903.0
23265,23266,0,2805,1903.0
23266,23265,0,2805,1903.0
23266,23267,0,2805,1903.0
23267,23266,0,2805,1903.0
23267,23268,0,2805,1903.0
23268,23267,0,2805,1903.0
23268,23269,0,2805,1903.0
23269,23268,0,2805,1903.0
23269,23270,0,2805,1903.0
23270,23269,0,2805,1900.0
23270,23271,0,2805,1900.0
23271,23270,0,2805,1900.0
23271,23273,0,2805,1900.0
23273,23271,0,2805,1900.0
23273,23274,0,2805,1900.0
23274,23273,0,2805,1900.0
23274,23275,0,2805,1900.0
23275,23274,0,2805,1900.0
23275,23276,0,2805,1900.0
23276,23275,0,2805,1900.0
23276,23277,0,2805,1900.0
23277,23276,0,2805,1900.0
23277,23278,0,2805,1900.0
23278,23277,0,2805,1900.0
23278,23279,0,2805,1900.0
23279,23278,0,2805,1900.0
23279,23280,0,2805,1900.0
23280,23279,0,2805,1900.0
23280,23281,0,2805,1900.0
23281,23280,0,2805,1900.0
23281,23282,0,2805,1900.0
23282,23281,0,2805,1900.0
23282,23283,0,2805,1900.0
23283,23282,0,2805,1900.0
23283,23284,0,2805,1900.0
23284,23283,0,2805,1901.0
23284,23285,0,2805,1901.0
23285,23284,0,2805,1901.0
23285,23287,0,2805,1901.0
23287,23285,0,2805,1901.0
23287,23288,0,2805,1901.0
23288,23287,0,2805,1901.0
23288,23289,0,2805,1901.0
23289,23288,0,2805,1901.0
23289,23290,0,2805,1901.0
23290,23289,0,2805,1901.0
23290,23336,0,2805,1901.0
23336,23290,0,2805,1902.0
23336,23337,0,2805,1902.0
23337,23336,0,2805,1902.0
23337,23338,0,2805,1902.0
23338,23337,0,2805,1902.0
23338,23339,0,2805,1902.0
23339,23338,0,2805,1902.0
23339,23340,0,2805,1902.0
23340,23339,0,2805,1902.0
23340,23341,0,2805,1902.0
23341,23340,0,2805,1902.0
23341,23342,0,2805,1902.0
23342,23341,0,2805,1902.0
23342,23343,0,2805,1902.0
23343,23342,0,2805,1902.0
23343,23344,0,2805,1902.0
23344,23343,0,2805,1902.0
23344,23345,0,2805,1902.0
23345,23344,0,2805,1902.0
23345,23346,0,2805,1902.0
23346,23345,0,2805,1902.0
23346,23347,0,2805,1902.0
23347,23346,0,2805,1902.0
23347,23348,0,2805,1902.0
23348,23347,0,2805,1902.0
23348,23349,0,2805,1902.0
23349,23348,0,2805,1902.0
23349,23350,0,2805,1902.0
23350,23349,0,2805,1902.0
23350,23351,0,2805,1902.0
23351,23350,0,2805,1902.0
23351,23352,0,2805,1902.0
23352,23351,0,2805,1902.0
23352,23353,0,2805,1902.0
23353,23352,0,2805,1902.0
23353,23354,0,2805,1902.0
23354,23353,0,2805,1902.0
23354,23355,0,2805,1902.0
23355,23354,0,2805,1902.0
23355,23356,0,2805,1902.0
23356,23355,0,2805,1902.0
23356,23357,0,2805,1902.0
23357,23356,0,2805,1902.0
23357,23358,0,2805,1902.0
23358,23357,0,2805,1902.0
23358,23359,0,2805,1902.0
23359,23358,0,2805,1910.0
23359,23360,0,2805,1910.0
23360,23359,0,2805,1910.0
23360,23361,0,2805,1910.0
23361,23360,0,2805,1910.0
23361,23362,0,2805,1910.0
23362,23361,0,2805,1910.0
23362,23363,0,2805,1910.0
23363,23362,0,2805,1910.0
23363,23364,0,2805,1910.0
23364,23363,0,2805,1910.0
23364,23365,0,2805,1910.0
23365,23364,0,2805,1910.0
23365,23366,0,2805,1910.0
23366,23365,0,2805,1910.0
23366,23367,0,2805,1910.0
23367,23366,0,2805,1910.0
23367,23368,0,2805,1910.0
23368,23367,0,2805,1910.0
23368,23369,0,2805,1910.0
23369,23368,0,2805,1911.0
23369,23370,0,2805,1911.0
23370,23369,0,2805,1911.0
23370,23371,0,2805,1911.0
23371,23370,0,2805,1911.0
23371,23372,0,2805,1911.0
23372,23371,0,2805,1911.0
23372,23373,0,2805,1911.0
23373,23372,0,2805,1906.0
23373,23374,0,2805,1906.0
23374,23373,0,2805,1906.0
23374,23375,0,2805,1906.0
23375,23374,0,2805,1906.0
23375,23376,0,2805,1906.0
23376,23375,0,2805,1906.0
23376,23377,0,2805,1906.0
23377,23376,0,2805,1906.0
23377,23378,0,2805,1906.0
23378,23377,0,2805,1906.0
23378,23379,0,2805,1906.0
23379,23378,0,2805,1906.0
23379,23380,0,2805,1906.0
23380,23379,0,2805,1906.0
23380,23381,0,2805,1906.0
23381,23380,0,2805,1906.0
23381,23382,0,2805,1906.0
23382,23381,0,2805,1906.0
23382,23383,0,2805,1906.0
23383,23382,0,2805,1906.0
23383,23384,0,2805,1906.0
23384,23383,0,2805,1906.0
23269,23270,0,2807,1903.0
23270,23269,0,2807,1900.0
23270,23271,0,2807,1900.0
23271,23270,0,2807,1900.0
23271,23273,0,2807,1900.0
23273,23271,0,2807,1900.0
23273,23274,0,2807,1900.0
23274,23273,0,2807,1900.0
23274,23275,0,2807,1900.0
23275,23274,0,2807,1900.0
23275,23276,0,2807,1900.0
23276,23275,0,2807,1900.0
23276,23277,0,2807,1900.0
23277,23276,0,2807,1900.0
23277,23278,0,2807,1900.0
23278,23277,0,2807,1900.0
23278,23279,0,2807,1900.0
23279,23278,0,2807,1900.0
23279,23280,0,2807,1900.0
23280,23279,0,2807,1900.0
23280,23281,0,2807,1900.0
23281,23280,0,2807,1900.0
23281,23282,0,2807,1900.0
23282,23281,0,2807,1900.0
23282,23283,0,2807,1900.0
23283,23282,0,2807,1900.0
23283,23284,0,2807,1900.0
23284,23283,0,2807,1901.0
23284,23285,0,2807,1901.0
23285,23284,0,2807,1901.0
