source,target,mode,line_id,year
18108,18109,0,2095,1986.0
18109,18108,0,2095,1986.0
18109,18110,0,2095,1986.0
18110,18109,0,2095,1986.0
18110,18111,0,2095,1986.0
18111,18110,0,2095,1986.0
18111,18112,0,2095,1986.0
18112,18111,0,2095,1990.0
18112,18113,0,2095,1990.0
18113,18112,0,2095,1990.0
18113,18114,0,2095,1990.0
18114,18113,0,2095,1986.0
18114,18115,0,2095,1986.0
18115,18114,0,2095,1986.0
18115,18116,0,2095,1986.0
18116,18115,0,2095,1986.0
18116,18117,0,2095,1986.0
18117,18116,0,2095,1986.0
18117,18118,0,2095,1986.0
18118,18117,0,2095,1986.0
18118,18119,0,2095,1986.0
18119,18118,0,2095,1986.0
18119,18120,0,2095,1986.0
18120,18119,0,2095,1990.0
18120,18121,0,2095,1990.0
18121,18120,0,2095,1986.0
18121,18122,0,2095,1986.0
18122,18121,0,2095,1986.0
18122,18123,0,2095,1986.0
18123,18122,0,2095,1986.0
18123,18124,0,2095,1986.0
18124,18123,0,2095,1986.0
18124,18125,0,2095,1986.0
18125,18124,0,2095,1986.0
18125,18133,0,2095,1986.0
18133,18125,0,2095,1986.0
18133,18134,0,2095,1986.0
18134,18133,0,2095,1986.0
18134,18135,0,2095,1986.0
18135,18134,0,2095,1986.0
18135,18136,0,2095,1986.0
18136,18135,0,2095,1986.0
18136,18137,0,2095,1986.0
18137,18136,0,2095,1986.0
18137,18138,0,2095,1986.0
18138,18137,0,2095,1986.0
18138,18139,0,2095,1986.0
18139,18138,0,2095,1986.0
18139,18140,0,2095,1986.0
18140,18139,0,2095,1986.0
18140,18141,0,2095,1986.0
18141,18140,0,2095,1986.0
18141,18142,0,2095,1986.0
18142,18141,0,2095,2010.0
18142,18143,0,2095,2010.0
18143,18142,0,2095,1986.0
18143,18144,0,2095,1986.0
18144,18143,0,2095,1986.0
18144,18145,0,2095,1986.0
18145,18144,0,2095,1986.0
18108,18109,0,2097,1986.0
18109,18108,0,2097,1986.0
18109,18110,0,2097,1986.0
18110,18109,0,2097,1986.0
18110,18111,0,2097,1986.0
18111,18110,0,2097,1986.0
18111,18112,0,2097,1986.0
18112,18111,0,2097,1990.0
18112,18113,0,2097,1990.0
18113,18112,0,2097,1990.0
18113,18114,0,2097,1990.0
18114,18113,0,2097,1986.0
18114,18115,0,2097,1986.0
18115,18114,0,2097,1986.0
18115,18116,0,2097,1986.0
18116,18115,0,2097,1986.0
18116,18117,0,2097,1986.0
18117,18116,0,2097,1986.0
18117,18118,0,2097,1986.0
18118,18117,0,2097,1986.0
18118,18119,0,2097,1986.0
18119,18118,0,2097,1986.0
18119,18120,0,2097,1986.0
18120,18119,0,2097,1990.0
18120,18121,0,2097,1990.0
18121,18120,0,2097,1986.0
18121,18122,0,2097,1986.0
18122,18121,0,2097,1986.0
18122,18123,0,2097,1986.0
18123,18122,0,2097,1986.0
18123,18124,0,2097,1986.0
18124,18123,0,2097,1986.0
18124,18125,0,2097,1986.0
18125,18124,0,2097,1986.0
18125,18133,0,2097,1986.0
18133,18125,0,2097,1986.0
18598,18599,0,2098,2009.0
18599,18598,0,2098,2009.0
18599,18601,0,2098,2009.0
18601,18599,0,2098,2009.0
18601,18603,0,2098,2009.0
18603,18601,0,2098,2009.0
18603,18606,0,2098,2009.0
18606,18603,0,2098,2009.0
18606,18608,0,2098,2009.0
18608,18606,0,2098,2009.0
18608,18610,0,2098,2009.0
18610,18608,0,2098,2009.0
18597,18598,0,2099,2009.0
18598,18597,0,2099,2009.0
18598,18599,0,2099,2009.0
18599,18598,0,2099,2009.0
18599,18600,0,2099,2009.0
18600,18599,0,2099,2009.0
18600,18601,0,2099,2009.0
18601,18600,0,2099,2009.0
18601,18602,0,2099,2009.0
18602,18601,0,2099,2009.0
18602,18603,0,2099,2009.0
18603,18602,0,2099,2009.0
18603,18604,0,2099,2009.0
18604,18603,0,2099,2009.0
18604,18605,0,2099,2009.0
18605,18604,0,2099,2009.0
18605,18606,0,2099,2009.0
18606,18605,0,2099,2009.0
18606,18607,0,2099,2009.0
18607,18606,0,2099,2009.0
18607,18608,0,2099,2009.0
18608,18607,0,2099,2009.0
18608,18609,0,2099,2009.0
18609,18608,0,2099,2009.0
18609,18610,0,2099,2009.0
18610,18609,0,2099,2009.0
18200,18201,0,2100,2015.0
18201,18200,0,2100,2015.0
18201,18202,0,2100,2015.0
18202,18201,0,2100,2015.0
18202,18203,0,2100,2015.0
18203,18202,0,2100,2015.0
18203,18204,0,2100,2015.0
18204,18203,0,2100,2015.0
18204,18205,0,2100,2015.0
18205,18204,0,2100,2015.0
18205,18206,0,2100,2015.0
18206,18205,0,2100,2015.0
18206,18207,0,2100,2015.0
18207,18206,0,2100,2015.0
18207,18208,0,2100,2015.0
18208,18207,0,2100,2015.0
18208,18209,0,2100,2015.0
18209,18208,0,2100,2015.0
18209,18597,0,2100,2015.0
18597,18209,0,2100,2009.0
18597,18600,0,2100,2009.0
18600,18597,0,2100,2009.0
18600,18602,0,2100,2009.0
18602,18600,0,2100,2009.0
18602,18604,0,2100,2009.0
18604,18602,0,2100,2009.0
18604,18605,0,2100,2009.0
18605,18604,0,2100,2009.0
18605,18607,0,2100,2009.0
18607,18605,0,2100,2009.0
18607,18609,0,2100,2009.0
18609,18607,0,2100,2009.0
18232,18233,0,2101,2009.0
18233,18232,0,2101,2009.0
18233,18234,0,2101,2009.0
18234,18233,0,2101,2009.0
18234,18235,0,2101,2009.0
18235,18234,0,2101,2009.0
18198,18199,0,2102,2007.0
18199,18198,0,2102,2007.0
18503,18504,0,2103,2007.0
18504,18503,0,2103,2007.0
18504,18505,0,2103,2007.0
18505,18504,0,2103,2007.0
18505,18506,0,2103,2007.0
18506,18505,0,2103,2006.0
18506,18507,0,2103,2006.0
18507,18506,0,2103,2007.0
18507,18508,0,2103,2007.0
18508,18507,0,2103,2006.0
18508,18509,0,2103,2006.0
18509,18508,0,2103,2005.0
18509,18510,0,2103,2005.0
18510,18509,0,2103,2005.0
18510,18511,0,2103,2005.0
18511,18510,0,2103,2005.0
18511,18512,0,2103,2005.0
18512,18511,0,2103,2001.0
18512,18513,0,2103,2001.0
18513,18512,0,2103,2001.0
18513,18514,0,2103,2001.0
18514,18513,0,2103,2001.0
18514,18515,0,2103,2001.0
18515,18514,0,2103,2001.0
18515,18516,0,2103,2001.0
18516,18515,0,2103,2001.0
18516,18517,0,2103,2001.0
18517,18516,0,2103,2001.0
18517,18518,0,2103,2001.0
18518,18517,0,2103,2001.0
18518,18519,0,2103,2001.0
18519,18518,0,2103,2001.0
18519,18520,0,2103,2001.0
18520,18519,0,2103,2001.0
18520,18521,0,2103,2001.0
18521,18520,0,2103,2001.0
18521,18522,0,2103,2001.0
18522,18521,0,2103,2001.0
18522,18523,0,2103,2001.0
18523,18522,0,2103,2001.0
18523,18524,0,2103,2001.0
18524,18523,0,2103,2001.0
18524,18525,0,2103,2001.0
18525,18524,0,2103,2001.0
18525,18526,0,2103,2001.0
18526,18525,0,2103,2001.0
18526,18527,0,2103,2001.0
18527,18526,0,2103,2001.0
18527,18528,0,2103,2001.0
18528,18527,0,2103,2001.0
18528,18529,0,2103,2001.0
18529,18528,0,2103,2001.0
18529,18530,0,2103,2001.0
18530,18529,0,2103,2001.0
18530,18531,0,2103,2001.0
18531,18530,0,2103,2001.0
18531,18534,0,2103,2001.0
18534,18531,0,2103,2001.0
18534,18535,0,2103,2001.0
18535,18534,0,2103,2001.0
18535,18536,0,2103,2001.0
18536,18535,0,2103,2001.0
18536,18537,0,2103,2001.0
18537,18536,0,2103,2001.0
18537,18538,0,2103,2001.0
18538,18537,0,2103,2001.0
18538,18539,0,2103,2001.0
18539,18538,0,2103,2001.0
