source,target,mode,line_id,year
35470,35471,0,4454,2011.0
35471,35470,0,4454,2008.0
35471,35472,0,4454,2008.0
35472,35471,0,4454,
35472,35473,0,4454,
35473,35472,0,4454,
35473,35474,0,4454,
35474,35473,0,4454,
35474,35475,0,4454,
35475,35474,0,4454,
35475,35476,0,4454,
35476,35475,0,4454,
35476,35477,0,4454,
35477,35476,0,4454,
35477,35478,0,4454,
35478,35477,0,4454,
35478,35479,0,4454,
35479,35478,0,4454,
35479,35480,0,4454,
35480,35479,0,4454,
35480,35481,0,4454,
35481,35480,0,4454,
35481,35482,0,4454,
35482,35481,0,4454,
35482,35483,0,4454,
35483,35482,0,4454,
35483,35484,0,4454,
35484,35483,0,4454,
35484,35485,0,4454,
35485,35484,0,4454,
35478,35496,0,4455,
35496,35478,0,4455,
35496,35497,0,4455,
35497,35496,0,4455,
35497,35498,0,4455,
35498,35497,0,4455,
35498,35499,0,4455,
35499,35498,0,4455,
35499,35500,0,4455,
35500,35499,0,4455,
35500,35501,0,4455,
35501,35500,0,4455,
35501,35502,0,4455,
35502,35501,0,4455,
35502,35503,0,4455,
35503,35502,0,4455,
35503,35504,0,4455,
35504,35503,0,4455,
35504,35505,0,4455,
35505,35504,0,4455,
35505,35506,0,4455,
35506,35505,0,4455,
35506,35507,0,4455,
35507,35506,0,4455,
35507,35508,0,4455,
35508,35507,0,4455,
35508,35521,0,4455,
35521,35508,0,4455,
35521,35522,0,4455,
35522,35521,0,4455,
35522,35523,0,4455,
35523,35522,0,4455,
35523,35524,0,4455,
35524,35523,0,4455,
35524,35525,0,4455,
35525,35524,0,4455,
35525,35526,0,4455,
35526,35525,0,4455,
35526,35527,0,4455,
35527,35526,0,4455,
35527,35528,0,4455,
35528,35527,0,4455,
35528,35529,0,4455,
35529,35528,0,4455,
35478,35496,0,4456,
35496,35478,0,4456,
35496,35497,0,4456,
35497,35496,0,4456,
35497,35498,0,4456,
35498,35497,0,4456,
35498,35499,0,4456,
35499,35498,0,4456,
35499,35500,0,4456,
35500,35499,0,4456,
35500,35501,0,4456,
35501,35500,0,4456,
35501,35502,0,4456,
35502,35501,0,4456,
35502,35503,0,4456,
35503,35502,0,4456,
35503,35504,0,4456,
35504,35503,0,4456,
35504,35505,0,4456,
35505,35504,0,4456,
35505,35506,0,4456,
35506,35505,0,4456,
35506,35507,0,4456,
35507,35506,0,4456,
35507,35508,0,4456,
35508,35507,0,4456,
35508,35510,0,4456,
35510,35508,0,4456,
35510,35530,0,4456,
35530,35510,0,4456,
35530,35531,0,4456,
35531,35530,0,4456,
35531,35532,0,4456,
35532,35531,0,4456,
35532,35533,0,4456,
35533,35532,0,4456,
35533,35536,0,4456,
35536,35533,0,4456,
35536,35537,0,4456,
35537,35536,0,4456,
35537,35538,0,4456,
35538,35537,0,4456,
35538,35539,0,4456,
35539,35538,0,4456,
35539,35540,0,4456,
35540,35539,0,4456,
35540,35541,0,4456,
35541,35540,0,4456,
35541,35542,0,4456,
35542,35541,0,4456,
35542,35543,0,4456,
35543,35542,0,4456,
35543,35544,0,4456,
35544,35543,0,4456,
35544,35545,0,4456,
35545,35544,0,4456,
35545,35546,0,4456,
35546,35545,0,4456,
35546,35547,0,4456,
35547,35546,0,4456,
35547,35548,0,4456,
35548,35547,0,4456,
35548,35549,0,4456,
35549,35548,0,4456,
35549,35550,0,4456,
35550,35549,0,4456,
35550,35551,0,4456,
35551,35550,0,4456,
35551,35552,0,4456,
35552,35551,0,4456,
35478,35497,0,4457,
35497,35478,0,4457,
35497,35498,0,4457,
35498,35497,0,4457,
35498,35499,0,4457,
35499,35498,0,4457,
35499,35500,0,4457,
35500,35499,0,4457,
35500,35501,0,4457,
