source,target,mode,line_id,year
40540,40555,0,5660,1879.0
40555,40540,0,5660,1926.0
40555,40557,0,5660,1926.0
40557,40555,0,5660,1947.0
40557,41100,0,5660,1947.0
41100,40557,0,5660,1933.0
41100,41101,0,5660,1933.0
41101,41100,0,5660,1856.0
41101,41199,0,5660,1856.0
41199,41101,0,5660,1872.0
41199,41200,0,5660,1872.0
41200,41199,0,5660,1892.0
41200,41201,0,5660,1892.0
41201,41200,0,5660,1872.0
41201,41202,0,5660,1872.0
41202,41201,0,5660,1902.0
41202,41203,0,5660,1902.0
41203,41202,0,5660,1872.0
41203,41204,0,5660,1872.0
41204,41203,0,5660,1983.0
41204,41205,0,5660,1983.0
41205,41204,0,5660,1885.0
41205,41206,0,5660,1885.0
41206,41205,0,5660,1882.0
41206,41207,0,5660,1882.0
41207,41206,0,5660,1872.0
41207,41208,0,5660,1872.0
41208,41207,0,5660,1954.0
41208,41224,0,5660,1954.0
41224,41208,0,5660,1856.0
41224,41225,0,5660,1856.0
41225,41224,0,5660,1907.0
41225,41226,0,5660,1907.0
41226,41225,0,5660,1856.0
41226,41227,0,5660,1856.0
41227,41226,0,5660,1894.0
41227,41228,0,5660,1894.0
41228,41227,0,5660,1972.0
41228,41229,0,5660,1972.0
41229,41228,0,5660,1856.0
41229,41230,0,5660,1856.0
41230,41229,0,5660,1910.0
41230,41231,0,5660,1910.0
41231,41230,0,5660,1899.0
40540,40555,0,5661,1879.0
40555,40540,0,5661,1926.0
40555,40557,0,5661,1926.0
40557,40555,0,5661,1947.0
40557,41167,0,5661,1947.0
41167,40557,0,5661,1870.0
41167,41168,0,5661,1870.0
41168,41167,0,5661,1901.0
41168,41169,0,5661,1901.0
41169,41168,0,5661,1870.0
41169,41170,0,5661,1870.0
41170,41169,0,5661,1870.0
41170,41171,0,5661,1870.0
41171,41170,0,5661,1927.0
41171,41172,0,5661,1927.0
41172,41171,0,5661,1870.0
41172,41173,0,5661,1870.0
41173,41172,0,5661,1870.0
41173,41174,0,5661,1870.0
41174,41173,0,5661,1870.0
41174,41175,0,5661,1870.0
41175,41174,0,5661,1870.0
41175,41176,0,5661,1870.0
41176,41175,0,5661,2007.0
41176,41177,0,5661,2007.0
41177,41176,0,5661,1886.0
41177,41178,0,5661,1886.0
41178,41177,0,5661,1887.0
41178,41179,0,5661,1887.0
41179,41178,0,5661,1905.0
41179,41180,0,5661,1905.0
41180,41179,0,5661,1891.0
41180,41181,0,5661,1891.0
41181,41180,0,5661,1887.0
41181,41182,0,5661,1887.0
41182,41181,0,5661,1875.0
41182,41183,0,5661,1875.0
41183,41182,0,5661,1887.0
41183,41184,0,5661,1887.0
41184,41183,0,5661,1887.0
41184,41185,0,5661,1887.0
41185,41184,0,5661,1888.0
40539,40540,0,5662,1888.0
40540,40539,0,5662,1879.0
40540,40541,0,5662,1879.0
40541,40540,0,5662,1905.0
40541,40542,0,5662,1905.0
40542,40541,0,5662,1905.0
40542,40543,0,5662,1905.0
40543,40542,0,5662,1905.0
