source,target,mode,line_id,year
29631,29632,0,3545,2020.0
29632,29631,0,3545,2020.0
29632,29633,0,3545,2020.0
29633,29632,0,3545,2020.0
29633,29634,0,3545,2020.0
29634,29633,0,3545,2020.0
29634,29635,0,3545,2020.0
29635,29634,0,3545,2020.0
29635,29636,0,3545,2020.0
29636,29635,0,3545,2020.0
29636,29637,0,3545,2020.0
29637,29636,0,3545,2020.0
29637,29638,0,3545,2020.0
29638,29637,0,3545,2020.0
29638,29639,0,3545,2020.0
29639,29638,0,3545,2020.0
29639,29640,0,3545,2020.0
29640,29639,0,3545,2020.0
29640,29641,0,3545,2020.0
29641,29640,0,3545,2020.0
29641,29642,0,3545,2020.0
29642,29641,0,3545,2020.0
29642,29643,0,3545,2020.0
29643,29642,0,3545,2020.0
29643,29644,0,3545,2020.0
29644,29643,0,3545,2020.0
29644,29645,0,3545,2020.0
29645,29644,0,3545,2020.0
29645,29646,0,3545,2020.0
29646,29645,0,3545,2021.0
29646,29647,0,3545,2021.0
29647,29646,0,3545,2021.0
29647,29648,0,3545,2021.0
29648,29647,0,3545,2021.0
29648,29649,0,3545,2021.0
29649,29648,0,3545,2021.0
29649,29650,0,3545,2021.0
29650,29649,0,3545,2021.0
29650,29651,0,3545,2021.0
29651,29650,0,3545,2021.0
29651,29652,0,3545,2021.0
29652,29651,0,3545,2021.0
29652,29653,0,3545,2021.0
29653,29652,0,3545,2021.0
29653,29654,0,3545,2021.0
29654,29653,0,3545,2021.0
29654,29655,0,3545,2021.0
29655,29654,0,3545,2021.0
29655,29656,0,3545,2021.0
29656,29655,0,3545,2021.0
29656,29657,0,3545,2021.0
29657,29656,0,3545,2021.0
29657,29658,0,3545,2021.0
29658,29657,0,3545,2023.0
29658,29659,0,3545,2023.0
29659,29658,0,3545,2021.0
29659,29660,0,3545,2021.0
29660,29659,0,3545,2021.0
29660,29661,0,3545,2021.0
29661,29660,0,3545,2021.0
29661,29662,0,3545,2021.0
29662,29661,0,3545,2021.0
29662,29663,0,3545,2021.0
29663,29662,0,3545,2021.0
29663,29664,0,3545,2021.0
29664,29663,0,3545,2021.0
29664,29665,0,3545,2021.0
29665,29664,0,3545,2021.0
29665,29666,0,3545,2021.0
29666,29665,0,3545,2021.0
29666,29667,0,3545,2021.0
29667,29666,0,3545,2021.0
29667,29668,0,3545,2021.0
29668,29667,0,3545,2021.0
29668,29669,0,3545,2021.0
29669,29668,0,3545,2021.0
29669,29670,0,3545,2021.0
29670,29669,0,3545,2021.0
29670,29671,0,3545,2021.0
29671,29670,0,3545,2021.0
29672,29673,0,3546,2017.0
29673,29672,0,3546,2017.0
29673,29674,0,3546,2017.0
29674,29673,0,3546,2017.0
29674,29675,0,3546,2017.0
29675,29674,0,3546,2017.0
29675,29676,0,3546,2017.0
29676,29675,0,3546,2017.0
29676,29677,0,3546,2017.0
29677,29676,0,3546,2017.0
29677,29678,0,3546,2017.0
29678,29677,0,3546,2017.0
29678,29679,0,3546,2017.0
29679,29678,0,3546,2017.0
29679,29680,0,3546,2017.0
29680,29679,0,3546,2017.0
29680,29681,0,3546,2017.0
29681,29680,0,3546,2017.0
29681,29682,0,3546,2017.0
29682,29681,0,3546,2017.0
29682,29683,0,3546,2017.0
29683,29682,0,3546,2017.0
29683,29684,0,3546,2017.0
29684,29683,0,3546,2017.0
29684,29685,0,3546,2017.0
29685,29684,0,3546,2017.0
29685,29686,0,3546,2017.0
29686,29685,0,3546,2017.0
29686,29687,0,3546,2017.0
29687,29686,0,3546,2017.0
29687,29688,0,3546,2017.0
29688,29687,0,3546,2017.0
29688,29689,0,3546,2017.0
29689,29688,0,3546,2017.0
29689,29690,0,3546,2017.0
29690,29689,0,3546,2019.0
29690,29691,0,3546,2019.0
29691,29690,0,3546,2019.0
29691,29692,0,3546,2019.0
29692,29691,0,3546,2019.0
29692,41265,0,3546,2019.0
41265,29692,0,3546,2024.0
41265,41266,0,3546,2024.0
41266,41265,0,3546,2024.0
41266,41267,0,3546,2024.0
41267,41266,0,3546,2024.0
41267,41329,0,3546,2024.0
41329,41267,0,3546,2023.0
41329,41330,0,3546,2023.0
41330,41329,0,3546,
41330,41331,0,3546,
41331,41330,0,3546,
41331,41332,0,3546,
41332,41331,0,3546,
41332,41333,0,3546,
41333,41332,0,3546,
41333,41334,0,3546,
41334,41333,0,3546,
41334,41335,0,3546,
41335,41334,0,3546,
41335,41336,0,3546,
41336,41335,0,3546,
41336,41337,0,3546,
41337,41336,0,3546,
29693,29694,0,3547,2016.0
29694,29693,0,3547,2016.0
29694,29695,0,3547,2016.0
29695,29694,0,3547,2016.0
29695,29696,0,3547,2016.0
29696,29695,0,3547,2016.0
29696,29697,0,3547,2016.0
29697,29696,0,3547,2016.0
29697,29698,0,3547,2016.0
29698,29697,0,3547,2015.0
29698,29699,0,3547,2015.0
29699,29698,0,3547,2016.0
29699,29700,0,3547,2016.0
29700,29699,0,3547,2016.0
29700,29701,0,3547,2016.0
29701,29700,0,3547,2016.0
29701,29702,0,3547,2016.0
29702,29701,0,3547,2016.0
29702,29703,0,3547,2016.0
29703,29702,0,3547,2016.0
29703,29704,0,3547,2016.0
29704,29703,0,3547,2016.0
29704,29705,0,3547,2016.0
29705,29704,0,3547,2016.0
29705,29706,0,3547,2016.0
29706,29705,0,3547,2015.0
29706,29707,0,3547,2015.0
29707,29706,0,3547,2015.0
29707,29708,0,3547,2015.0
29708,29707,0,3547,2015.0
29708,29709,0,3547,2015.0
29709,29708,0,3547,2015.0
29709,29710,0,3547,2015.0
29710,29709,0,3547,2015.0
29710,29711,0,3547,2015.0
29711,29710,0,3547,2015.0
29711,29712,0,3547,2015.0
29712,29711,0,3547,2015.0
29712,29713,0,3547,2015.0
29713,29712,0,3547,2015.0
29713,29714,0,3547,2015.0
29714,29713,0,3547,2015.0
29619,29620,0,3548,2020.0
29620,29619,0,3548,2020.0
29620,29621,0,3548,2020.0
29621,29620,0,3548,2020.0
29621,29622,0,3548,2020.0
29622,29621,0,3548,2020.0
29622,29623,0,3548,2020.0
29623,29622,0,3548,2020.0
29623,29624,0,3548,2020.0
29624,29623,0,3548,2020.0
29624,29625,0,3548,2020.0
29625,29624,0,3548,2020.0
29625,29626,0,3548,2020.0
29626,29625,0,3548,2020.0
29626,29627,0,3548,2020.0
29627,29626,0,3548,2021.0
29627,29628,0,3548,2021.0
29628,29627,0,3548,2020.0
29628,29629,0,3548,2020.0
29629,29628,0,3548,2020.0
29629,41268,0,3548,2020.0
41268,29629,0,3548,
41268,41269,0,3548,
41269,41268,0,3548,
41269,41270,0,3548,
41270,41269,0,3548,
41270,41271,0,3548,
41271,41270,0,3548,
41271,41272,0,3548,
41272,41271,0,3548,
41272,41273,0,3548,
41273,41272,0,3548,
41273,41274,0,3548,
41274,41273,0,3548,
41274,41275,0,3548,
41275,41274,0,3548,
41275,41276,0,3548,
41276,41275,0,3548,
41276,41277,0,3548,
41277,41276,0,3548,
41277,41278,0,3548,
41278,41277,0,3548,
41278,41279,0,3548,
41279,41278,0,3548,
41279,41280,0,3548,
41280,41279,0,3548,
41280,41281,0,3548,
41281,41280,0,3548,
41281,41282,0,3548,
41282,41281,0,3548,
41282,41283,0,3548,
41283,41282,0,3548,
41283,41284,0,3548,
41284,41283,0,3548,
41284,41285,0,3548,
41285,41284,0,3548,
29718,29720,0,3550,2018.0
29720,29718,0,3550,2018.0
29720,29721,0,3550,2018.0
29721,29720,0,3550,2018.0
29721,29722,0,3550,2018.0
29722,29721,0,3550,2018.0
29722,29723,0,3550,2018.0
29723,29722,0,3550,2018.0
29723,29724,0,3550,2018.0
29724,29723,0,3550,2018.0
29724,29725,0,3550,2018.0
29725,29724,0,3550,2018.0
29725,29726,0,3550,2018.0
29726,29725,0,3550,2018.0
29726,29727,0,3550,2018.0
29727,29726,0,3550,2018.0
29727,41293,0,3550,2018.0
41293,29727,0,3550,2023.0
41293,41294,0,3550,2023.0
41294,41293,0,3550,2023.0
29684,29694,0,4418,2017.0
29694,29684,0,4418,2016.0
29694,35208,0,4418,2016.0
35208,29694,0,4418,2022.0
35208,35209,0,4418,2022.0
35209,35208,0,4418,2022.0
35209,35210,0,4418,2022.0
35210,35209,0,4418,2022.0
35210,35211,0,4418,2022.0
35211,35210,0,4418,2022.0
35211,35212,0,4418,2022.0
35212,35211,0,4418,2022.0
35212,35214,0,4418,2022.0
35214,35212,0,4418,2022.0
35214,35215,0,4418,2022.0
35215,35214,0,4418,2022.0
35215,35216,0,4418,2022.0
35216,35215,0,4418,2022.0
35216,35217,0,4418,2022.0
35217,35216,0,4418,2022.0
35217,35218,0,4418,2022.0
35218,35217,0,4418,2022.0
35218,35219,0,4418,2022.0
35219,35218,0,4418,2022.0
35219,35220,0,4418,2022.0
35220,35219,0,4418,2022.0
35220,35221,0,4418,2022.0
35221,35220,0,4418,2023.0
35221,35222,0,4418,2023.0
35222,35221,0,4418,2022.0
35222,35223,0,4418,2022.0
35223,35222,0,4418,2022.0
35223,35224,0,4418,2022.0
35224,35223,0,4418,2022.0
35224,35225,0,4418,2022.0
35225,35224,0,4418,2022.0
35225,35226,0,4418,2022.0
35226,35225,0,4418,2022.0
35226,35227,0,4418,2022.0
35227,35226,0,4418,2022.0
35227,35228,0,4418,2022.0
35228,35227,0,4418,2022.0
35228,35229,0,4418,2022.0
35229,35228,0,4418,2022.0
29660,29721,0,5858,2021.0
29721,29660,0,5858,2018.0
29721,41286,0,5858,2018.0
41286,29721,0,5858,2024.0
41286,41287,0,5858,2024.0
41287,41286,0,5858,2024.0
41287,41288,0,5858,2024.0
41288,41287,0,5858,2024.0
41288,41289,0,5858,2024.0
41289,41288,0,5858,2024.0
41289,41290,0,5858,2024.0
41290,41289,0,5858,2024.0
41290,41291,0,5858,2024.0
41291,41290,0,5858,2024.0
41291,41292,0,5858,2024.0
41292,41291,0,5858,2024.0
41292,41295,0,5858,2024.0
41295,41292,0,5858,2024.0
41295,41296,0,5858,2024.0
41296,41295,0,5858,2024.0
41296,41297,0,5858,2024.0
41297,41296,0,5858,2024.0
41297,41298,0,5858,2024.0
41298,41297,0,5858,2024.0
41298,41299,0,5858,2024.0
41299,41298,0,5858,2024.0
41299,41300,0,5858,2024.0
41300,41299,0,5858,2024.0
41300,41301,0,5858,2024.0
41301,41300,0,5858,2024.0
41301,41302,0,5858,2024.0
41302,41301,0,5858,2024.0
41302,41303,0,5858,2024.0
41303,41302,0,5858,2024.0
41303,41304,0,5858,2024.0
41304,41303,0,5858,2024.0
41304,41305,0,5858,2024.0
41305,41304,0,5858,2024.0
41305,41306,0,5858,2024.0
41306,41305,0,5858,2024.0
41306,41307,0,5858,2024.0
41307,41306,0,5858,
41307,41308,0,5858,
41308,41307,0,5858,
41308,41309,0,5858,
41309,41308,0,5858,
41309,41310,0,5858,
41310,41309,0,5858,
41310,41311,0,5858,
41311,41310,0,5858,
41311,41312,0,5858,
41312,41311,0,5858,
41312,41313,0,5858,
41313,41312,0,5858,
41313,41314,0,5858,
41314,41313,0,5858,
41314,41315,0,5858,
41315,41314,0,5858,
41315,41316,0,5858,
41316,41315,0,5858,
41317,41318,0,5891,
41318,41317,0,5891,
41318,41319,0,5891,
41319,41318,0,5891,
41319,41320,0,5891,
41320,41319,0,5891,
41320,41321,0,5891,
41321,41320,0,5891,
41321,41322,0,5891,
41322,41321,0,5891,
41322,41323,0,5891,
41323,41322,0,5891,
41323,41324,0,5891,
41324,41323,0,5891,
41324,41325,0,5891,
41325,41324,0,5891,
41325,41326,0,5891,
41326,41325,0,5891,
41326,41327,0,5891,
41327,41326,0,5891,
41327,41328,0,5891,
41328,41327,0,5891,
41269,41273,0,5892,
41273,41269,0,5892,
41273,41338,0,5892,
41338,41273,0,5892,
41338,41339,0,5892,
41339,41338,0,5892,
41339,41340,0,5892,
41340,41339,0,5892,
41340,41341,0,5892,
41341,41340,0,5892,
41341,41342,0,5892,
41342,41341,0,5892,
41342,41343,0,5892,
41343,41342,0,5892,
41343,41344,0,5892,
41344,41343,0,5892,
41344,41345,0,5892,
41345,41344,0,5892,
41345,41346,0,5892,
41346,41345,0,5892,
41346,41347,0,5892,
41347,41346,0,5892,
41347,41348,0,5892,
41348,41347,0,5892,
41348,41349,0,5892,
41349,41348,0,5892,
41349,41350,0,5892,
41350,41349,0,5892,
41350,41351,0,5892,
41351,41350,0,5892,
41351,41352,0,5892,
41352,41351,0,5892,
41352,41353,0,5892,
41353,41352,0,5892,
41353,41354,0,5892,
41354,41353,0,5892,
41354,41355,0,5892,
41355,41354,0,5892,
41355,41356,0,5892,
41356,41355,0,5892,
41356,41357,0,5892,
41357,41356,0,5892,
41357,41358,0,5892,
41358,41357,0,5892,
41358,41359,0,5892,
41359,41358,0,5892,
41359,41360,0,5892,
41360,41359,0,5892,
41360,41361,0,5892,
41361,41360,0,5892,
41361,41362,0,5892,
41362,41361,0,5892,
41363,41364,0,5893,
41364,41363,0,5893,
41364,41365,0,5893,
41365,41364,0,5893,
41365,41366,0,5893,
41366,41365,0,5893,
41366,41367,0,5893,
41367,41366,0,5893,
41367,41368,0,5893,
41368,41367,0,5893,
41368,41369,0,5893,
41369,41368,0,5893,
41369,41371,0,5893,
41371,41369,0,5893,
41371,41372,0,5893,
41372,41371,0,5893,
41372,41373,0,5893,
41373,41372,0,5893,
41373,41374,0,5893,
41374,41373,0,5893,
41330,41368,0,5894,
41368,41330,0,5894,
41368,41375,0,5894,
41375,41368,0,5894,
41375,41376,0,5894,
41376,41375,0,5894,
41376,41377,0,5894,
41377,41376,0,5894,
41377,41378,0,5894,
41378,41377,0,5894,
41378,41379,0,5894,
41379,41378,0,5894,
41379,41380,0,5894,
41380,41379,0,5894,
41380,41381,0,5894,
41381,41380,0,5894,
41381,41382,0,5894,
41382,41381,0,5894,
41382,41383,0,5894,
41383,41382,0,5894,
41383,41384,0,5894,
41384,41383,0,5894,
41384,41385,0,5894,
41385,41384,0,5894,
41385,41386,0,5894,
41386,41385,0,5894,
41386,41387,0,5894,
41387,41386,0,5894,
41387,41388,0,5894,
41388,41387,0,5894,
41388,41389,0,5894,
41389,41388,0,5894,
