source,target,mode,line_id,year
2846,2860,0,237,2014.0
2860,2846,0,237,2018.0
2860,3004,0,237,2018.0
3004,2860,0,237,2025.0
3004,36151,0,237,2025.0
36151,3004,0,237,2032.0
2865,2866,0,238,1980.0
2866,2865,0,238,1980.0
3064,3065,0,251,1932.0
3065,3064,0,251,1958.0
3065,3067,0,251,1958.0
3067,3065,0,251,1932.0
3067,3068,0,251,1932.0
3068,3067,0,251,1960.0
3068,3069,0,251,1960.0
3069,3068,0,251,1990.0
3069,3070,0,251,1990.0
3070,3069,0,251,1954.0
3070,3071,0,251,1954.0
3071,3070,0,251,1932.0
3071,3072,0,251,1932.0
3072,3071,0,251,1932.0
3072,3073,0,251,1932.0
3073,3072,0,251,1990.0
3073,3074,0,251,1990.0
3074,3073,0,251,1990.0
3074,3075,0,251,1990.0
3075,3074,0,251,1932.0
3075,3076,0,251,1932.0
3076,3075,0,251,1932.0
3076,3077,0,251,1932.0
3077,3076,0,251,1950.0
3077,3078,0,251,1950.0
3078,3077,0,251,1932.0
3078,3079,0,251,1932.0
3079,3078,0,251,1932.0
3079,3080,0,251,1932.0
3080,3079,0,251,2006.0
3080,3081,0,251,2006.0
3081,3080,0,251,1932.0
3081,3083,0,251,1932.0
3083,3081,0,251,1932.0
3083,3085,0,251,1932.0
3085,3083,0,251,1932.0
3085,3088,0,251,1932.0
3088,3085,0,251,1932.0
3088,3090,0,251,1932.0
3090,3088,0,251,1932.0
3090,3091,0,251,1932.0
3091,3090,0,251,1932.0
3091,3093,0,251,1932.0
3093,3091,0,251,1932.0
3093,3094,0,251,1932.0
3094,3093,0,251,1932.0
3094,3096,0,251,1932.0
3096,3094,0,251,1932.0
3096,3097,0,251,1932.0
3097,3096,0,251,1932.0
3097,36153,0,251,1932.0
36153,3097,0,251,
