source,target,mode,line_id,year
10904,10906,0,1006,2014.0
10906,10904,0,1006,2014.0
10906,10907,0,1006,2014.0
10907,10906,0,1006,2015.0
10907,10908,0,1006,2015.0
10908,10907,0,1006,2014.0
10908,10909,0,1006,2014.0
10909,10908,0,1006,2014.0
10909,10910,0,1006,2014.0
10910,10909,0,1006,2015.0
10910,10911,0,1006,2015.0
10911,10910,0,1006,2015.0
10908,10912,0,1007,2014.0
10912,10908,0,1007,2016.0
10912,10913,0,1007,2016.0
10913,10912,0,1007,2016.0
10913,10914,0,1007,2016.0
10914,10913,0,1007,2017.0
10914,10915,0,1007,2017.0
10915,10914,0,1007,2017.0
10915,10916,0,1007,2017.0
10916,10915,0,1007,2017.0
10916,10917,0,1007,2017.0
10917,10916,0,1007,2017.0
10917,10918,0,1007,2017.0
10918,10917,0,1007,2017.0
10918,10919,0,1007,2017.0
10919,10918,0,1007,2017.0
10919,10920,0,1007,2017.0
10920,10919,0,1007,2017.0
10920,10921,0,1007,2017.0
10921,10920,0,1007,2017.0
